mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PHF20,hsa-mir-939,0.372882957,0.005962468,0.097572748,-0.872473643,0.000458538,0.042177579,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8569041727312194,7.023388241964553
SMG5,hsa-mir-939,0.429620902,0.001325634,0.032264526,-0.809888993,0.002513911,0.075375305,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.4745717909738083,7.023388241964553
TNS4,hsa-mir-338,-0.409833814,0.002306906,0.049032493,0.783394291,0.00434025,0.09028781,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4843478522920925,1.0985465490727642
UHRF1BP1L,hsa-mir-939,0.41537233,0.001982122,0.043751893,-0.911821714,9.24E-05,0.022720175,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7210923277797497,7.023388241964553
USP37,hsa-mir-939,0.455755117,0.000604913,0.017580822,-0.839728148,0.001220449,0.059245225,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.21194045965779,7.023388241964553
KCNN4,hsa-mir-424,-0.381134087,0.004867635,0.084528859,0.792416053,0.003634628,0.085041218,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.016467518857348,5.074269159177386
RNMT,hsa-mir-939,0.380113942,0.00499266,0.086077826,-0.89155837,0.000227495,0.032583246,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.1795829772705786,7.023388241964553
CDV3,hsa-mir-939,0.406778603,0.002505597,0.052153717,-0.855770629,0.000777997,0.050835819,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9403341878855039,7.023388241964553
RPS6KL1,hsa-mir-939,0.416293518,0.001932244,0.042922342,-0.802135922,0.002973541,0.079663153,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0583666373378045,7.023388241964553
MAPRE1,hsa-mir-939,0.386254004,0.004280758,0.077106351,-0.772946904,0.005278329,0.096379004,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.9768133673916563,7.023388241964553
GZF1,hsa-mir-939,0.42586127,0.001476579,0.035024731,-0.861735395,0.000649158,0.047667407,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9812372471361588,7.023388241964553
KIF27,hsa-mir-939,0.481499517,0.000262116,0.009066446,-0.834917121,0.001384003,0.06180564,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.4320326790577809,7.023388241964553
SMEK2,hsa-mir-939,0.399795442,0.003017766,0.059815323,-0.920550914,5.86E-05,0.018651762,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.1281715689921836,7.023388241964553
RAF1,hsa-mir-939,0.375663122,0.005571681,0.093056947,-0.863762731,0.000609272,0.046636198,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.196201087047222,7.023388241964553
ATG4D,hsa-mir-152,-0.375879831,0.005542184,0.092703158,0.795123586,0.003440524,0.083495909,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.3345379293432387,1.9523523182192943
ZHX3,hsa-mir-381,0.66063154,7.33E-08,8.31E-06,-0.809743773,0.002521999,0.075451769,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3959547560697827,1.9452237123030762
