mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
OBFC1,hsa-mir-383,-0.091578885,0.011543247,0.04249143,0.271473937,0.010975659,0.080320438,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.739914844,0.392824828
SHROOM2,hsa-mir-130a,-0.098288654,0.006693139,0.027266271,0.442259073,1.80E-05,0.000647115,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.264369955,0.561876583
GABBR2,hsa-mir-452,0.142436998,8.14E-05,0.000653321,-0.376059584,0.00033115,0.006394813,targetprofiler-Yes,targetscan-Yes,miRanda-NO,12.33390056,0.334963049
ZNF90,hsa-mir-452,0.138990784,0.000121008,0.000921142,-0.365434783,0.000500586,0.00874868,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.657738467,0.334963049
GIGYF1,hsa-mir-3653,-0.191742245,1.00E-07,1.71E-06,0.281153407,0.008341359,0.066657828,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.117398434,1.006200447
MICALL1,hsa-mir-375,-0.268641764,4.97E-14,2.84E-12,0.305361662,0.004026741,0.040241288,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.903528755,5.989383552
ZNF552,hsa-mir-30e,-0.142236558,8.33E-05,0.00066658,0.279162999,0.008832417,0.06934358,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.624503772,0.849101732
MT2A,hsa-mir-744,-0.08936441,0.013721112,0.048870485,0.340904836,0.001233042,0.017070191,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.160374034,1.374376739
ISG20,hsa-mir-215,0.109923211,0.002408671,0.011727365,-0.372555182,0.000380095,0.007111966,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.612096501,0.401909246
PJA1,hsa-mir-204,0.204738465,1.23E-08,2.58E-07,-0.282807099,0.007951784,0.064564488,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.625920835,0.187501417
RAB11FIP3,hsa-mir-378,-0.234798542,5.60E-11,1.88E-09,0.354518806,0.000754325,0.011888272,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.871959126,0.228144821
FRMD4A,hsa-mir-200c,0.080256973,0.026934968,0.083654222,-0.616193039,2.11E-10,4.71E-08,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.479286373,2.939930899
HMG20B,hsa-mir-127,-0.130887918,0.000296928,0.001996083,0.454437061,9.81E-06,0.000397176,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.209273128,0.68189456
MAPK9,hsa-mir-224,-0.094551318,0.009103216,0.03505202,0.288445746,0.006741081,0.057648722,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.232839863,0.551425837
COX7C,hsa-mir-522,-0.1019515,0.004903361,0.021114716,0.359839233,0.000618797,0.010255378,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.193413214,14.81595585
ZHX3,hsa-mir-505,-0.125832171,0.000506923,0.003152474,0.329689838,0.001818728,0.022703203,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.495509566,0.89379956
PPAT,hsa-mir-193a,0.08204404,0.023704305,0.07560203,-0.446465812,1.46E-05,0.000548089,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.62238761,0.447510584
H2AFJ,hsa-mir-551b,-0.132923943,0.000238087,0.001650451,0.310445953,0.003428702,0.035860494,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.528757266,0.205390762
ABCA1,hsa-mir-382,0.12360493,0.000637712,0.003832119,-0.302891923,0.004349494,0.04244961,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.353920683,0.717298136
DHX9,hsa-mir-30a,-0.085577593,0.018291839,0.061546202,0.514012927,3.54E-07,2.58E-05,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.20557265,0.943770918
ABAT,hsa-mir-203,-0.121534506,0.000786759,0.004582173,0.584253307,2.84E-09,4.34E-07,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.540399689,4.789256
CCNDBP1,hsa-mir-584,-0.203693753,1.46E-08,3.02E-07,0.345207104,0.001058172,0.015248066,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.614660637,0.468873155
ID1,hsa-mir-326,-0.140578947,0.000100891,0.000787079,0.369759577,0.00042381,0.007717101,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.494351723,0.442201802
CEBPZ,hsa-mir-335,0.136926466,0.000152824,0.001126842,-0.393529144,0.000162693,0.003708816,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.945172717,0.278433341
PGF,hsa-mir-149,-0.115043571,0.001488768,0.00784434,0.334127462,0.001562161,0.020338814,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.253980494,2.054430904
SCARF1,hsa-mir-326,-0.181240008,4.91E-07,7.17E-06,0.400956326,0.000118811,0.002903131,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.523251292,0.442201802
PMP22,hsa-mir-505,-0.147762177,4.33E-05,0.000377165,0.434727665,2.58E-05,0.00086901,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.595105718,0.89379956
PTPN21,hsa-mir-130a,0.203849553,1.43E-08,2.95E-07,-0.363980609,0.000529135,0.009123498,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.358912668,0.561876583
PERP,hsa-mir-3928,0.116473547,0.001297097,0.006987944,-0.280318985,0.008544222,0.067749896,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.96493043,1.712278778
AHCYL2,hsa-mir-378,-0.108879258,0.002650648,0.012699036,0.847593134,0,0,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.982797933,0.228144821
