mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
ERBB2IP,hsa-mir-573,-0.205003933,0.00219192,0.022733565,0.966285697,9.34E-05,0.04787319,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.467521477,2.380438654
STAU2,hsa-mir-31,-0.201537164,0.002612304,0.025833263,0.98182257,1.48E-05,0.01417549,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.025288982,2.451866106
SGIP1,hsa-mir-454,-0.36783161,1.74E-08,1.98E-06,0.983934281,1.02E-05,0.010685788,targetprofiler-NO,targetscan-NO,miRanda-Yes,4.530127994,50.68703209
SEMA6D,hsa-mir-31,-0.188151547,0.005011119,0.041415666,0.968698269,7.49E-05,0.042196123,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.08807764,2.451866106
SLC6A6,hsa-mir-31,-0.255947694,0.00011926,0.002493854,0.994957009,3.20E-07,0.000703955,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.189988518,2.451866106
CDC14A,hsa-mir-338,-0.221101,0.00093525,0.012031762,0.956437903,0.000199978,0.074686279,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.214307042,3.539701632
TFDP2,hsa-mir-31,-0.241889261,0.000283864,0.004872189,0.987976469,4.31E-06,0.005309087,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.095780131,2.451866106
MORC3,hsa-mir-543,-0.16813441,0.012308725,0.077815152,0.965448914,0.000100466,0.049891806,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.905190657,0.478925018
CCR7,hsa-mir-335,-0.203683783,0.002344146,0.023863501,0.976358557,3.25E-05,0.024693629,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.737518747,21.62723574
ORAI2,hsa-mir-651,-0.189388971,0.004726369,0.039703381,0.950087391,0.000299352,0.093311195,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.330300623,11.52321374
C6orf222,hsa-mir-31,-0.166340509,0.013283392,0.082022249,0.98042833,1.85E-05,0.016203908,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.060754954,2.451866106
HOXC8,hsa-mir-454,-0.17037978,0.011177806,0.072783949,0.998973828,2.70E-09,1.17E-05,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.522867987,50.68703209
