mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
CNTN4,hsa-mir-92b,-0.19772225,0.007137306,0.076972074,0.878316674,0.000374564,0.055013467,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.283255981,2.685423574
TULP3,hsa-mir-200c,0.383483627,7.73E-08,1.06E-05,-0.888421733,0.000257432,0.047393975,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.201811627,1.19680443
RUNX1,hsa-mir-625,-0.342597116,1.93E-06,0.00015417,0.891518161,0.000227861,0.045039,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.839000854,0.748699413
GLI3,hsa-mir-140,-0.287091186,7.77E-05,0.002892629,0.852364738,0.00085971,0.076400308,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.365297181,0.86661335
PTRF,hsa-mir-1287,-0.244334693,0.000830164,0.017057763,0.866063109,0.000566287,0.064765034,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.473640236,1.232791278
ATP2C1,hsa-mir-148b,-0.226327677,0.002006133,0.03210579,0.847018575,0.001000805,0.081771787,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.674661101,1.124342212
IRAK2,hsa-mir-944,-0.269493886,0.000216144,0.006326198,0.916391962,7.32E-05,0.028273712,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.147342572,12.05602106
GPN3,hsa-mir-15b,0.257637519,0.000414397,0.010255289,-0.834089988,0.001413698,0.094243184,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.508202215,3.540829518
C17orf51,hsa-mir-1293,0.293895928,5.14E-05,0.002105477,-0.893099102,0.000213798,0.043717622,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.513475005,10.37939303
RHPN2,hsa-mir-154,-0.231596529,0.001560251,0.02682738,0.903509841,0.000136927,0.036243103,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.283732441,1.314379336
BCAS1,hsa-mir-301a,-0.234465768,0.001357451,0.024307629,0.887658527,0.000265149,0.048012165,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.302956812,3.112413009
TESC,hsa-mir-136,-0.221858304,0.002472118,0.03720099,0.842373706,0.001136945,0.086109466,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.676424852,0.694714543
TNFRSF6B,hsa-mir-152,-0.264339273,0.000287904,0.007823873,0.876207443,0.000403401,0.05675051,targetprofiler-NO,targetscan-NO,miRanda-Yes,7.212475187,1.55751113
DCP1A,hsa-mir-145,-0.204232714,0.005421867,0.063981493,0.887389844,0.000267907,0.048199019,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.931602652,0.334342395
SPIN1,hsa-mir-140,-0.223221334,0.002320537,0.035571071,0.874003498,0.000435299,0.058279251,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.94505056,0.86661335
RALGPS1,hsa-mir-136,-0.208949281,0.0044203,0.055654122,0.863806666,0.000608428,0.066547696,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.541239401,0.694714543
CD2AP,hsa-mir-301a,-0.199608036,0.006596525,0.072996725,0.844906978,0.001061079,0.083698917,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.447259893,3.112413009
C9orf4,hsa-mir-183,0.239486992,0.00105962,0.020336978,-0.844826346,0.001063434,0.083804369,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.084760803,3.100266043
CYP4F12,hsa-mir-27a,-0.19891858,0.006789848,0.074432158,0.837850529,0.001282449,0.09057336,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.583898662,2.612916732
NRP2,hsa-mir-320a,-0.281782161,0.000106604,0.003693298,0.854420828,0.000809646,0.074608083,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.544977639,1.560294983
ACBD5,hsa-mir-376c,-0.197219619,0.00728795,0.078095124,0.844569004,0.001070974,0.083987456,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.274938997,1.121976426
HDGFRP3,hsa-mir-140,-0.256840442,0.000432466,0.010594676,0.849455523,0.000934487,0.079264173,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.121437878,0.86661335
ERN2,hsa-mir-154,-0.230304959,0.001660271,0.02807124,0.916983215,7.10E-05,0.027980087,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.73811448,1.314379336
ERN1,hsa-mir-130b,-0.198355272,0.00695153,0.075616109,0.860633214,0.000671653,0.069421249,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.418750227,1.651906731
EPS8L3,hsa-mir-136,-0.244033884,0.00084295,0.017246956,0.86066796,0.000670935,0.069381469,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.350715338,0.694714543
RUNX1,hsa-mir-1976,-0.212783441,0.003732242,0.049556473,0.84102693,0.001178899,0.087407411,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.839000854,1.805161397
CD2AP,hsa-mir-154,-0.194220545,0.008247043,0.084802822,0.928156803,3.77E-05,0.020970484,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.447259893,1.314379336
LRP3,hsa-mir-183,0.192230458,0.008943755,0.089486116,-0.856786155,0.000754807,0.072671229,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.732500986,3.100266043
DTNB,hsa-mir-181c,0.265077832,0.000276415,0.007589982,-0.856635217,0.00075822,0.072784918,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.887438034,1.662489873
SIGLEC6,hsa-mir-939,-0.227563299,0.00189224,0.030808628,0.851710085,0.000876129,0.077092879,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.376376351,1.755334947
TRADD,hsa-mir-18a,-0.254167259,0.000498526,0.011763458,0.832718463,0.001463986,0.095559266,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.138695655,4.250897258
DDX58,hsa-mir-31,0.246031285,0.000761331,0.016029643,-0.851716724,0.000875961,0.077092879,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.921115392,1.899395294
KLHL24,hsa-mir-149,0.282572532,0.00010175,0.003561365,-0.842353818,0.001137556,0.086122917,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.082399695,3.370328702
VTI1A,hsa-mir-224,-0.251678856,0.000568288,0.012948435,0.849885155,0.000923147,0.078815599,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.05510851,13.14568861
DDB1,hsa-mir-185,0.233931269,0.001393297,0.024776252,-0.853375103,0.000834826,0.075678059,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.088980541,2.31295726
STK17B,hsa-mir-200c,-0.259531195,0.000374236,0.009518342,0.881503231,0.000333995,0.052527414,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.31263402,1.19680443
GPLD1,hsa-mir-651,0.215036874,0.003374441,0.046157126,-0.832666106,0.001465932,0.095604198,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.605539237,1.74938026
FAM190B,hsa-mir-618,-0.205224437,0.005195815,0.062192843,0.930574479,3.24E-05,0.019798108,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.553274365,3.013765832
CORO1C,hsa-mir-140,-0.402291609,1.51E-08,2.65E-06,0.850115894,0.0009171,0.078663566,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.001495823,0.86661335
SLC39A9,hsa-mir-96,-0.193957272,0.008336359,0.085405615,0.830883337,0.001533355,0.097645187,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.929789905,2.075120976
HECTD2,hsa-mir-618,-0.190939435,0.00942315,0.0925877,0.869336579,0.000509119,0.061980748,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.584393174,3.013765832
