mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PLXNB2,hsa-mir-1180,-0.113870505,0.012546228,0.057443391,0.528910418,0.000223343,0.00986459,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.077934666599044,2.168548585130776
PLD2,hsa-mir-708,-0.169470657,0.00019129,0.00211271,0.504803164,0.000475037,0.016586618,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7719874597802613,2.530408166098512
CYCS,hsa-mir-141,0.199518763,1.06E-05,0.00019121,-0.451296542,0.00210685,0.044543648,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.899053580007898,1.711589034246851
CNTN2,hsa-mir-17,0.11715905,0.010199683,0.049110116,-0.480855904,0.000953254,0.026498814,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2268885630757782,1.656091280496897
PTRF,hsa-mir-378,-0.217403154,1.52E-06,3.67E-05,0.498933807,0.00056613,0.01869232,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.547877184171696,0.3047417390058125
PET112L,hsa-mir-663,-0.112116078,0.013983471,0.06228505,0.436738674,0.003036543,0.056236302,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7403146851133104,5.222646060455977
C15orf56,hsa-mir-942,0.112765923,0.013435042,0.060455354,-0.605370806,1.34E-05,0.00130386,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6786869752287461,1.742381263439739
IL11,hsa-mir-150,-0.15506835,0.00065163,0.005706093,0.462439289,0.00157534,0.036936647,targetprofiler-Yes,targetscan-Yes,miRanda-NO,23.134429245105622,1.1709859241553229
ENPP5,hsa-mir-942,0.134211991,0.00321799,0.020267811,-0.572980684,4.81E-05,0.003341306,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.27465969233057613,1.742381263439739
SCAND2,hsa-mir-23b,0.112367043,0.01376938,0.061556341,-0.427195036,0.003826227,0.064975061,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0172151234578972,0.7730188912013324
RGS6,hsa-mir-183,0.110579929,0.015358875,0.066851963,-0.434542783,0.00320429,0.058130449,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7567771506174013,3.3582592596064034
TBC1D13,hsa-mir-15b,0.113279906,0.013014782,0.059049,-0.415041268,0.005088138,0.077396461,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0431769256436072,2.0178701517077338
RNF144B,hsa-mir-412,-0.147213937,0.001218454,0.009412459,0.450134977,0.002170474,0.045373415,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7862566105575673,0.8131508745961614
XK,hsa-mir-183,0.141342201,0.001908107,0.013442428,-0.565460683,6.34E-05,0.004081703,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.726981293896622,3.3582592596064034
RAB14,hsa-mir-940,-0.119596991,0.008720388,0.043601798,0.534788361,0.000184193,0.008633639,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8990540214363838,2.3668833808990555
BMI1,hsa-mir-27b,0.10650619,0.019596207,0.080187293,-0.425103887,0.004021514,0.066963696,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.049606953608512,0.6387395768402246
TBC1D15,hsa-mir-106b,0.110891907,0.015070306,0.065913328,-0.41471877,0.005126052,0.077745339,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9117140296738823,1.936957538573273
ZNF585A,hsa-mir-766,0.117397719,0.010045621,0.048560739,-0.448258002,0.002276876,0.046797854,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7810091443538749,2.313785238632891
PPT1,hsa-mir-944,0.245443684,5.13E-08,1.97E-06,-0.432878034,0.003336831,0.05969667,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.681421583375454,2.87176017818961
EPB41L4B,hsa-mir-27a,0.211256709,3.02E-06,6.60E-05,-0.549320198,0.000112616,0.006118567,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.2969309821588832,1.3470326221453561
H2AFV,hsa-mir-3934,0.260790077,6.66E-09,3.29E-07,-0.501306619,0.000527569,0.01780845,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2771684150765439,2.619507771936915
ZNF853,hsa-mir-183,0.131264011,0.003966355,0.023827967,-0.521479362,0.000283542,0.011617321,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.3872535337816912,3.3582592596064034
GLOD4,hsa-mir-378,0.102946002,0.024098964,0.093337858,-0.622788575,6.35E-06,0.000752858,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.0484394912234454,0.3047417390058125
GNB1,hsa-mir-598,-0.157231953,0.000545568,0.004948611,0.469881019,0.001290243,0.032393278,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.4099830303986969,0.885418895228065
RUNX1,hsa-mir-1976,-0.127121694,0.005284536,0.029751491,0.419047487,0.004637121,0.073120578,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0690825143557654,1.6280099901793201
ACVR2B,hsa-mir-17,0.22503079,6.31E-07,1.72E-05,-0.466644285,0.001408059,0.034331665,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0607744600565507,1.656091280496897
GTF2IRD2,hsa-mir-150,0.147572104,0.001184937,0.009206954,-0.467894928,0.001361449,0.033573252,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.527360318456424,1.1709859241553229
PTRH2,hsa-mir-150,-0.140841732,0.00198096,0.013849528,0.439417924,0.002842359,0.053939778,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3800977485699715,1.1709859241553229
EGLN1,hsa-mir-200c,0.119364921,0.008852472,0.044117278,-0.506730361,0.000448137,0.015937813,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6022379804431318,1.534260772762252
PTCHD1,hsa-mir-18a,0.196126828,1.51E-05,0.000256625,-0.422582213,0.004268555,0.069505173,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6112301260427747,3.312949488558971
IDH3A,hsa-mir-431,-0.113765877,0.012628133,0.057735868,0.690229522,2.17E-07,5.57E-05,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6525478045898542,0.5296403580864304
SOX21,hsa-mir-937,-0.127405315,0.005183048,0.029312791,0.464426635,0.001494202,0.035713926,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6861761356841195,5.453395739176585
ZFHX3,hsa-mir-944,0.187666573,3.51E-05,0.000519873,-0.685352016,2.86E-07,6.89E-05,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.194816012771488,2.87176017818961
FAM110C,hsa-mir-17,-0.169759544,0.00018645,0.002069391,0.504515038,0.000479181,0.016683271,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.717362050759112,1.656091280496897
SRPX2,hsa-mir-200c,-0.15840543,0.000494983,0.004575179,0.491446305,0.000704938,0.021694051,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7101949409085806,1.534260772762252
