mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
RAB11FIP3,hsa-mir-378,-0.331290006,0.006584085,0.069869755,0.811105901,8.74E-07,0.000341409,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8817194841573983,0.7375206885545217
ARHGAP29,hsa-mir-26b,0.374730373,0.001935497,0.028199727,-0.55490936,0.003988568,0.07874349,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.20575310368326855,0.3835812740586469
PNPLA3,hsa-mir-132,0.847319874,0,0,-0.564239,0.003303793,0.070898291,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.29948845293382,0.42532602610907083
CUTC,hsa-mir-616,0.389741006,0.001217663,0.019724303,-0.555449859,0.003945859,0.078289281,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.5271064878138256,3.400405040520687
TXN,hsa-let-7i,0.375661118,0.001881851,0.027593949,-0.541173794,0.005212952,0.091428817,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8568008571452989,0.9353365305299441
TMUB2,hsa-mir-193b,0.433554119,0.00027639,0.005961945,-0.553212443,0.004125204,0.080260084,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.550385990636785,1.694385589170636
CDNF,hsa-mir-223,0.601033904,9.51E-08,5.23E-06,-0.575508865,0.002612085,0.06229962,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.14114664020614856,0.8219340434188674
CPSF4,hsa-mir-891b,-0.316640696,0.009590064,0.090980287,0.72485689,4.16E-05,0.004785489,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3570163353854583,118.69162461524981
GART,hsa-mir-195,0.398011256,0.000934448,0.016011022,-0.562923535,0.00339383,0.0720378,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7144538680715945,0.2828659796341299
TTLL5,hsa-mir-1251,0.617158588,3.41E-08,2.05E-06,-0.553481044,0.004103316,0.080038403,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8866762070409918,0.036082091131735446
SNRNP27,hsa-mir-203,-0.414536468,0.000539269,0.010293803,0.55839699,0.00371973,0.07582995,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7526981115721408,0.4947712619017015
PANX2,hsa-mir-1266,0.348273278,0.00416183,0.050235889,-0.60810563,0.0012603,0.0409877,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1430537139575614,1.5771933549472101
DNM3,hsa-mir-95,0.317502791,0.009384751,0.089666492,-0.704746399,8.38E-05,0.007666273,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.1787855390535636,0.2430555725746575
IL1RAP,hsa-mir-935,0.53541009,3.62E-06,0.000141858,-0.609518824,0.001218934,0.040247824,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5836800654834965,1.6534657441009801
ATXN7L1,hsa-mir-589,0.327457254,0.007277384,0.07499194,-0.564329074,0.003297703,0.070851721,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.8660964106226432,1.5907800827445417
YAF2,hsa-mir-940,-0.444905185,0.000181956,0.004213103,0.557717259,0.003770886,0.076414218,targetprofiler-Yes,targetscan-Yes,miRanda-NO,2.816940617369127,0.8244011191428098
MUS81,hsa-mir-345,0.341121733,0.005063932,0.057905249,-0.587721874,0.002005685,0.05359065,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.1249378771909695,0.5437834076383681
IL11RA,hsa-mir-203,-0.32017029,0.008773524,0.08552612,0.688759042,0.000140715,0.010755377,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6027773097623929,0.4947712619017015
UGT1A6,hsa-mir-181c,0.595221976,1.36E-07,7.23E-06,-0.617117941,0.001015936,0.036235292,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.2610126821887677,0.36139799706039194
COIL,hsa-mir-186,0.344126863,0.004665741,0.054593479,-0.540409987,0.00528942,0.09212478,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6146331150835044,0.8739150308976713
OTUD7A,hsa-mir-616,-0.357821273,0.003180355,0.041116692,0.572355519,0.002791883,0.06467659,targetprofiler-NO,targetscan-NO,miRanda-Yes,4.501747703127739,3.400405040520687
ZNF620,hsa-mir-1251,0.360111992,0.002977991,0.039130415,-0.572083914,0.002807851,0.06484651,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8784303309449467,0.036082091131735446
RGL2,hsa-mir-98,0.531702793,4.35E-06,0.00016683,-0.661373632,0.000318355,0.017971022,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.41721164947462785,0.5447142534963656
RB1,hsa-mir-203,-0.401982258,0.000820906,0.014450352,0.779487132,4.38E-06,0.001053386,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.5818168714919312,0.4947712619017015
ABT1,hsa-mir-197,0.351105711,0.003845919,0.047382788,-0.587240224,0.002027085,0.053886011,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7285963378344543,0.8427340131072207
MYEF2,hsa-mir-132,-0.382235431,0.001539361,0.023664293,0.606642847,0.001304385,0.041837999,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1312773908544353,0.42532602610907083
PPP1R3F,hsa-mir-653,0.338079196,0.005497338,0.061386063,-0.556919886,0.003831654,0.077115754,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.154182409749699,2.949118687082989
CARD6,hsa-mir-891b,0.383952914,0.001459662,0.022711198,-0.591595275,0.001840497,0.051004188,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6528304829840614,118.69162461524981
ERLIN1,hsa-mir-19a,0.614271208,4.12E-08,2.44E-06,-0.617136081,0.001015489,0.036225953,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6981749199423274,0.6230375629704619
MYO3B,hsa-mir-1976,0.569741168,5.95E-07,2.79E-05,-0.551736832,0.004247218,0.081685111,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.29614690906461727,1.3372446678324954
NUDT16,hsa-mir-1976,-0.46868828,7.22E-05,0.001928048,0.552843251,0.00415545,0.080636791,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.145313194929374,1.3372446678324954
RASGRF1,hsa-mir-31,0.458803045,0.000106866,0.002689799,-0.563044614,0.003385457,0.071936455,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.8279983638595123,0.8368724603851131
MFSD11,hsa-mir-1307,0.521365887,7.17E-06,0.000260045,-0.538747428,0.005459137,0.09372053,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6918987811130628,1.298252006969118
PDGFC,hsa-mir-31,0.438582802,0.000230078,0.005117708,-0.687957235,0.000144296,0.01092986,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3388659639888212,0.8368724603851131
PHF17,hsa-mir-186,-0.360545094,0.002941047,0.038784581,0.565300722,0.003232609,0.070118814,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4830043676821465,0.8739150308976713
RSAD1,hsa-mir-141,-0.43657663,0.000247627,0.005442859,0.548428007,0.004531943,0.084607535,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.6799725857803899,4.5453176708474565
SIKE1,hsa-mir-186,0.425813846,0.000364526,0.007487071,-0.62674694,0.000801092,0.031582395,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7744808503195291,0.8739150308976713
DMC1,hsa-mir-378,0.421721495,0.000420855,0.008422812,-0.586672529,0.002052559,0.054253947,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.36417466390727987,0.7375206885545217
GABRG1,hsa-mir-181c,0.473262443,5.99E-05,0.001646633,-0.563826559,0.003331802,0.071236,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.4901480315473137,0.36139799706039194
UBQLN4,hsa-mir-378,0.356281118,0.003323203,0.042509738,-0.544381223,0.004901919,0.088358721,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6535075101225547,0.7375206885545217
KIAA0247,hsa-mir-130b,-0.32543827,0.007667689,0.077828077,0.538514809,0.005483245,0.093915201,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.682978069412279,1.2736267275611886
PXMP2,hsa-mir-181c,0.341873202,0.004961646,0.057086687,-0.658074185,0.000349346,0.019032502,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.4005153826527617,0.36139799706039194
WDR52,hsa-mir-378,0.43572928,0.000255401,0.005586252,-0.598822406,0.001563259,0.046440541,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.25413030373011,0.7375206885545217
HECTD2,hsa-mir-424,0.459504157,0.000103971,0.002625855,-0.537523971,0.005586936,0.094784355,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4085660454225818,0.8452863242821164
MCF2L,hsa-mir-892a,0.350394569,0.003923168,0.048083412,-0.535085641,0.005849149,0.097100277,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.3135345336352044,128.02983301563367
KIAA0513,hsa-mir-940,0.423565511,0.000394558,0.0079921,-0.642436728,0.000534701,0.024630089,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.0228683411372395,0.8244011191428098
AGPAT4,hsa-mir-98,0.454492278,0.000126355,0.003101733,-0.54001323,0.005329513,0.092517808,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.20937158155039584,0.5447142534963656
METTL8,hsa-mir-132,0.759582067,1.43E-13,1.91E-11,-0.537216806,0.005619413,0.095043668,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8006877126133048,0.42532602610907083
TRIM45,hsa-mir-377,0.456001562,0.000119187,0.002950181,-0.644890788,0.000500926,0.023662102,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5786763647903642,0.5793353782878355
TSLP,hsa-mir-1976,0.392813117,0.001104494,0.018265426,-0.534050594,0.005963541,0.09807811,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.09961864819652652,1.3372446678324954
CLIC4,hsa-mir-17,0.404423112,0.000757471,0.01356227,-0.542279209,0.005103932,0.090348413,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.17725534853570393,0.7934945478927481
STK32C,hsa-mir-424,0.770354242,3.95E-14,5.60E-12,-0.609931022,0.00120709,0.040030531,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.4958824724463927,0.8452863242821164
ZNF334,hsa-mir-655,0.343905547,0.004694093,0.054827196,-0.553270859,0.004120436,0.080207635,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8765522221789491,1.3090116616610854
CDC14A,hsa-mir-141,0.328581476,0.007067686,0.073433317,-0.653496931,0.000396675,0.020548157,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.2412691209229962,4.5453176708474565
MAFB,hsa-mir-675,0.545971971,2.12E-06,8.77E-05,-0.614202189,0.001090081,0.037748642,targetprofiler-Yes,targetscan-Yes,miRanda-NO,2.0438426150273625,0.051548155957586196
FHDC1,hsa-mir-132,-0.315017031,0.009987382,0.093511285,0.691862144,0.000127582,0.010085199,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.66993036368855,0.42532602610907083
MAN2A2,hsa-mir-326,-0.347521984,0.00424939,0.05099851,0.616307534,0.001036094,0.036648082,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,1.1101004628074174,0.3932757190292905
PDLIM2,hsa-mir-23a,0.806896862,2.22E-16,3.91E-14,-0.617519728,0.001006068,0.036035027,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.21561598034942042,0.7216925047573296
IGF2BP1,hsa-mir-625,0.335425629,0.005901682,0.064558334,-0.60992855,0.001207161,0.040030531,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.12811307436541314,1.1376509698881738
CREB3L4,hsa-mir-424,0.311444856,0.010912212,0.09934861,-0.580851961,0.002329926,0.058404986,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.39784380143483467,0.8452863242821164
C18orf56,hsa-mir-629,0.440018246,0.000218229,0.004897686,-0.646204224,0.000483623,0.023152725,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.34141068269657987,1.3329442564717202
PRDM4,hsa-mir-204,-0.354990801,0.003447241,0.043657873,0.54713207,0.004647767,0.085798892,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.678240390384752,0.10297163414087614
DCAF17,hsa-mir-182,-0.459552211,0.000103776,0.002622259,0.646016267,0.000486067,0.023234128,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5377541016820463,9.028667382790683
ORAI2,hsa-mir-378,0.5214673,7.13E-06,0.000258925,-0.63858112,0.000591756,0.026147223,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.37116163410264796,0.7375206885545217
IDS,hsa-mir-145,-0.416157433,0.000510178,0.009843799,0.658418565,0.000345993,0.018915786,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.9030399791452246,0.24093897791939958
