mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
IL11RA,hsa-mir-370,0.178020602,0.004349902,0.038198489,-0.379827352,0.001086804,0.010348994,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.871477793,1.4229948
C2orf42,hsa-mir-200c,-0.206763733,0.000895372,0.01153784,0.323916274,0.005857816,0.036830557,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.761097805,1.19680443
SLC12A3,hsa-mir-505,-0.151693363,0.015329769,0.093873182,0.358955423,0.002111582,0.017178938,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.050101576,1.840901425
DVL3,hsa-mir-4326,0.238070401,0.000123873,0.002388616,-0.305815659,0.009498659,0.052666594,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.060773968,2.99265709
CIAO1,hsa-mir-590,0.197627416,0.001515548,0.017333736,-0.33790545,0.003951703,0.027503695,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.875304308,2.025964522
CFTR,hsa-mir-505,-0.169483803,0.006671849,0.05215772,0.510235481,5.48E-06,0.000159144,targetprofiler-NO,targetscan-Yes,miRanda-Yes,2.703443457,1.840901425
ACVR1C,hsa-mir-141,0.43552436,3.15E-13,4.33E-11,-0.588343638,6.83E-08,4.45E-06,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.645084956,1.456361288
EPB41L5,hsa-mir-195,-0.157526774,0.011772645,0.078166751,0.325856539,0.005552467,0.035414916,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.317784443,0.605248731
GTF2H2C,hsa-mir-150,0.20061639,0.001278999,0.015221255,-0.309831543,0.008553819,0.048766874,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.731115031,1.57964111
ZNF536,hsa-mir-10a,0.306646076,5.93E-07,2.56E-05,-0.5232426,2.84E-06,9.41E-05,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.5898738,0.82091333
COL21A1,hsa-mir-221,-0.161212991,0.009920034,0.069193893,0.298426806,0.011476649,0.060450626,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.621390641,2.65004546
PORCN,hsa-mir-410,0.228925339,0.000227126,0.00389756,-0.346298535,0.003093525,0.022888371,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7669192,1.50291136
PLOD1,hsa-mir-766,0.196826049,0.001585449,0.017941633,-0.321110538,0.006325535,0.038988671,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.761342925,1.322990949
CDC14A,hsa-mir-107,-0.15808648,0.011473042,0.076753199,0.556167406,4.76E-07,2.19E-05,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.557059396,2.035430213
SSRP1,hsa-mir-708,0.247275889,6.57E-05,0.001419601,-0.681415274,6.13E-11,1.33E-08,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.129998119,3.114281003
SEMA3D,hsa-mir-181d,-0.202585651,0.001142203,0.013943518,0.314557708,0.007548,0.044440641,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.614467538,1.671290832
CASQ2,hsa-mir-760,-0.195113706,0.001744799,0.019306428,0.28297604,0.016794775,0.079633216,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.159636764,3.140788547
SS18L1,hsa-mir-1976,-0.153693367,0.014016444,0.088258613,0.400108377,0.000545931,0.006101786,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.76404207,1.805161397
B3GNT1,hsa-let-7e,0.168911429,0.006861372,0.053240499,-0.311505902,0.008184829,0.047194678,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.155631785,1.629009104
GOSR2,hsa-mir-377,0.153696136,0.014014696,0.088252976,-0.350926741,0.00269516,0.020641431,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.762396861,1.534079582
SRGAP1,hsa-mir-204,-0.166241837,0.007810327,0.058414675,0.451663458,7.70E-05,0.001313685,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.006591406,0.078072147
LAMP2,hsa-mir-203,0.223884879,0.000314037,0.005047654,-0.313483109,0.007767101,0.045394767,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.042950375,1.38499678
MMP24,hsa-mir-889,-0.157387698,0.011848152,0.07852249,0.58092066,1.09E-07,6.51E-06,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.143164458,1.289151453
STX11,hsa-mir-504,-0.162965604,0.009133507,0.065282182,0.409911933,0.000385183,0.004648606,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.992409573,0.580394155
NEBL,hsa-mir-766,-0.208676989,0.00079964,0.010568348,0.299647573,0.011127074,0.059082773,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.361022273,1.322990949
CMIP,hsa-mir-204,-0.153333025,0.014245507,0.089250626,0.531394027,1.86E-06,6.66E-05,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.536983411,0.078072147
CDC42EP2,hsa-mir-940,0.248578109,5.99E-05,0.001315875,-0.313826738,0.007696439,0.045079673,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.692184513,4.605302462
PTCH1,hsa-mir-200a,-0.178977808,0.004141338,0.03685563,0.284999193,0.015995912,0.07690546,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.519774765,1.041799829
TMOD2,hsa-mir-193b,-0.283031965,4.40E-06,0.000146188,0.337196404,0.004033076,0.027929651,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.597604223,1.729288472
ARFIP2,hsa-mir-493,0.217172579,0.000478154,0.007054444,-0.454174996,6.94E-05,0.001209359,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.921914206,2.222833224
BCHE,hsa-mir-200b,0.246749757,6.81E-05,0.001463175,-0.415390444,0.00031549,0.003978412,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.525594823,0.895763791
TINAG,hsa-mir-497,-0.209879713,0.000744391,0.009998755,0.282767873,0.016878883,0.07991445,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.759373356,0.652279723
ALDH1L2,hsa-mir-500a,0.505250207,0,0,-0.292721484,0.013239707,0.067058137,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.634203299,1.172403264
LPCAT1,hsa-mir-1262,-0.197030983,0.001567297,0.017777745,0.387317899,0.00084707,0.00855071,targetprofiler-Yes,targetscan-NO,miRanda-NO,6.042164071,0.796997697
SLC9A6,hsa-mir-539,0.329392436,7.24E-08,3.97E-06,-0.338406457,0.003895089,0.027216586,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.79821824,1.023821647
FLT4,hsa-mir-4326,-0.210868124,0.000701649,0.009541879,0.315964062,0.007269455,0.043212751,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.390834981,2.99265709
SPRY3,hsa-mir-326,-0.16429984,0.008572355,0.062424747,0.341392295,0.003572381,0.025494439,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.965144383,0.944123776
RDH10,hsa-mir-424,0.230727192,0.000201934,0.003548658,-0.362050837,0.001918763,0.015982812,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.322258935,1.364860164
SLCO3A1,hsa-mir-210,-0.202222173,0.001166393,0.014176796,0.812015967,0,0,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.987816322,4.469544408
ALG2,hsa-mir-192,0.23623329,0.000140185,0.002642399,-0.54425164,9.30E-07,3.80E-05,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.916995538,2.148734803
DNAJB6,hsa-mir-382,0.176727463,0.004646686,0.040095897,-0.274141968,0.02069675,0.09246453,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.899977127,1.90198708
ZNF35,hsa-mir-21,-0.225748779,0.000278811,0.004587697,0.351400155,0.002657116,0.020424062,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.83890697,3.096079214
USP54,hsa-mir-629,-0.182978475,0.003363837,0.03160171,0.587844434,7.05E-08,4.56E-06,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.573174381,2.360629139
FYB,hsa-mir-642a,0.194461563,0.001809243,0.019845546,-0.272517876,0.021492429,0.095004052,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.355401057,0.478387143
TTLL2,hsa-mir-95,0.241407898,9.87E-05,0.001982323,-0.294153979,0.012776351,0.065340663,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.560954637,2.786110791
ZNF662,hsa-mir-589,-0.191845699,0.002090182,0.02214939,0.28800038,0.014871124,0.072963838,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.852336562,1.86313464
ARHGAP6,hsa-mir-664,-0.149811199,0.016662817,0.099430554,0.32969746,0.004989147,0.032704645,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.69320745,0.58364116
BRI3,hsa-mir-34a,0.153044718,0.014431137,0.09003776,-0.363301213,0.001845468,0.01551401,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.494098514,1.728441557
HOXA7,hsa-mir-551b,0.22290707,0.000334133,0.005310296,-0.317139369,0.007043634,0.042228551,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.39346916,0.715895719
DOCK8,hsa-mir-656,-0.190328537,0.002270808,0.023584484,0.300558091,0.010872399,0.058081884,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.330286235,1.234796787
NRK,hsa-mir-758,0.226939482,0.000258272,0.004320358,-0.407222591,0.000424307,0.005013516,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.03961481,1.844449436
NHLRC1,hsa-mir-421,0.182960748,0.003366969,0.031623335,-0.426158982,0.000210982,0.002902221,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.173383434,4.489850499
PGAM1,hsa-mir-1976,0.168195503,0.007105188,0.054578684,-0.284375944,0.016238451,0.077739727,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.742045475,1.805161397
