mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PSPH,hsa-mir-25,0.141723467,0.015544473,0.077341619,-0.488927666,0.004517091,0.056963248,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.4445401801741566,1.963619291312491
TRIB3,hsa-mir-132,-0.175730275,0.00262736,0.021126299,0.605006608,0.0002443,0.009383809,targetprofiler-Yes,targetscan-Yes,miRanda-NO,4.359717450669362,1.0807607447738417
FANCE,hsa-mir-940,0.146890543,0.01212104,0.064797552,-0.587911736,0.000402588,0.012827878,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8324973286142759,1.0800878066046804
ETS1,hsa-mir-200c,0.154381654,0.008338396,0.049491056,-0.576695818,0.000550504,0.015611781,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.525882820302552,0.4913504920922977
IPO9,hsa-mir-589,-0.20504882,0.000431072,0.005339659,0.644274309,6.91E-05,0.004212676,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9669896171912792,2.3749655378420624
C6orf165,hsa-mir-889,-0.139859184,0.016972912,0.082359851,0.674256139,2.32E-05,0.002121573,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.688081346965277,0.3529389726085534
NFXL1,hsa-mir-1251,0.14381293,0.014069584,0.072042753,-0.579622398,0.000507893,0.014871781,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.852922930660201,0.20895455259041573
FAM122C,hsa-mir-144,-0.159000586,0.006568117,0.04155693,0.444548778,0.010798511,0.096378141,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0315816613957616,2.3369569856844943
GPIHBP1,hsa-mir-370,0.190892647,0.001065964,0.010677656,-0.559022155,0.000881572,0.020943231,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.13479019127301117,0.3909126671636507
C1orf106,hsa-mir-96,0.194615906,0.000845124,0.00894416,-0.481190555,0.005301885,0.06279372,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.297942074975575,3.155378758196169
TNNI1,hsa-mir-96,0.17151182,0.003335943,0.025211176,-0.626192301,0.00012627,0.006179327,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.1510329979905012,3.155378758196169
PLCG1,hsa-mir-3690,-0.155230247,0.007984375,0.04793808,0.540577982,0.001402537,0.027896177,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.5760834028102528,4.51124299607419
KLHL21,hsa-mir-22,0.348878362,9.41E-10,8.99E-08,-0.53914456,0.001452479,0.028498935,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6487360768161631,0.9926095320516921
CCNB3,hsa-mir-451,-0.147255542,0.011906515,0.063986829,0.465088969,0.00731562,0.076256471,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.2050288705125334,1.8748425366187083
CDC14A,hsa-mir-107,-0.161030686,0.005902608,0.038417898,0.494184147,0.00404277,0.053284342,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.3652823478819414,0.8707040108581675
BTBD7,hsa-mir-223,-0.169113267,0.003812096,0.027816732,0.61076814,0.000205114,0.008377404,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.4181575235277513,2.999866681937445
