mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
DTNA,hsa-mir-122,0.154378305,0.002907565,0.024597682,-0.478397561,0.000441389,0.024019794,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.6701041977925666,0.6080187642614128
RPL8,hsa-mir-148b,0.126982889,0.014517352,0.08102761,-0.553057341,3.11E-05,0.004277736,targetprofiler-NO,targetscan-NO,miRanda-Yes,2.356039840493431,1.2714068173798436
AKT3,hsa-mir-151,-0.148108459,0.004303087,0.033090687,0.491019986,0.000293964,0.018714419,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9732244075678027,1.4549804689586543
THOC4,hsa-mir-497,-0.121475462,0.019419339,0.099693883,0.519801374,0.000109449,0.009840123,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.9165708560952541,0.4795203830066869
DNAJC16,hsa-mir-500a,0.130955085,0.011691764,0.069360161,-0.406434227,0.003402616,0.079396179,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6526420967882306,2.6931379491844525
SPINT1,hsa-mir-483,0.123800906,0.017196878,0.091448542,-0.396183211,0.004397537,0.091627249,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.9492370196019198,3.661584145398365
AEBP2,hsa-mir-23c,-0.149017952,0.004068853,0.031739111,0.408561992,0.003222968,0.077126774,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.8907633132822355,0.8633991518465874
LOC100130581,hsa-mir-17,-0.152575835,0.003259237,0.026836654,0.397706188,0.004235227,0.089682208,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4892080287969054,1.8340438827037733
CYP2B6,hsa-mir-421,-0.151210661,0.003550804,0.028651088,0.467933903,0.000611075,0.029297334,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.1576121288683614,1.9658939400232798
ANTXR1,hsa-mir-186,-0.190677661,0.000224917,0.00331839,0.429703203,0.001844178,0.055971723,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2649009013725485,1.0617326051794624
INTS7,hsa-mir-20a,0.175357189,0.000704206,0.008222204,-0.46377454,0.000693451,0.031559763,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.6514756746125208,2.146892808038456
STK10,hsa-mir-589,-0.151264543,0.003538862,0.028578034,0.578410702,1.09E-05,0.00203798,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0856581654407422,2.5769410825048498
P2RX4,hsa-mir-29a,-0.220840246,1.81E-05,0.000421683,0.405325986,0.003499636,0.080673544,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6525100498243708,0.6140295249550826
FEM1C,hsa-mir-380,-0.130353721,0.012085594,0.071054433,0.493836057,0.000267899,0.017667951,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7576483294078961,2.958763716059456
FAM49B,hsa-mir-217,-0.197256307,0.000133967,0.002181508,0.505062539,0.00018353,0.013832696,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.8714516955918583,15.907489243185687
APOL6,hsa-mir-221,-0.148671581,0.004156665,0.032254795,0.469560674,0.000581333,0.02845598,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.48037752898161656,2.478115464141084
TANC2,hsa-mir-151,-0.136392699,0.008614778,0.055465271,0.41674469,0.002607608,0.068505533,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.892668769863207,1.4549804689586543
CDKN2AIPNL,hsa-mir-940,0.151328245,0.003524791,0.028488992,-0.506874068,0.000172451,0.013286774,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.083371134485905,1.5813281323372628
MADD,hsa-mir-140,-0.163796458,0.00157011,0.015345221,0.438668702,0.001439549,0.048603716,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0880931152809497,1.4701072398454291
PDCD6IP,hsa-mir-651,0.129359276,0.012762579,0.073872824,-0.440754247,0.001357633,0.04703644,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9859469198116817,0.956672738054901
MAN2B1,hsa-mir-34a,-0.16652903,0.001304961,0.013299028,0.59749281,4.63E-06,0.00111125,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3792125717798884,2.1684448097315863
ADCY7,hsa-mir-217,-0.138209846,0.007760615,0.051365708,0.511703629,0.000145822,0.011924979,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1240568974320908,15.907489243185687
NALCN,hsa-mir-203,0.156654179,0.002512901,0.022017142,-0.408178302,0.003254731,0.077526618,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8643106833967804,0.9672011956917236
MLPH,hsa-mir-27b,-0.23386579,5.46E-06,0.0001538,0.631054034,8.98E-07,0.000335915,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.1604239965897183,0.6113168831300445
SFMBT2,hsa-mir-589,-0.148104091,0.004304241,0.033095661,0.450849258,0.001017024,0.03959217,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1106923218102513,2.5769410825048498
ZNF35,hsa-mir-21,-0.151258088,0.003540291,0.028586972,0.405093746,0.003520273,0.080943336,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4205975668775879,2.881392051375374
POU6F1,hsa-mir-500a,-0.13364651,0.010064736,0.062205373,0.440254293,0.001376882,0.047391286,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0091085907828976,2.6931379491844525
SCAP,hsa-mir-130b,0.122892239,0.018037366,0.094626783,-0.536819508,5.85E-05,0.006509322,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.1765783247241748,1.7729175357272673
UGT1A9,hsa-mir-141,-0.130358352,0.012082517,0.07104,0.408062418,0.003264378,0.077679764,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7507924710271505,4.966898978280365
COL4A1,hsa-mir-203,0.174126008,0.000768833,0.008815852,-0.401049712,0.003897223,0.085572603,targetprofiler-Yes,targetscan-Yes,miRanda-NO,3.750030266323201,0.9672011956917236
XPR1,hsa-mir-548v,0.316863986,4.50E-10,4.26E-08,-0.480583344,0.000411849,0.023049707,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.6625732387068055,1.1566379978567676
CHST11,hsa-mir-34a,-0.14148795,0.006408917,0.044631441,0.391627295,0.00491612,0.097491929,targetprofiler-Yes,targetscan-NO,miRanda-Yes,2.0399857831422743,2.1684448097315863
PQLC3,hsa-mir-221,-0.155115181,0.002774009,0.02372584,0.44506616,0.001201339,0.043674722,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.914732855229683,2.478115464141084
SRC,hsa-mir-217,-0.23130289,6.95E-06,0.000188511,0.553572465,3.05E-05,0.004219099,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.4007629660963814,15.907489243185687
CRKL,hsa-mir-3174,0.131440152,0.011382403,0.068029012,-0.435770094,0.001560721,0.051009673,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1614537218722112,2.1724861840847116
SYNCRIP,hsa-let-7c,-0.135385524,0.009123413,0.057879003,0.450595044,0.001024561,0.03976908,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9903559322271599,0.40100868003518164
ENTPD1,hsa-mir-452,-0.123962609,0.017050949,0.090885366,0.484384647,0.000364703,0.021364808,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.5826714989803634,4.7614685934892576
FMNL3,hsa-mir-217,-0.125009321,0.016132256,0.087359428,0.485492963,0.000351909,0.020893054,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.7171572053142987,15.907489243185687
ZNF286B,hsa-mir-29a,-0.241587941,2.59E-06,8.20E-05,0.412138853,0.002939771,0.073308574,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.692989065229083,0.6140295249550826
RAP1GDS1,hsa-mir-185,-0.136488264,0.008567853,0.055247601,0.428817764,0.001889167,0.056827849,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8853502312736711,1.47950527846017
NRAS,hsa-mir-624,0.148721666,0.004143862,0.032177579,-0.40176595,0.003827983,0.084754332,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.348005110175391,0.7232022253815432
NETO2,hsa-mir-203,0.211854143,3.99E-05,0.000808856,-0.419505366,0.002424842,0.0657427,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.550259588620071,0.9672011956917236
MMGT1,hsa-mir-539,-0.140494368,0.006794432,0.046613587,0.459781573,0.000781793,0.033918167,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.1509592308686196,2.809223377806923
NCBP1,hsa-mir-25,0.185993147,0.000321937,0.004420714,-0.406096179,0.003431956,0.079808826,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8909075129163221,1.6596170239395192
ITPKB,hsa-mir-106b,-0.14524487,0.005122232,0.037725791,0.408638188,0.003216693,0.07703866,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.1306560585586918,1.5859479770214346
PECAM1,hsa-mir-22,0.185872443,0.000324889,0.004453289,-0.452434167,0.000971149,0.038540218,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7749418801201207,0.7033866951145764
UGGT1,hsa-let-7b,-0.149937355,0.003843842,0.030419792,0.406068357,0.00343438,0.079848825,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.6192408282163093,0.6141883735635847
ASCC3,hsa-mir-548v,0.139486571,0.007206536,0.048688397,-0.393783846,0.004664329,0.094635654,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1739806585007106,1.1566379978567676
NKD1,hsa-mir-183,-0.138184578,0.007771954,0.051417307,0.459409787,0.000790512,0.034122056,targetprofiler-NO,targetscan-Yes,miRanda-NO,15.426055619350425,12.838288919753518
OBSCN,hsa-mir-34a,-0.13422612,0.009741839,0.060738278,0.412730279,0.002895127,0.072701145,targetprofiler-Yes,targetscan-NO,miRanda-Yes,5.732569706920407,2.1684448097315863
CNDP2,hsa-mir-29a,0.300557042,3.66E-09,2.74E-07,-0.394967143,0.004531033,0.093164895,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7503720005938803,0.6140295249550826
SIRPB2,hsa-mir-589,-0.127769756,0.013914178,0.07860567,0.414981383,0.00273063,0.070309567,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6076990950904398,2.5769410825048498
FRAT2,hsa-mir-766,0.244835685,1.88E-06,6.23E-05,-0.426239022,0.002025801,0.059250854,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3262512103949373,1.4946263743577468
LMBR1,hsa-mir-204,0.125738037,0.015518527,0.084990143,-0.404559622,0.003568143,0.081546828,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0038850428595845,1.735485081806004
TCF4,hsa-mir-452,-0.147771133,0.004393013,0.033602977,0.403375045,0.003676361,0.082864175,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0827919987536685,4.7614685934892576
HCLS1,hsa-mir-30d,-0.144699458,0.005293299,0.03865895,0.392227453,0.00484488,0.096715708,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5997662373547057,1.9789856251423226
MID2,hsa-mir-939,-0.156514665,0.002535614,0.022161118,0.410696495,0.003051209,0.074900657,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2763849405804741,2.0934547996599555
LOC100130015,hsa-mir-328,0.248454103,1.30E-06,4.57E-05,-0.429719596,0.001843354,0.055962996,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.151763332399331,0.7757400014678121
FTSJD2,hsa-mir-183,-0.125393377,0.015806204,0.086104944,0.562155249,2.15E-05,0.003312194,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.171376584084945,12.838288919753518
UPF3A,hsa-mir-10a,-0.183848827,0.000378293,0.005028823,0.433287225,0.001671657,0.052978909,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.4791419046495125,0.47930129164104707
LY9,hsa-mir-34a,-0.122904277,0.018026001,0.094583448,0.453658103,0.000937001,0.037741515,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.7186018203155229,2.1684448097315863
UBASH3B,hsa-mir-34a,-0.15082315,0.003637768,0.029173892,0.499250018,0.000223596,0.015746341,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.2107710948051997,2.1684448097315863
