mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
FOXN4,hsa-mir-629,0.135688744,0.003970327,0.031511471,-0.362665087,0.001882437,0.010617613,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.720093335,2.570630447
RPS6KA1,hsa-mir-1291,-0.117502914,0.012719173,0.074451168,0.36735876,0.001624626,0.009466457,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.715988622,0.655978971
CCDC3,hsa-mir-370,0.41272677,0,0,-0.328822163,0.005112872,0.023035533,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.812540425,1.024103751
SERBP1,hsa-mir-629,0.230747186,7.71E-07,3.03E-05,-0.355616148,0.002338917,0.012566627,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.241659432,2.570630447
GANC,hsa-mir-96,-0.179330978,0.000133249,0.002213227,0.342270224,0.003482133,0.01713036,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.623095924,10.73901616
COPS2,hsa-mir-31,0.170472887,0.000284763,0.0040729,-0.469049519,3.69E-05,0.000466778,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.902861682,34.0985595
RUFY3,hsa-mir-664,0.302517044,5.90E-11,7.07E-09,-0.333487786,0.004483404,0.020815442,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.969434096,1.340401801
SEC24A,hsa-mir-186,-0.142582915,0.002459005,0.021895431,0.274988955,0.020291852,0.065693086,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.523042401,1.895871792
ZNF506,hsa-mir-561,-0.133957045,0.004463351,0.034407884,0.326819739,0.005406168,0.024048587,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.983063744,6.217686565
KIAA1429,hsa-mir-1304,0.142543161,0.002465956,0.021943176,-0.319162133,0.006669383,0.028221057,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.265324615,1.43796161
SLC25A21,hsa-mir-96,0.147177055,0.001766144,0.017005947,-0.29104924,0.013798928,0.04914026,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.232061135,10.73901616
EIF1AX,hsa-mir-493,0.163861942,0.000490149,0.006251721,-0.315163521,0.007426884,0.030662557,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.940219046,2.208571308
PGBD1,hsa-mir-18b,0.191283989,4.51E-05,0.000919591,-0.255380073,0.031598437,0.091471326,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.933068122,1.237985313
