mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
SLC12A8,hsa-mir-495,-0.140332972,0.009361023,0.073652506,0.533453371,0.000563183,0.095114773,targetprofiler-NO,targetscan-NO,miRanda-Yes,3.1725006396680815,2.002296677705153
RNASE6,hsa-mir-106a,-0.224197269,2.86E-05,0.000929446,0.572891123,0.000170611,0.047990207,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.4670521618174727,2.4335139424923056
FMNL3,hsa-mir-708,-0.183233535,0.000661526,0.010712585,0.537830827,0.000496821,0.089022734,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5504738470612971,9.770166528938537
ULK2,hsa-mir-1248,0.27591283,2.16E-07,1.65E-05,-0.532100201,0.000585238,0.097184311,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5749260101322109,13.527790011336005
RAB3IP,hsa-mir-337,0.397690443,2.09E-14,8.53E-12,-0.598745594,7.15E-05,0.02885742,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0803332833595387,2.281986878170284
NPR1,hsa-mir-224,-0.220667189,3.84E-05,0.001175361,0.630516448,2.21E-05,0.013477796,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.06942176680966808,9.290415864287
KIF4A,hsa-mir-199b,-0.171497634,0.001454799,0.019305635,0.565555119,0.000215503,0.055301011,targetprofiler-NO,targetscan-Yes,miRanda-NO,21.98386808671861,1.4306848495107893
FUCA1,hsa-mir-196b,-0.171873384,0.001419615,0.018952874,0.554059477,0.000307412,0.068243551,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.47370325435460636,46.74399117574376
SND1,hsa-mir-151,0.161865146,0.002679718,0.03022893,-0.584395422,0.000116949,0.038499803,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3718043841865426,1.3635969280173657
TPP1,hsa-mir-130b,-0.222077589,3.42E-05,0.001069676,0.537364895,0.000503536,0.089643134,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.548447949629457,7.209204190731397
SLC12A8,hsa-mir-377,-0.132795426,0.013982222,0.096974924,0.65070799,9.74E-06,0.008059351,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.1725006396680815,1.8179919347292466
PAPLN,hsa-mir-629,-0.191818561,0.000360346,0.006770356,0.587543468,0.000105205,0.035822107,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2129809455494907,2.217975514742635
TMEM106A,hsa-mir-363,-0.142393572,0.008361145,0.068084628,0.533929884,0.000555595,0.094425495,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.4892298215417186,1.3090870766054372
HEYL,hsa-mir-1293,-0.143190611,0.008000658,0.066031558,0.593196656,8.68E-05,0.032013894,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.33754346233938654,8.65669528876262
HSPG2,hsa-mir-1293,-0.168759708,0.001736319,0.022005383,0.739922457,1.11E-07,0.000358415,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8443914479402882,8.65669528876262
GRIK2,hsa-mir-378c,-0.187359328,0.000495665,0.008615546,0.539154175,0.000478181,0.087563699,targetprofiler-Yes,targetscan-NO,miRanda-NO,6.450153878622565,0.9679848006083741
RAB3IP,hsa-mir-433,0.424395109,2.22E-16,1.16E-13,-0.531018256,0.000603423,0.09861948,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0803332833595387,3.1417325387203783
SFTPB,hsa-mir-200c,-0.156028462,0.003820154,0.039111039,0.538174901,0.000491913,0.088699837,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.09915376782673704,3.0111910760179184
C16orf53,hsa-mir-181d,0.18491621,0.00058849,0.009815084,-0.563226454,0.000231825,0.057792149,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.7333128264038153,1.0375156947288784
