mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PARP11,hsa-mir-335,-0.170478611,0.000140446,0.001114599,0.515431318,9.22E-05,0.003965193,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.110410236,1.639342299
GNAZ,hsa-mir-1251,-0.107224006,0.017125107,0.058925204,0.652697094,1.58E-07,2.30E-05,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.290075922,0.143877121
CDK4,hsa-mir-616,0.184349369,3.75E-05,0.000359635,-0.367228536,0.007405787,0.084465918,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.285624431,2.091845584
FAM122C,hsa-mir-193b,0.114654588,0.01076353,0.040781829,-0.372805126,0.006491385,0.077803445,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.937548304,1.444342797
AGA,hsa-mir-17,-0.141506472,0.001615745,0.008703564,0.414068107,0.002276645,0.0395271,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.124023788,2.754405568
LNX1,hsa-mir-487a,-0.125152379,0.005343499,0.023218768,0.394961316,0.003759176,0.054857365,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.791177953,1.068132178
PKIA,hsa-mir-221,-0.147023753,0.001048002,0.006072517,0.366616969,0.007512574,0.085159347,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.959004619,0.453682627
LIMS1,hsa-mir-143,0.126951282,0.004714419,0.020963865,-0.385095321,0.004816282,0.064424039,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.845505845,0.535035777
PPAP2C,hsa-mir-148a,-0.187490148,2.74E-05,0.000274378,0.666692445,6.82E-08,1.14E-05,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.05413204,3.22386016
MORC2,hsa-mir-192,0.263231796,2.83E-09,8.20E-08,-0.4645555,0.000521599,0.0143147,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.233165394,1.279369406
