mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
MFAP3L,hsa-mir-151,0.172882849,0.000839616,0.007012144,-0.735658873,4.78E-07,7.92E-05,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.721730223,2.200910844
CD99L2,hsa-mir-497,0.245981733,1.67E-06,3.92E-05,-0.407780012,0.015032795,0.062023272,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.684741717,0.617704388
CD36,hsa-mir-93,-0.157870123,0.00232266,0.015818466,0.422599444,0.011436548,0.051676576,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.235180328,3.949126919
FAM126A,hsa-mir-873,0.22434885,1.32E-05,0.000227215,-0.393680687,0.019292223,0.073369141,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.009675856,0.723399341
CRAMP1L,hsa-mir-204,0.117245326,0.024107555,0.095813669,-0.497667106,0.002350561,0.018246058,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.065167657,0.305948553
ZNF521,hsa-mir-539,0.183152927,0.000398472,0.00383461,-0.406290651,0.01544167,0.063148752,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.013942426,1.068863119
BDH2,hsa-mir-2116,-0.196090024,0.000147038,0.001695024,0.545276492,0.000705552,0.008390533,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.469905226,2.137092354
COPS2,hsa-mir-31,0.204517765,7.41E-05,0.000963113,-0.576917988,0.000285738,0.004686227,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.84755976,1.258108779
KIAA0895L,hsa-mir-193a,-0.134687019,0.009491674,0.047439211,0.595475536,0.000160875,0.003241101,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.200396905,0.951430256
VPS13D,hsa-mir-497,0.130247907,0.01215609,0.05729358,-0.379660449,0.02448064,0.086160758,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.667089568,0.617704388
ZNF519,hsa-mir-1296,0.139722831,0.00710797,0.037955672,-0.443810738,0.007571769,0.039255483,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.145729438,1.343169838
SMUG1,hsa-let-7e,0.278658431,5.03E-08,1.91E-06,-0.555641652,0.000529943,0.0069792,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.177571969,1.160492122
ARMC1,hsa-mir-186,0.172281404,0.00087598,0.007254914,-0.464394737,0.004948553,0.02965912,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.10484431,1.237610022
TLE4,hsa-mir-195,0.348769075,5.06E-12,5.67E-10,-0.41920381,0.012188646,0.053899517,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.492060686,0.545478933
SPN,hsa-mir-18a,-0.207679253,5.69E-05,0.000773712,0.493462351,0.002593069,0.019453614,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.064580249,5.441368717
DBF4B,hsa-mir-589,0.280175921,4.22E-08,1.65E-06,-0.387659469,0.021395428,0.078695209,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.202780134,2.44430929
PLA2G12A,hsa-mir-577,0.124775776,0.016333394,0.071630519,-0.413979226,0.013427226,0.057505265,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.831528379,1.281211221
SHROOM4,hsa-mir-337,0.185600855,0.000331623,0.003304305,-0.468636516,0.004518642,0.027957321,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.345185893,0.771126826
FNDC4,hsa-mir-203,-0.119857063,0.021109893,0.086796358,0.747544503,2.47E-07,5.09E-05,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.433553546,0.447987713
RDH5,hsa-mir-212,-0.117226047,0.024130983,0.095881399,0.475764929,0.003868623,0.025247021,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.507847007,1.975344862
GSTCD,hsa-mir-96,0.133102971,0.010376125,0.050791364,-0.452063249,0.006404318,0.035116449,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.415287452,3.747751391
BAHD1,hsa-mir-1295,0.122342793,0.018562786,0.078863416,-0.396500404,0.018368217,0.070995104,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.865357331,1.015386141
TSR1,hsa-mir-484,0.166822117,0.001279114,0.009842035,-0.543270643,0.000744942,0.008697555,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.316289943,1.213990782
PACSIN3,hsa-mir-877,0.172504514,0.000862324,0.007163431,-0.593983385,0.0001687,0.003342505,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.773063549,5.496483589
KCTD15,hsa-mir-543,0.14561422,0.005009229,0.028937225,-0.524808475,0.00120934,0.011891772,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.617954502,1.812864939
TRIM45,hsa-mir-493,0.123651729,0.01733247,0.074901099,-0.628176915,5.34E-05,0.001605661,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.259983503,2.600932203
CXorf21,hsa-mir-3170,-0.179205959,0.000533179,0.004857021,0.460677843,0.005353802,0.031241055,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.570817028,1.746916747
DISC1,hsa-mir-889,0.125368097,0.015827486,0.069950215,-0.396650763,0.018320001,0.070862643,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.321524765,1.724972374
PTCH1,hsa-mir-200a,-0.16072195,0.001926916,0.013636973,0.442734345,0.007736679,0.039808323,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.037802553,2.615069714
TCF7L2,hsa-mir-214,-0.200386962,0.000104066,0.0012743,0.438800812,0.008365668,0.041947433,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2018309,1.877916064
CLK2,hsa-mir-454,0.212834172,3.67E-05,0.000535568,-0.385643533,0.022140766,0.080534745,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.491794975,1.984862528
SLC6A6,hsa-mir-429,-0.201034449,9.87E-05,0.001219724,0.506542496,0.001902737,0.015936272,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.015136318,1.484572568
NFX1,hsa-mir-2114,0.218786531,2.18E-05,0.000346126,-0.550766662,0.000607006,0.007618026,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.985258787,0.765548126
