mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
HSD17B7,hsa-mir-146a,-0.124351923,0.004834959,0.019699236,0.536882389,1.17E-05,0.001864639,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.2599520412077951,0.8018877932960112
SPATA6,hsa-mir-495,-0.152954137,0.000514767,0.003013618,0.431009235,0.000654721,0.037974589,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6759652571061625,0.6872434777728799
PDK3,hsa-mir-590,-0.095187175,0.031282059,0.08864836,0.45219303,0.000323796,0.02311293,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.398805154317707,0.8625032487829561
DTX4,hsa-mir-874,-0.338681359,3.33E-15,2.29E-13,0.384704285,0.002625836,0.094628481,targetprofiler-NO,targetscan-Yes,miRanda-NO,8.427158977776479,0.8434992588736316
IGF2BP3,hsa-mir-98,0.095817009,0.030175358,0.086184687,-0.429923804,0.000677948,0.038841215,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.2197594723310994,0.8412350959622037
TNFAIP8L1,hsa-mir-221,-0.235478644,7.00E-08,1.21E-06,0.419197154,0.000950935,0.048895294,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4356812814284907,8.2470735897694
EBF1,hsa-mir-21,-0.102619713,0.020207278,0.06277228,0.461277269,0.000236016,0.018424519,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.8380894146848589,2.9393595281753644
IDH2,hsa-mir-222,-0.154474833,0.00045166,0.002697272,0.711633577,2.65E-10,1.76E-07,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.3198466550872305,6.474089401831509
CTBP2,hsa-mir-629,0.215792926,8.26E-07,1.10E-05,-0.597118789,5.97E-07,0.000162187,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0418186599785066,1.0467439990359813
SNAP91,hsa-mir-29a,-0.111552028,0.011541827,0.040051246,0.449989465,0.000349149,0.024441501,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.558592052649825,0.9977840954165713
TPD52L2,hsa-mir-337,0.175251539,6.70E-05,0.000524028,-0.392996796,0.002077026,0.081718106,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0863703456696607,0.513186866031385
LRAT,hsa-mir-629,0.095198682,0.031261532,0.088603401,-0.402835704,0.001560319,0.068125046,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.7197302654022374,1.0467439990359813
NPTN,hsa-mir-21,0.139608184,0.001541413,0.007620315,-0.607987349,3.27E-07,9.71E-05,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.9526448639634522,2.9393595281753644
ADAM12,hsa-mir-659,-0.119895011,0.006605877,0.025461508,0.413716799,0.001125617,0.054734765,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.845424065396565,1.2706080067329484
MAPK12,hsa-mir-221,-0.226368904,2.26E-07,3.46E-06,0.797901955,3.84E-14,6.13E-11,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.6754156517328425,8.2470735897694
MAP4,hsa-mir-22,-0.296012387,8.18E-12,3.18E-10,0.402496324,0.001576019,0.068562084,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4016973085749025,0.9882716485845585
IKZF4,hsa-mir-221,0.262428315,1.64E-09,4.09E-08,-0.464622023,0.000209607,0.016941441,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4417635274054061,8.2470735897694
EYA2,hsa-mir-184,0.239044909,4.37E-08,7.92E-07,-0.411095649,0.001218955,0.057717452,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.494743182939661,11.755441410697422
PDE4B,hsa-mir-21,-0.25657682,3.85E-09,8.86E-08,0.464032805,0.000214054,0.017189484,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.5717218238779349,2.9393595281753644
SIGLEC11,hsa-mir-200a,-0.106726702,0.015694226,0.051316561,0.427805839,0.000725431,0.040651134,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.4442506824034319,1.4395819864154265
IGFN1,hsa-mir-627,0.18744184,1.96E-05,0.000179916,-0.402987285,0.001553353,0.067923279,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.38061339581609,0.7865851661446307
