mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PAK2,hsa-mir-221,0.417953433,9.56E-09,2.41E-06,-0.777252084,0.001768084,0.057471774,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2026267632044993,1.040139759054016
CEBPZ,hsa-mir-335,0.24339701,0.001210925,0.042273627,-0.733393075,0.004333323,0.092981464,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.9442215474754914,3.750540495962203
CCDC50,hsa-mir-206,0.220562917,0.00344947,0.086104587,-0.774697637,0.001872533,0.059227099,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.4321802966706069,14.078774970194322
ARL8B,hsa-mir-203,0.291810298,9.35E-05,0.006247152,-0.824087589,0.000531599,0.028748375,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7878710311231777,17.483124725142986
FERMT2,hsa-mir-345,0.218129202,0.00383429,0.092204514,-0.73883412,0.003913546,0.088269391,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.18747179192995464,9.894574336501934
RFTN1,hsa-mir-424,0.255400103,0.000670758,0.027745089,-0.805950243,0.000878687,0.038575121,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.23113210997603598,0.3071910605747866
CYB561,hsa-mir-18a,-0.267330822,0.000362413,0.017639315,0.829247249,0.000456085,0.0262392,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.074049176752814,16.387604748424305
ZDHHC1,hsa-mir-106b,-0.217236104,0.003984932,0.094515041,0.766421564,0.002244386,0.065387346,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.5875860450117679,6.074124141264395
YIPF4,hsa-mir-1301,0.410708465,1.81E-08,4.26E-06,-0.823859278,0.000535155,0.028826989,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.331664379784373,9.58274904274554
RABEP1,hsa-mir-3909,0.237581415,0.001595947,0.051136955,-0.80576469,0.000882982,0.038679498,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6339028495959371,2.865412483000313
ADCY1,hsa-mir-488,0.241069392,0.001353467,0.045653264,-0.84285933,0.000296908,0.020217512,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.1272729356859474,2.130414368750465
FMNL3,hsa-mir-378,0.222785948,0.003128792,0.080693811,-0.746157509,0.003398976,0.081830438,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6118651040298938,2.2362363466867166
CD2AP,hsa-mir-182,-0.26304406,0.000453633,0.020848599,0.736881758,0.004060381,0.089966961,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.8080587881936465,48.747953657680426
CENPL,hsa-mir-106b,0.351516848,1.97E-06,0.000258967,-0.731249865,0.004507884,0.094945601,targetprofiler-NO,targetscan-NO,miRanda-Yes,3.8136885133666776,6.074124141264395
FMOD,hsa-mir-345,-0.221828083,0.003263509,0.082973384,0.750416921,0.003124809,0.078255829,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.30026415058215034,9.894574336501934
