,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.158,0.1146,0.0434,0.2946,0.2438,0.0508,0.237,0.1686,0.0684
blossom_02,0.1396,0.1174,0.0222,0.282,0.2432,0.0388,0.221,0.1666,0.0544
blossom_03,0.1314,0.1172,0.0142,0.277,0.2452,0.0318,0.2146,0.1694,0.0452
blossom_04,0.1282,0.1184,0.00979999999999999,0.2742,0.2462,0.028,0.2098,0.1672,0.0426
blossom_05,0.1252,0.1172,0.00799999999999999,0.2724,0.2434,0.029,0.2072,0.1662,0.041
edge_betweenness,0.144,0.1206,0.0234,0.2808,0.247,0.0338,0.224,0.2024,0.0216
fast_greedy,0.1428,0.12,0.0228,0.2802,0.2482,0.032,0.2252,0.1974,0.0278
hungarian_algorithm,0.1832,0.116,0.0672,0.3018,0.254,0.0478,0.2554,0.1806,0.0748
label_propagation,0.1668,0.1202,0.0466,0.2918,0.2524,0.0394,0.2438,0.189,0.0548
leading_eigen,0.1396,0.1194,0.0202,0.2784,0.2486,0.0298,0.2208,0.1976,0.0232
louvain_algorithm,0.1418,0.122,0.0198,0.2784,0.2488,0.0296,0.2242,0.2004,0.0238
walktrap_algorithm,0.1706,0.1208,0.0498,0.2932,0.2552,0.038,0.2458,0.1814,0.0644
