,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1434,0.1098,0.0336,0.2828,0.2402,0.0426,0.21,0.1604,0.0496
blossom_02,0.133,0.1098,0.0232,0.2748,0.2386,0.0362,0.2016,0.1572,0.0444
blossom_03,0.1278,0.1104,0.0174,0.2714,0.238,0.0334,0.1966,0.1564,0.0402
blossom_04,0.1262,0.112,0.0142,0.269,0.2374,0.0316,0.1946,0.1584,0.0362
blossom_05,0.123,0.1124,0.0106,0.2664,0.24,0.0264,0.1932,0.1586,0.0346
blossom_06,0.1248,0.1142,0.0106,0.265,0.24,0.025,0.1892,0.1574,0.0318
edge_betweenness,0.1286,0.1078,0.0208,0.2712,0.2438,0.0274,0.1992,0.1972,0.002
fast_greedy,0.132,0.1088,0.0232,0.2734,0.2428,0.0306,0.2022,0.1942,0.00800000000000001
hungarian_algorithm,0.1598,0.1096,0.0502,0.2922,0.2422,0.05,0.2266,0.1764,0.0502
label_propagation,0.156,0.1072,0.0488,0.289,0.241,0.048,0.221,0.1816,0.0394
leading_eigen,0.127,0.108,0.019,0.2688,0.2476,0.0212,0.1976,0.2008,-0.0032
louvain_algorithm,0.131,0.1076,0.0234,0.2726,0.241,0.0316,0.2002,0.195,0.0052
walktrap_algorithm,0.1456,0.1046,0.041,0.2824,0.2398,0.0426,0.2138,0.1814,0.0324
