,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.151,0.1056,0.0454,0.2856,0.2318,0.0538,0.2164,0.1694,0.047
blossom_02,0.13,0.1026,0.0274,0.2702,0.233,0.0372,0.2002,0.1624,0.0378
blossom_03,0.1208,0.1022,0.0186,0.2616,0.231,0.0306,0.194,0.1622,0.0318
blossom_04,0.1142,0.1014,0.0128,0.2548,0.2334,0.0214,0.19,0.1602,0.0298
blossom_05,0.1108,0.1004,0.0104,0.2544,0.235,0.0194,0.187,0.1578,0.0292
edge_betweenness,0.134,0.111,0.023,0.2608,0.2588,0.002,0.2002,0.1834,0.0168
fast_greedy,0.1356,0.1108,0.0248,0.2616,0.2594,0.0022,0.2004,0.1838,0.0166
hungarian_algorithm,0.1806,0.106,0.0746,0.2888,0.2478,0.041,0.2318,0.1888,0.043
label_propagation,0.1706,0.1086,0.062,0.285,0.2492,0.0358,0.2278,0.1876,0.0402
leading_eigen,0.1422,0.1066,0.0356,0.2656,0.2572,0.00839999999999998,0.2012,0.1818,0.0194
louvain_algorithm,0.1352,0.111,0.0242,0.2614,0.2596,0.0018,0.2006,0.1826,0.018
walktrap_algorithm,0.1502,0.1134,0.0368,0.2702,0.262,0.0082,0.211,0.1864,0.0246
