,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1256,0.1094,0.0162,0.2702,0.2386,0.0316,0.1956,0.1576,0.038
blossom_02,0.1196,0.1092,0.0104,0.2654,0.2368,0.0286,0.1904,0.1556,0.0348
blossom_03,0.1164,0.109,0.0074,0.2634,0.237,0.0264,0.1876,0.155,0.0326
blossom_04,0.1152,0.109,0.0062,0.2618,0.2356,0.0262,0.1862,0.1548,0.0314
blossom_05,0.1144,0.109,0.0054,0.261,0.235,0.026,0.1852,0.1542,0.031
blossom_06,0.1142,0.1088,0.0054,0.2608,0.2356,0.0252,0.185,0.1542,0.0308
blossom_07,0.1136,0.1088,0.0048,0.2606,0.2358,0.0248,0.1844,0.154,0.0304
edge_betweenness,0.1182,0.114,0.0042,0.2644,0.2396,0.0248,0.1884,0.151,0.0374
fast_greedy,0.1154,0.1286,-0.0132,0.2622,0.2532,0.00899999999999999,0.1856,0.155,0.0306
hungarian_algorithm,0.1364,0.111,0.0254,0.2774,0.2454,0.032,0.2054,0.1634,0.042
label_propagation,0.1306,0.1138,0.0168,0.2728,0.2454,0.0274,0.1994,0.1596,0.0398
leading_eigen,0.1134,0.2256,-0.1122,0.2608,0.2868,-0.026,0.1842,0.1868,-0.00260000000000001
louvain_algorithm,0.1154,0.1264,-0.011,0.2624,0.249,0.0134,0.186,0.156,0.03
walktrap_algorithm,0.124,0.1138,0.0102,0.268,0.2484,0.0196,0.1934,0.1604,0.033
