,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1318,0.1094,0.0224,0.2764,0.2402,0.0362,0.2012,0.1588,0.0424
blossom_02,0.1238,0.1094,0.0144,0.2706,0.2386,0.032,0.194,0.1582,0.0358
blossom_03,0.12,0.1088,0.0112,0.2674,0.2374,0.03,0.1902,0.1578,0.0324
blossom_04,0.118,0.1088,0.0092,0.265,0.236,0.029,0.1884,0.1548,0.0336
blossom_05,0.1168,0.109,0.0078,0.264,0.2362,0.0278,0.1872,0.1554,0.0318
blossom_06,0.1162,0.1094,0.0068,0.2638,0.237,0.0268,0.1856,0.1556,0.03
edge_betweenness,0.1202,0.1184,0.0018,0.2664,0.2584,0.008,0.1896,0.1612,0.0284
fast_greedy,0.1202,0.1164,0.0038,0.2666,0.2586,0.008,0.1898,0.1638,0.026
hungarian_algorithm,0.1452,0.1118,0.0334,0.2858,0.2462,0.0396,0.2138,0.1664,0.0474
label_propagation,0.1402,0.1108,0.0294,0.2806,0.2456,0.035,0.2084,0.168,0.0404
leading_eigen,0.1158,0.1422,-0.0264,0.2632,0.2862,-0.023,0.1858,0.1802,0.00560000000000001
louvain_algorithm,0.1192,0.12,-0.000800000000000006,0.2662,0.2604,0.0058,0.189,0.1652,0.0238
walktrap_algorithm,0.1292,0.1126,0.0166,0.273,0.2538,0.0192,0.1982,0.163,0.0352
