,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1482,0.1176,0.0306,0.2842,0.249,0.0352,0.2152,0.1568,0.0584
blossom_02,0.1312,0.1168,0.0144,0.2732,0.2476,0.0256,0.198,0.1544,0.0436
blossom_03,0.1234,0.1166,0.0068,0.268,0.2438,0.0242,0.1894,0.1548,0.0346
blossom_04,0.1204,0.116,0.0044,0.2644,0.2432,0.0212,0.1858,0.1564,0.0294
blossom_05,0.116,0.1166,-6e-04,0.2608,0.2448,0.016,0.1806,0.1548,0.0258
edge_betweenness,0.1354,0.1226,0.0128,0.2704,0.2602,0.0102,0.1994,0.1906,0.0088
fast_greedy,0.1362,0.1224,0.0138,0.2712,0.2612,0.01,0.2002,0.1892,0.011
hungarian_algorithm,0.1688,0.1184,0.0504,0.2916,0.2604,0.0312,0.2278,0.1772,0.0506
label_propagation,0.165,0.1166,0.0484,0.2916,0.259,0.0326,0.2248,0.1774,0.0474
leading_eigen,0.1388,0.121,0.0178,0.271,0.2552,0.0158,0.2026,0.1884,0.0142
louvain_algorithm,0.1368,0.1222,0.0146,0.2712,0.2602,0.011,0.201,0.1886,0.0124
walktrap_algorithm,0.1484,0.1196,0.0288,0.2798,0.2612,0.0186,0.2114,0.1816,0.0298
