,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1288,0.111,0.0178,0.271,0.2394,0.0316,0.2006,0.1594,0.0412
blossom_02,0.124,0.1112,0.0128,0.2672,0.2384,0.0288,0.196,0.1586,0.0374
blossom_03,0.1214,0.111,0.0104,0.265,0.2384,0.0266,0.1938,0.1586,0.0352
blossom_04,0.1198,0.111,0.0088,0.2642,0.2382,0.026,0.1928,0.1582,0.0346
blossom_05,0.119,0.111,0.008,0.2636,0.2386,0.025,0.1918,0.158,0.0338
blossom_06,0.1188,0.111,0.0078,0.2634,0.2388,0.0246,0.192,0.1588,0.0332
blossom_07,0.119,0.1112,0.0078,0.2646,0.2412,0.0234,0.1906,0.1584,0.0322
edge_betweenness,0.1302,0.1098,0.0204,0.271,0.2426,0.0284,0.2014,0.1584,0.043
fast_greedy,0.1196,0.112,0.0076,0.2642,0.2374,0.0268,0.192,0.1538,0.0382
hungarian_algorithm,0.139,0.1112,0.0278,0.278,0.241,0.037,0.2092,0.1618,0.0474
label_propagation,0.1188,0.1172,0.0016,0.2626,0.242,0.0206,0.1912,0.151,0.0402
leading_eigen,0.1186,0.1112,0.0074,0.2628,0.2364,0.0264,0.1912,0.1584,0.0328
louvain_algorithm,0.1196,0.107,0.0126,0.2636,0.2444,0.0192,0.192,0.1534,0.0386
walktrap_algorithm,0.126,0.1078,0.0182,0.2684,0.2434,0.025,0.198,0.1556,0.0424
