,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.163,0.107,0.056,0.2878,0.2354,0.0524,0.2382,0.1474,0.0908
blossom_02,0.1254,0.1046,0.0208,0.2692,0.2274,0.0418,0.192,0.1418,0.0502
blossom_03,0.1114,0.1072,0.0042,0.2638,0.2252,0.0386,0.1764,0.1436,0.0328
edge_betweenness,0.1496,0.1116,0.038,0.264,0.2448,0.0192,0.2196,0.16,0.0596
fast_greedy,0.1522,0.1112,0.041,0.2594,0.2436,0.0158,0.2184,0.1628,0.0556
hungarian_algorithm,0.159,0.1054,0.0536,0.2514,0.2438,0.0076,0.2282,0.1578,0.0704
label_propagation,0.1756,0.1106,0.065,0.264,0.2394,0.0246,0.2428,0.1618,0.081
leading_eigen,0.1518,0.1118,0.04,0.2582,0.2448,0.0134,0.2182,0.1594,0.0588
louvain_algorithm,0.1506,0.1112,0.0394,0.2612,0.244,0.0172,0.2214,0.1638,0.0576
walktrap_algorithm,0.1514,0.1106,0.0408,0.2606,0.2426,0.018,0.221,0.1628,0.0582
