,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1326,0.1096,0.023,0.2752,0.2452,0.03,0.2018,0.1586,0.0432
blossom_02,0.1242,0.1094,0.0148,0.2696,0.2418,0.0278,0.194,0.157,0.037
blossom_03,0.1202,0.1094,0.0108,0.2678,0.242,0.0258,0.1884,0.157,0.0314
blossom_04,0.118,0.1106,0.0074,0.2658,0.2412,0.0246,0.1864,0.1562,0.0302
blossom_05,0.117,0.1102,0.0068,0.266,0.2406,0.0254,0.1844,0.1552,0.0292
blossom_06,0.1168,0.1098,0.007,0.265,0.2404,0.0246,0.184,0.1548,0.0292
edge_betweenness,0.132,0.1082,0.0238,0.2734,0.2396,0.0338,0.2002,0.1592,0.041
fast_greedy,0.1202,0.1072,0.013,0.2656,0.231,0.0346,0.1894,0.1694,0.02
hungarian_algorithm,0.1458,0.1094,0.0364,0.2836,0.2466,0.037,0.2136,0.1644,0.0492
label_propagation,0.1254,0.109,0.0164,0.2692,0.2382,0.031,0.1944,0.1664,0.028
leading_eigen,0.1172,0.113,0.0042,0.264,0.2226,0.0414,0.1866,0.1782,0.0084
louvain_algorithm,0.1202,0.1086,0.0116,0.266,0.226,0.04,0.1892,0.1678,0.0214
walktrap_algorithm,0.1346,0.1104,0.0242,0.274,0.2504,0.0236,0.203,0.1628,0.0402
