,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1354,0.114,0.0214,0.273,0.2404,0.0326,0.2086,0.1596,0.049
blossom_02,0.1282,0.1136,0.0146,0.2676,0.2396,0.028,0.2018,0.16,0.0418
blossom_03,0.1244,0.1128,0.0116,0.265,0.2382,0.0268,0.1982,0.16,0.0382
blossom_04,0.1226,0.113,0.00959999999999999,0.2632,0.2378,0.0254,0.1968,0.16,0.0368
blossom_05,0.1214,0.1128,0.0086,0.2624,0.2374,0.025,0.196,0.1602,0.0358
blossom_06,0.1204,0.113,0.0074,0.2612,0.2382,0.023,0.1934,0.159,0.0344
blossom_07,0.12,0.1124,0.0076,0.2604,0.236,0.0244,0.1932,0.159,0.0342
edge_betweenness,0.1272,0.1178,0.00939999999999999,0.2664,0.2404,0.026,0.2006,0.1684,0.0322
fast_greedy,0.1226,0.13,-0.0074,0.2628,0.256,0.00679999999999999,0.197,0.1842,0.0128
hungarian_algorithm,0.1502,0.114,0.0362,0.2826,0.2438,0.0388,0.2204,0.168,0.0524
label_propagation,0.1282,0.1204,0.00779999999999999,0.2672,0.2438,0.0234,0.2014,0.1676,0.0338
leading_eigen,0.1208,0.1392,-0.0184,0.2616,0.2552,0.00639999999999999,0.1958,0.175,0.0208
louvain_algorithm,0.1222,0.1264,-0.0042,0.2626,0.2484,0.0142,0.1964,0.1728,0.0236
walktrap_algorithm,0.1324,0.1178,0.0146,0.2696,0.2494,0.0202,0.2046,0.166,0.0386
