,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1378,0.1156,0.0222,0.2702,0.229,0.0412,0.2108,0.1654,0.0454
blossom_02,0.1268,0.1108,0.016,0.2624,0.2274,0.035,0.2,0.157,0.043
blossom_03,0.122,0.1106,0.0114,0.2586,0.2244,0.0342,0.1956,0.157,0.0386
blossom_04,0.1192,0.1116,0.0076,0.2564,0.2262,0.0302,0.1934,0.1578,0.0356
blossom_05,0.1172,0.112,0.0052,0.2554,0.2292,0.0262,0.192,0.1586,0.0334
edge_betweenness,0.1322,0.1142,0.018,0.2638,0.2434,0.0204,0.2008,0.1674,0.0334
fast_greedy,0.1322,0.116,0.0162,0.2638,0.241,0.0228,0.2026,0.1664,0.0362
hungarian_algorithm,0.1522,0.1134,0.0388,0.2732,0.2416,0.0316,0.2212,0.162,0.0592
label_propagation,0.1538,0.1128,0.041,0.2766,0.2384,0.0382,0.2202,0.1676,0.0526
leading_eigen,0.134,0.1156,0.0184,0.2614,0.2408,0.0206,0.2024,0.1724,0.03
louvain_algorithm,0.133,0.1154,0.0176,0.2642,0.2414,0.0228,0.2028,0.1666,0.0362
walktrap_algorithm,0.149,0.1144,0.0346,0.2738,0.2426,0.0312,0.2156,0.1668,0.0488
