,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1742,0.1198,0.0544,0.3092,0.2534,0.0558,0.2362,0.1722,0.064
blossom_02,0.1404,0.1222,0.0182,0.28,0.2434,0.0366,0.1944,0.167,0.0274
blossom_03,0.1334,0.1236,0.0098,0.2788,0.246,0.0328,0.1836,0.1678,0.0158
edge_betweenness,0.1662,0.1204,0.0458,0.2934,0.2588,0.0346,0.2386,0.1938,0.0448
fast_greedy,0.1664,0.1206,0.0458,0.2936,0.2606,0.033,0.2384,0.1944,0.044
hungarian_algorithm,0.1754,0.12,0.0554,0.2894,0.262,0.0274,0.2428,0.1914,0.0514
label_propagation,0.1816,0.1196,0.062,0.2998,0.2548,0.045,0.2516,0.1902,0.0614
leading_eigen,0.1666,0.1204,0.0462,0.2934,0.2574,0.036,0.2396,0.1928,0.0468
louvain_algorithm,0.1652,0.1204,0.0448,0.2924,0.2592,0.0332,0.2378,0.1946,0.0432
walktrap_algorithm,0.1666,0.12,0.0466,0.2934,0.2604,0.033,0.239,0.194,0.045
