from,to,weight
1,4,0.100462737689001
1,28,0.0505098363421932
2,3,0.0237550638700339
2,15,0.107854825910975
2,23,0.0160039402062188
2,26,0.0206508956887475
2,27,0.019664224842008
2,29,0.0237135090640607
2,33,0.0172016532198322
3,14,0.0276291576772848
3,17,0.0174241424329809
4,6,0.020696453440641
4,10,0.126743216989506
4,17,0.0210559404936625
4,24,0.00916788485526581
4,27,0.0222744481614625
4,30,0.0313508858870197
4,31,0.0323440268411454
4,33,0.0206057664598762
5,9,0.0122664053593378
5,11,0.031763148851656
5,14,0.0576190211786022
5,22,0.015856031060522
5,23,0.0345925171008653
5,28,0.019032223464078
5,33,0.0181684707746639
6,9,0.0425773167863302
6,12,0.021909675788467
6,13,0.0233700108196782
6,21,0.0240815508484502
6,23,0.102431033548926
6,24,0.0568629775068949
6,26,0.0352358972516654
6,27,0.060403890069051
6,28,0.0460191942432173
6,30,0.0173161083764017
6,33,0.0299503669941095
7,8,0.0204862055028697
7,9,0.0189119072986892
7,15,0.0316005968409701
7,17,0.0419750018844011
7,31,0.0972646852349364
7,33,0.0418028054222613
8,15,0.0957715692039525
8,28,0.0197146981126133
8,29,0.0260727730943595
9,13,0.0284037489532352
9,23,0.0426755892586855
9,24,0.157074023736249
9,25,0.014198765249147
9,26,0.0722142719191084
9,27,0.0445435690312661
9,28,0.0325165388855952
9,30,0.0129287644932937
9,33,0.063168185520435
10,28,0.0253384116339227
11,20,0.0402911594147935
11,27,0.0223431277226236
12,28,0.0222451867998943
12,31,0.0346929217396333
13,15,0.0497696388550382
13,23,0.0450330122167696
13,24,0.00915832932183304
13,25,0.107483010347515
13,26,0.0820715117428334
13,33,0.0255947785261844
14,15,0.0438096378653804
14,16,0.0246718195736373
14,17,0.0410027689337768
15,16,0.186829047941557
15,17,0.0149165752359708
15,18,0.0537736755966527
15,20,0.11347608298904
15,28,0.0868252677455849
15,29,0.0382593148950641
15,31,0.0968408670038123
16,18,0.0289697573632011
16,20,0.0321344285832256
17,22,0.0120028884009614
17,23,0.0258144562993326
17,24,0.0234168402277822
17,26,0.0152988701414237
17,27,0.0287724687168383
17,28,0.0577409464657144
17,30,0.0364586060303392
17,33,0.0415551347069208
21,25,0.127800900791889
22,28,0.0380194412373223
22,33,0.0133822742062446
23,24,0.104155657216399
23,25,0.0225127084684868
23,26,0.163928029033856
23,27,0.123967362731022
23,28,0.0296399040056811
23,30,0.017047254953133
23,32,0.0234698045259083
23,33,0.0482716045615216
24,25,0.00877186657876641
24,26,0.0671762574373694
24,27,0.0518618143919913
24,28,0.0489281033116985
24,30,0.0188425381070578
24,32,0.0124264214502426
24,33,0.0822230546380093
26,27,0.0361337540988801
26,28,0.0543754685831537
26,29,0.0189953987001166
26,30,0.0232914558973614
26,33,0.120504257903323
27,28,0.0169243182942665
27,29,0.0172278127955469
27,33,0.0332512419047394
28,29,0.0355814226405434
28,31,0.0636227323056872
28,32,0.0246901924875427
28,33,0.0141879726284207
29,30,0.0231722767482943
30,33,0.0181096686328088
32,33,0.0552625103575667
