from,to,weight
2,43,0.304693953582662
2,76,0.0483334692790414
3,4,0.0400866702806821
3,59,0.0499801994645599
4,15,0.0509581516778405
5,6,0.0721070375401452
5,16,0.0152103111685808
5,35,0.0266272870757755
5,47,0.0278563482576897
5,53,0.0315497624165993
5,54,0.0136734977099562
5,55,0.033878481305253
5,62,0.0237443908275781
5,67,0.0506435543119928
5,75,0.0625606734587942
6,18,0.17115152633483
6,20,0.131735852230693
6,23,0.150129071032607
6,43,0.234413054607669
6,47,0.0348571847421323
7,8,0.13095232086046
7,29,0.0602604563304736
7,35,0.0312584038566807
8,9,0.0986410793681978
8,16,0.0141905473764889
8,24,0.0847017302710827
8,38,0.0248975340245394
8,60,0.0264267184342033
8,62,0.0469469874940314
8,63,0.0692185810332769
8,76,0.0340576630409816
10,16,0.0130370437477155
10,47,0.0274779263410803
10,54,0.0116778979658528
12,16,0.0110959465598469
12,35,0.0190351364547372
12,38,0.0202341148685615
12,46,0.0770355881913848
12,69,0.0680980780380268
12,75,0.07629447436375
12,77,0.176199171185418
13,66,0.0423682562783342
13,71,0.0628423407863725
14,17,0.0420576521837621
14,23,0.0477309603459911
14,54,0.0131616202362683
14,59,0.0625679881336617
14,61,0.031464018204045
14,62,0.0234949345978783
14,76,0.0355410684179596
15,29,0.0431705588707574
15,35,0.0236470504447598
16,38,0.0690902029129758
16,47,0.0378824271187215
16,49,0.0143209705716622
16,50,0.0156725694914209
16,51,0.0313020906831572
16,52,0.0154334404882033
16,53,0.0833714473262653
16,54,0.135185983778818
16,55,0.0659780022333601
16,58,0.0155108781075466
16,61,0.0523582302648215
16,62,0.0350412846427457
16,76,0.0389037161666943
16,77,0.0124528268462645
17,24,0.0619762336489082
17,68,0.0526884392347299
18,20,0.197517940089793
19,25,0.0953223585744123
19,47,0.0345942249291585
19,76,0.0415243486931359
20,64,0.0644977750681668
22,32,0.067213164063235
22,33,0.0475818662427017
22,36,0.0531112218325353
23,35,0.0275346914147894
23,38,0.0261534728144582
23,54,0.0123292244605299
23,78,0.0718756152025454
25,78,0.0892103701876284
26,32,0.0724518865702416
26,51,0.117637328202817
26,59,0.159731385255779
26,64,0.0459978389160852
26,69,0.200598938793611
26,71,0.213644269762663
26,76,0.149789881018696
26,77,0.080976529404986
27,51,0.158603108088192
27,54,0.0128216610505663
28,38,0.0326716820915607
28,54,0.0170287997651473
28,72,0.163951100965996
28,76,0.0458532146197221
29,32,0.0657144567980706
29,33,0.0444092752325471
29,35,0.0273893127853359
30,36,0.0975862841887543
32,33,0.253741857937194
32,35,0.0200441479733357
32,36,0.0840213681197699
32,59,0.134251464123279
32,66,0.0526065579807132
32,68,0.170214124483561
33,68,0.061347545477067
35,38,0.0509050400159779
35,46,0.0255996468932822
35,54,0.0305719858529379
35,55,0.0187957547451777
35,60,0.01710411597137
35,61,0.0401070776052898
35,62,0.0314810442674788
35,64,0.0234215968478689
35,67,0.0260351438569367
35,76,0.0617767884010833
37,39,0.116978906697663
38,47,0.02013283254647
38,51,0.032761316513516
38,53,0.0595787242765325
38,54,0.0652351510161561
38,55,0.144605109483988
38,59,0.0284201227110271
38,60,0.0187351838887425
38,61,0.0453426025973719
38,62,0.0576904542320624
38,72,0.0384276432328304
38,75,0.0292993544210047
38,76,0.0199518365087166
41,68,0.231469604108005
42,47,0.0349182487302528
42,52,0.213001501319815
42,70,0.105976888320415
43,64,0.0530489312492037
47,50,0.0350940615068837
47,51,0.0344985874004773
47,53,0.0450679702402447
47,54,0.0449287490106021
47,55,0.0466023157199446
47,61,0.0916472814840773
47,62,0.113913740005697
47,75,0.0341442638525113
47,76,0.0723158766679129
48,60,0.0229155493804184
48,76,0.0839595993990867
50,54,0.0132851037883188
50,55,0.0367455247839467
50,62,0.0571502258571835
50,72,0.100584876539607
51,52,0.184256589167169
51,55,0.106692965265683
51,62,0.0571572847366692
52,56,0.160927470696604
52,62,0.0283855889385269
53,54,0.100568697782735
53,55,0.0632280795351741
53,61,0.022655395254628
53,62,0.0748987288619635
54,55,0.0570303858496353
54,56,0.0118582640787027
54,61,0.0492031418994504
54,62,0.0849385516361789
54,75,0.01331072160607
54,76,0.068805145282076
55,58,0.0395259228163842
55,59,0.0367127034466622
55,61,0.0253408140249987
55,62,0.176409452154468
55,66,0.0232165984112537
55,76,0.0785423435089998
58,61,0.0437296010722724
59,62,0.0260064028351055
59,66,0.0458461175238506
61,62,0.147680752420251
61,66,0.0248080504255876
62,76,0.0413162298261009
64,69,0.082812407553165
64,76,0.0925302089404905
66,67,0.0353682118789755
66,74,0.134561237244583
66,76,0.0533721339608151
69,76,0.0314058252689092
69,77,0.104274425510515
69,78,0.059950037130424
71,76,0.0332037020844014
71,77,0.0409724110057394
