from,to,weight
1,2,0.0169731573541411
1,3,0.000958622581657259
1,5,0.00188955129024036
1,9,0.00228906226742034
1,10,0.00303906310390695
1,15,0.00134243576254447
1,16,0.00189599740733309
1,18,0.00240502499466048
1,19,0.00972799548166376
1,20,0.00352382737232665
1,25,0.00160079415423259
1,27,0.00116204301523429
1,29,0.00307767629152913
1,30,0.00119956060999961
1,31,0.00453203406024175
1,32,0.0111354532671477
1,35,0.00357782172938301
1,37,0.00150163639718957
1,40,0.00512860136114028
1,42,0.00418069891131359
1,46,0.00100325019102893
1,47,0.000738089790980124
1,48,0.00259196986753863
1,49,0.0042195954575761
1,51,0.00340984133594414
1,55,0.00118676172633253
1,56,0.00452261055590945
1,58,0.00182238331732832
1,59,0.00194085866795455
1,60,0.0038005028423793
1,61,0.00381936615383269
1,62,0.00134130895802839
1,63,0.00199094635973542
1,64,0.00332480360951776
1,65,0.00506705554321949
1,67,0.00188632215646024
1,69,0.000853842556296521
1,71,0.00120653187191469
1,72,0.00850275867535697
1,73,0.00302086056772788
1,75,0.00296841368685147
1,76,0.00531004186996146
1,80,0.00391184501223886
1,81,0.00150497514374556
1,82,0.00227033978591586
1,83,0.00720969611730323
1,84,0.00177917560877357
1,85,0.00125511554710475
1,87,0.0017203209932584
1,88,0.0021911033258622
1,89,0.00153743393760048
1,90,0.0022617089898127
1,92,0.00354153860023095
1,94,0.00252764156452813
1,99,0.00134137618418815
1,100,0.00127924464775631
1,101,0.00123583218911816
1,102,0.00258313053710299
1,103,0.00454807026306491
1,105,0.00353738157697118
1,107,0.00487446814416721
1,110,0.00102904464255693
1,111,0.00546563845737975
1,112,0.00238413429033983
1,113,0.00191319026972978
1,114,0.00117284472009617
1,115,0.00312754028953496
1,118,0.00231289399134534
1,122,0.00957204256071087
1,124,0.00191729249192914
1,125,0.00225599628418368
1,127,0.00177588875909635
1,128,0.00207386133767306
1,130,0.00601137369264095
1,131,0.00676785182224759
1,132,0.00123083937777311
1,134,0.0071330511006881
1,137,0.00653388584704186
1,140,0.00283764048549103
1,141,0.00150277000505303
1,142,0.0027096547187565
1,144,0.029400638209694
1,145,0.0256552481552207
1,146,0.00105766756482207
1,148,0.00385919870682077
1,149,0.00610727536166482
1,150,0.0014197763506162
1,153,0.00349607308822892
2,3,0.0142773726216315
2,6,0.0136694804553201
2,8,0.00202541346859427
2,9,0.00413990807877305
2,11,0.00546817704523106
2,15,0.00664407708067038
2,19,0.00849580973016121
2,20,0.0117574121997202
2,23,0.00636794137305805
2,26,0.00368735312592227
2,28,0.00513865763220353
2,29,0.00542639503761301
2,30,0.00177169830336438
2,31,0.0169431529140808
2,35,0.00440602162052755
2,37,0.00775356451490656
2,38,0.00643684278766652
2,39,0.0058173259569947
2,42,0.0138369348605772
2,45,0.00133912998791986
2,47,0.0109954552971348
2,50,0.00191182914841655
2,54,0.00192170323748531
2,55,0.00436231020167313
2,56,0.00322111473411066
2,58,0.00507291516294427
2,59,0.00543433938339219
2,61,0.0121715854864172
2,64,0.00696797204103777
2,65,0.00168444793941315
2,67,0.00403870681930835
2,69,0.0250518388489781
2,70,0.00452849108722743
2,72,0.00570266231322834
2,73,0.00307930112073266
2,74,0.00304366151196163
2,75,0.00385307626915471
2,76,0.00253054381302212
2,77,0.00429503787963126
2,79,0.0073746839784885
2,80,0.00498548233120297
2,82,0.00223710975591996
2,84,0.00200526343567333
2,86,0.00237583878445426
2,89,0.0121756983778535
2,92,0.00356933649230917
2,93,0.0236799481292196
2,94,0.00101568611669378
2,95,0.0132448697450106
2,96,0.00618837160833316
2,97,0.0028987514075796
2,99,0.00216351184379319
2,100,0.00153898461936403
2,101,0.00990465037950051
2,102,0.0151076250250291
2,103,0.00205860736400999
2,104,0.00742775313293907
2,105,0.0042607115084855
2,106,0.00341798856513196
2,107,0.00164849948663215
2,108,0.00882798231578358
2,109,0.00514474948240732
2,110,0.00829102087316699
2,111,0.0131434701336205
2,114,0.00393563193262846
2,115,0.00711462068171015
2,118,0.00314034681762775
2,122,0.00344323876379324
2,123,0.00536499083189917
2,125,0.00295375892834582
2,128,0.00988581136026356
2,130,0.00213634574839086
2,131,0.00245449815668294
2,132,0.00157673626654528
2,137,0.00608432880989778
2,138,0.00724790763847556
2,140,0.00612093386165509
2,141,0.00288661006347526
2,142,0.00423510102862716
2,143,0.00205508257794835
2,144,0.000880879287661832
2,145,0.00127861186548989
2,146,0.0100093721574023
2,147,0.00665865926897306
2,151,0.0072183515923439
3,10,0.00294903025437101
3,15,0.00887656282309863
3,20,0.00142627332268239
3,21,0.0024324455616355
3,24,0.0017917558653669
3,28,0.00291223675115816
3,29,0.00162700492372473
3,30,0.00214524469451981
3,31,0.00785575365808309
3,33,0.00197467233905547
3,37,0.00177616107691915
3,38,0.00860583761774391
3,40,0.00589725337700078
3,42,0.011313275674474
3,45,0.00148852167921781
3,47,0.0116759322096003
3,50,0.00258569240852061
3,52,0.00282413367397106
3,53,0.00538145586153828
3,54,0.00234130234328599
3,58,0.00139801712975259
3,60,0.00328103473673393
3,61,0.00566754608923432
3,62,0.00870515892343569
3,63,0.00118776680352494
3,65,0.00420480431696187
3,69,0.019042921277141
3,72,0.00294445309037856
3,73,0.00181198822402257
3,74,0.00212428451588251
3,75,0.00317179367338282
3,77,0.00241002180480927
3,78,0.00311119399520313
3,81,0.00299918077554295
3,83,0.00234444118183586
3,84,0.00206565073934072
3,88,0.00437585828214362
3,89,0.00873898018953023
3,93,0.0124501147205628
3,95,0.00149847874367374
3,96,0.00502727956507669
3,100,0.00202605417463399
3,101,0.00184219722130685
3,103,0.00170754474819569
3,104,0.00909682089268992
3,105,0.00408366239572975
3,109,0.00206677279260737
3,110,0.00725861362364807
3,111,0.00559271285486108
3,113,0.00534594950899082
3,114,0.00216433743879454
3,115,0.00242255453178085
3,124,0.00367250737343833
3,125,0.00174926072443958
3,128,0.00290503954865802
3,131,0.00272606612982804
3,132,0.00224483479308077
3,133,0.00226479319040625
3,137,0.00316267540383399
3,138,0.00640389600138941
3,140,0.00887363715865444
3,141,0.0062576454747603
3,145,0.00233282931384886
3,146,0.0042586919797144
3,149,0.00214142552958378
4,5,0.0159766940717626
4,9,0.00782519350735285
4,15,0.00658036928311928
4,27,0.00425145284133758
4,32,0.00287611149273273
4,42,0.00232284750733137
4,49,0.0269402983971536
4,59,0.00516421961517947
4,89,0.00328700789395842
4,101,0.00481821674163743
4,107,0.00345088414597871
4,108,0.0235564429404115
4,118,0.00340742209840932
4,119,0.0103128298038222
4,127,0.0055205055991569
4,131,0.00362683994338764
4,132,0.00435962126163946
4,133,0.00712308607062166
4,137,0.00767607563177033
4,138,0.00346657442212029
4,142,0.00790355927710142
4,146,0.0100701079930817
4,147,0.00571962722432969
4,151,0.00840856629902434
5,6,0.0111910154412919
5,11,0.00603095134395782
5,13,0.00447311236390796
5,36,0.0342319049603864
5,42,0.00325053262555112
5,50,0.00528162389555914
5,57,0.00541262394421668
5,58,0.00255972574740002
5,59,0.0108546613287173
5,79,0.00589339897406788
5,86,0.0131345586979471
5,108,0.0233662784494074
5,125,0.00316679331200105
5,131,0.00441473657210966
5,137,0.00119730355736992
5,146,0.00192129342812743
5,148,0.00640424457537409
5,151,0.0425349987235971
6,7,0.00320827328758351
6,13,0.00212335038895292
6,15,0.0100323203269414
6,17,0.00249639158248185
6,18,0.00396963408991307
6,20,0.00149877661136159
6,21,0.00251106284340724
6,23,0.00617295294938276
6,24,0.00994754045178107
6,26,0.00867888408260085
6,28,0.00763050052885141
6,29,0.00291600687815098
6,31,0.00449393116547672
6,35,0.0121351234767248
6,39,0.00288184365836548
6,41,0.00311626819705197
6,42,0.0028391840781406
