from,to,weight
4,14,0.0115783199370773
7,14,0.031788104416153
7,74,0.0370971304206669
8,19,0.0525223542668847
13,22,0.0648794192137093
13,27,0.0210537294053869
13,48,0.0447406966867787
13,55,0.0477742311383672
13,62,0.0258536816467039
14,26,0.0108333829980135
14,53,0.0118883911466651
14,74,0.00997274665487535
15,29,0.119288994090769
15,35,0.0913282923496289
19,45,0.0634439531427531
22,48,0.103712796581456
23,24,0.182748191046912
26,86,0.0712594407293882
27,28,0.0442195848826603
27,77,0.0604958968745711
27,84,0.0700955640355592
30,75,0.186943150378583
31,34,0.183811781689788
34,65,0.183234646337038
36,37,0.111893664108916
36,40,0.0716200611162575
36,66,0.157350138094671
37,66,0.091794054003532
37,83,0.0897945364843293
40,44,0.0572378538235238
40,66,0.060396763263978
42,70,0.144282888802075
48,62,0.0712635937534586
54,77,0.0579097842888727
55,78,0.0902635440862738
72,77,0.0709920305066798
