from,to,weight
1,3,0.00419129587382229
1,18,0.008867208707983
1,27,0.00305877025560073
1,33,0.0049596041232911
1,37,0.00692957539943354
1,41,0.00340907823317215
1,42,0.0111225582947321
1,47,0.0111399665131478
1,48,0.00398928462049753
1,52,0.00885995399801033
1,57,0.00289133707212307
1,59,0.00430186775436097
1,68,0.00426509666667581
1,70,0.00479606201998451
1,73,0.00647073523272354
2,8,0.0145915514517634
2,13,0.00364130332474902
2,21,0.011161182444775
2,22,0.00351323363937178
2,23,0.014191388040371
2,26,0.0170776218471357
2,28,0.00700455118626944
2,29,0.0054323790719581
2,30,0.00827337032665745
2,32,0.0182764832700091
2,38,0.023488977512971
2,43,0.00526511299719614
2,45,0.00851252498552605
2,48,0.00417356448258802
2,52,0.00515084904627281
2,53,0.0174957020726753
2,57,0.00290521471497956
2,72,0.00438893505951166
2,73,0.00738335050082025
2,75,0.0114860882434793
2,77,0.00418471885926732
2,80,0.00538849306301266
2,81,0.00515027953519161
2,83,0.0129518285600946
2,84,0.00706962826299076
2,85,0.00479326491324929
2,89,0.00372403868147953
3,4,0.00516450491782102
3,8,0.00332789605211934
3,22,0.00942861344603838
3,34,0.0136241820862751
3,35,0.00638899827802473
3,38,0.00459751158876861
3,42,0.00709712227225868
3,46,0.00821815446700404
3,47,0.0072115807398258
3,52,0.0104555879558018
3,57,0.00355354370825627
3,73,0.0098061017166504
4,11,0.00689841898677433
4,15,0.00917926193356961
4,17,0.0114547190500796
4,20,0.0247651629008953
4,24,0.0272253982620762
4,25,0.0367333578521797
4,36,0.00531568499860939
4,40,0.0299418040922883
4,50,0.0141006951458931
4,60,0.00890725229075814
4,64,0.00832061769664257
4,66,0.00833492523994317
4,67,0.00836386456503191
4,69,0.00722807497410582
4,73,0.00266398336027724
4,78,0.0077087339260385
4,80,0.00757265776881354
4,85,0.00662157755900851
4,86,0.00534130930546709
4,88,0.0164984486854396
5,9,0.0202536227685668
5,15,0.0173370214394297
5,20,0.0171959201930821
5,24,0.018143669273936
5,25,0.00579302190472332
5,40,0.0055250622017084
5,88,0.0168495677412839
6,8,0.00434369855876852
6,13,0.00661695722377259
6,23,0.00328058810029291
6,30,0.00878419134332621
6,32,0.0122631328583501
6,45,0.0080430879727035
6,73,0.00407139133583297
6,75,0.0165630942097822
6,84,0.00510046179395896
7,18,0.00898869945443734
7,23,0.00307654620621458
7,31,0.0165501264591775
8,12,0.00385258195439796
8,13,0.00689262670651973
8,22,0.0191751424601572
8,23,0.0101466758143022
