from,to
4,79
5,223
8,163
9,78
11,150
12,134
17,37
21,229
24,127
27,235
29,103
32,98
33,228
34,106
35,19
40,143
45,151
48,83
49,220
50,76
51,133
56,71
57,123
59,63
60,23
64,176
65,226
72,90
73,118
75,214
81,43
84,55
85,7
88,202
89,61
91,206
92,213
99,165
104,87
105,42
108,101
109,110
112,86
113,199
114,149
115,46
117,191
120,31
124,119
125,69
126,39
129,53
137,156
138,154
139,93
141,175
144,145
146,174
152,197
153,82
161,142
162,44
166,159
168,147
170,207
171,148
172,38
178,62
180,173
181,158
186,30
187,205
193,230
194,227
195,15
196,77
203,188
204,157
208,221
209,122
210,164
212,189
216,130
218,182
219,47
224,167
231,215
232,66
234,102
