from,to,weight
1,2,0.00609477193292815
1,3,0.00563657240184961
1,4,0.0132926326714386
1,5,0.0243290201256803
1,16,0.0139628887923856
1,20,0.00535753424174219
1,23,0.0062979655129387
2,8,0.00786642370066335
3,6,0.0098489038119727
3,15,0.017775561713577
3,16,0.0082371691119482
4,5,0.0162763797559746
4,6,0.00471315535969555
4,8,0.0142017508559459
4,9,0.0138450828352894
4,11,0.0181988015308384
4,16,0.0147362628714679
4,17,0.0197275497587015
4,20,0.0390080969508422
4,23,0.0180768609420343
5,6,0.0110543284885399
5,14,0.0267495483794429
5,15,0.0249301249980262
6,14,0.0206132151349067
6,17,0.0161984807835183
6,18,0.00952214010450724
6,19,0.00938537093065033
6,23,0.00755845988409632
7,8,0.0115805855388726
7,17,0.0101036576129002
7,19,0.00933163323203493
7,20,0.0144427024312851
7,23,0.0200033578974169
8,9,0.0174508470692543
8,10,0.00590167615461009
8,11,0.00613566535211989
8,14,0.00827228618487681
8,17,0.00704716158283933
8,20,0.00567437897309325
9,16,0.0192437024154249
9,19,0.0148559123392783
10,12,0.0302993124828989
10,21,0.0142713555856482
11,16,0.00679476578505454
11,17,0.00975084444954831
12,13,0.0146655152350442
12,21,0.0407843524487839
14,15,0.045644894546441
14,19,0.0137641143821677
15,16,0.00818565875196936
15,17,0.0142402442816042
15,18,0.0670326425103231
15,19,0.0155909534696276
16,17,0.0150121823737187
16,20,0.00642711768961514
16,22,0.00721351916519137
16,23,0.0152234613706561
17,18,0.0175126362375726
17,20,0.0081994303795374
17,23,0.02805235707246
20,22,0.00921757006282976
20,23,0.0166630627703682
