from,to,weight
3,70,0.0245426614084795
3,80,0.0380098162049324
3,88,0.0175388748834872
3,158,0.012975289342085
6,49,0.0145846370823335
6,53,0.0334818215741995
6,158,0.0157744429184267
6,161,0.0230536870391189
7,113,0.119530452405184
10,54,0.0170771403955532
10,100,0.0229411264623244
10,143,0.0331205850869032
10,148,0.0266898311785724
11,53,0.0190316702435404
11,100,0.0124730216301785
11,132,0.0306291690182066
12,53,0.014838239512639
12,133,0.0216394792335703
12,134,0.0448168821040811
12,158,0.0125413829716768
14,157,0.0287972692167585
19,49,0.0165338764318674
19,54,0.0185264485934128
20,29,0.0353940537077696
20,110,0.0776647373412259
21,38,0.0275751038979207
21,45,0.0261712606740321
21,68,0.0441117605277018
21,82,0.0188206623415921
21,90,0.0551702841693995
21,149,0.0346053689466545
21,153,0.0395234216709914
21,157,0.041888178581207
22,24,0.114128662275022
22,31,0.145688032511744
22,98,0.187246838656101
23,76,0.0890616154723543
24,81,0.0740036319271832
24,85,0.0824093254823172
24,113,0.0660137967040093
27,51,0.0208269136838207
27,54,0.0141861671917734
27,114,0.0187104770609263
27,137,0.01957496716265
27,161,0.0385779045164468
29,102,0.036435763845203
29,148,0.0217410649785628
31,109,0.0484314340248036
32,49,0.0196120331456662
34,98,0.154243756876856
34,99,0.037999254179356
34,138,0.0927352110218224
34,158,0.0237676914289318
36,50,0.072117258813786
36,77,0.0205104259564982
36,157,0.0517669301003632
37,38,0.0447088159690795
38,93,0.0332518682622986
39,49,0.02217447872
39,54,0.0124257608665893
39,95,0.0196293233790464
39,100,0.0178419200377065
39,107,0.0283885228446702
39,110,0.017346268539629
39,150,0.0180262012283809
39,160,0.0187551498294976
40,64,0.0487722073896524
40,65,0.0215016971068144
41,103,0.0594077361656222
42,99,0.0255719910898928
42,109,0.0291193269300009
42,128,0.0186648631602935
44,116,0.0448928798156582
44,161,0.0282266343945606
45,68,0.0181911436651673
45,82,0.0362610583115274
45,119,0.0375046394153371
45,120,0.0286259321018869
45,126,0.0289092264479768
45,133,0.0337922777112097
45,157,0.0183514640219657
46,49,0.0183679399876134
47,100,0.0120328614396243
47,107,0.0307481097099604
47,114,0.0324474025294563
47,139,0.0624156479837664
47,161,0.0329359676384152
48,85,0.0410620139644406
48,109,0.0268038016915897
48,144,0.0255874694807004
49,54,0.0388112952898363
49,67,0.0190833275890851
49,84,0.0115895086318593
49,88,0.0150743105446259
49,107,0.0123172681907123
49,114,0.0146962126317223
49,146,0.0309232998534948
49,150,0.01660676273226
49,158,0.0119767340503114
49,161,0.0150032853133075
51,52,0.0738610510198424
51,70,0.0513422472852071
53,70,0.0185114544160297
53,76,0.0183442850570727
53,109,0.0179708286085255
53,114,0.0147549945640698
53,137,0.0164119725200627
53,150,0.022598086913101
54,59,0.0461153108244407
54,64,0.0261778989784365
54,70,0.0210424886918875
54,106,0.0231941197146455
54,114,0.0158522320671056
54,137,0.019073569961367
54,146,0.0208560438503714
54,158,0.013729280061276
57,112,0.14272376642607
57,114,0.0451163960033008
59,106,0.052939002067926
59,146,0.0387219336432738
61,99,0.0285315662028991
61,112,0.086132357486257
61,114,0.0326021487938633
64,160,0.0515728490797061
65,160,0.0252001013625582
66,112,0.123668753990538
67,150,0.0798028386718777
68,77,0.0143764129456953
68,133,0.0414894008621865
68,157,0.0193954782247543
72,109,0.0523071758767358
76,150,0.0628870001323971
77,90,0.0222741068849477
77,153,0.0198273901452287
77,157,0.0275710720688203
80,95,0.128211119092688
80,158,0.024295179014338
81,98,0.139608699988947
81,104,0.0962888520248282
81,112,0.0911375634022668
81,121,0.104787326571789
81,139,0.100761121872197
84,128,0.0154484277942304
85,99,0.0400442493041081
85,137,0.0570266475291023
85,145,0.129296346934459
88,114,0.0227519703822794
93,149,0.0521545000682393
96,128,0.0358692651800058
97,109,0.0535900533572252
98,100,0.0169976482714384
98,143,0.0601730286301257
98,158,0.0234596849915956
99,105,0.0369333892948976
99,109,0.0290229810374926
99,113,0.0317404670150241
99,114,0.0204640756860128
99,158,0.0132230192035903
99,161,0.0198409571957528
100,101,0.070830881110242
100,127,0.0151460921741874
100,143,0.0148243676860673
100,148,0.0265280573373348
100,158,0.0284508979985177
100,159,0.0139218185022856
102,105,0.113584687824287
102,139,0.117318707309608
104,109,0.0479156411375195
104,139,0.103522091477467
106,129,0.0695578616778346
106,159,0.0673788995373023
106,161,0.0324881833662328
107,110,0.0592105810266724
107,150,0.0360363886404131
110,114,0.0349343440249909
110,161,0.0348962234907087
112,121,0.118210294603615
113,152,0.0947994705869452
114,158,0.0310418617899527
114,159,0.0388349888000564
114,161,0.0275430685570291
121,139,0.111143513590084
121,152,0.100850069649534
126,133,0.0288263566216242
126,147,0.0339046981921113
132,156,0.0433285862681416
141,156,0.0611735600955498
144,150,0.0472688119886126
147,154,0.0440195758543138
153,157,0.0249859879360715
158,159,0.0169650703017129
159,161,0.039792097826051
