from,to,weight
1,2,0.00442397658591936
1,3,0.0152978493104384
1,4,0.00510550174938243
1,5,0.0268736722221923
1,6,0.0140041931785635
1,7,0.00919546289367864
1,8,0.00828775704754453
1,9,0.0159662307681765
1,10,0.00977338371438166
1,11,0.0236121502154566
1,12,0.0109211797030197
1,13,0.0194374873410008
1,14,0.00800529447118695
1,15,0.0367046160747405
1,16,0.0105187008069264
2,3,0.00858081935756053
2,4,0.0115550280840695
2,5,0.0131369799300917
2,6,0.0487101022707412
2,7,0.0206638415900959
2,8,0.0218620916437
2,9,0.0120408501672103
2,10,0.0172743125127239
2,11,0.00693305239361172
2,12,0.00725842702757126
2,13,0.0281975286091866
2,14,0.00584391806817501
2,15,0.00250058139937031
2,16,0.0197121737877769
3,4,0.0051459147863543
3,5,0.0154356771989182
3,6,0.014652333672832
3,7,0.00541240801433041
3,8,0.00449037093137035
3,9,0.00744179514510088
3,10,0.00559451342455709
3,11,0.0167444396001191
3,12,0.0943462005183631
3,13,0.00387729856266843
3,14,0.0542069693873325
3,15,0.00763027042223205
3,16,0.00349965037631562
4,5,0.0035591422816999
4,6,0.0138093981119778
4,7,0.0108690482989881
4,8,0.00617675969496165
4,9,0.00831541727095038
4,10,0.005087157131336
4,11,0.00768007371033148
4,12,0.00868619756827211
4,13,0.010596396305916
4,14,0.00978897942930311
4,15,0.00303377722690135
4,16,0.00821763200801112
5,6,0.0128980143459968
5,7,0.0179291660090504
5,8,0.00974362679820891
5,9,0.0222938455534574
5,10,0.0200999745002979
5,11,0.0212245558725864
5,12,0.0176354362008381
5,13,0.00880406532072491
5,14,0.0229639972636211
5,15,0.0255340937580369
5,16,0.0427253012362525
6,7,0.0146410003565877
6,8,0.016599875025866
6,9,0.0096624574527269
6,10,0.0321095038407434
6,11,0.00757990795683326
6,12,0.00803460669521956
6,13,0.0392904798060744
6,14,0.00893879674796112
6,15,0.014282074877244
6,16,0.00801232384817045
7,8,0.0105775205346528
7,9,0.00764651696490744
7,10,0.00550645550453992
7,11,0.00925398896629309
7,12,0.00533936485407592
7,13,0.0155724510324243
7,14,0.00362320094654561
7,15,0.0108381684618864
7,16,0.0078241296725803
8,9,0.00788277761852924
8,10,0.007010291055222
8,11,0.00163536391180506
8,13,0.013486983925827
8,14,0.00381081120199272
8,15,0.00464197367170971
8,16,0.00898425385779829
9,10,0.0189524360958072
9,11,0.0107910759928042
9,12,0.0109279855023179
9,13,0.0140265413557261
9,14,0.0136269711642397
9,15,0.0132665356616149
9,16,0.00462999181986554
10,11,0.00827546439382511
10,12,0.0126871100981823
10,13,0.00974897685101128
10,14,0.0148431404549063
10,15,0.0153792925201962
10,16,0.00596054618862884
11,12,0.0178876896939003
11,13,0.0127065296175282
11,14,0.0148848559238594
11,15,0.0244080398338236
11,16,0.00744993117983814
12,13,0.00162252061964675
12,14,0.189876648796656
12,15,0.0104257534475474
12,16,0.00561694241867718
13,14,0.000479625988275554
13,15,0.0250581020305918
13,16,0.019772262664918
14,15,0.00645967050642253
14,16,0.00575947816290887
15,16,0.0107431815601582
