from,to,weight
1,13,0.0102557662839189
1,168,0.0165803339217061
2,32,0.0344481042607934
2,213,0.0465387906284283
2,216,0.00334641765105503
3,16,0.0218184656958209
3,43,0.00932592138310865
3,46,0.0127734398175479
3,55,0.0158169362714159
3,64,0.0103097652483082
3,77,0.0219173645319078
3,98,0.00894565932530379
3,99,0.00697675800544921
3,129,0.0280145096026955
3,168,0.01359021096782
3,233,0.0105358605382525
3,238,0.0130564900656576
3,246,0.0171190806839954
3,250,0.0206115162597414
3,251,0.00645919591018234
3,256,0.0312566886522553
4,201,0.0495238491552079
5,54,0.009520921938919
5,64,0.00775690798326602
5,66,0.00932580772184378
5,82,0.00539760033100874
5,95,0.013238146412841
5,100,0.00464301762734346
5,116,0.0101365389497013
5,130,0.00719591752628387
5,138,0.0107903868095527
5,143,0.0156870526012241
5,144,0.00657944922551671
5,167,0.00942210065288172
5,204,0.00693585351354943
5,218,0.00849368122197563
5,222,0.00558326458450363
5,248,0.00771435169198482
6,242,0.0142475291323582
7,11,0.00632122876550541
7,60,0.00911647195624494
7,69,0.0361872311674894
7,88,0.096034674649147
7,190,0.00985281626828943
7,200,0.0162635140982175
7,204,0.00420001838131082
7,221,0.00979369102064767
8,11,0.0124871870251777
8,17,0.0191685936494112
8,89,0.00712179869336886
8,102,0.0205132708946811
8,106,0.0219395751563106
8,146,0.0234801177355289
8,165,0.0125292295319825
8,173,0.017906176010053
9,10,0.0136913518914137
9,45,0.00949410373184104
9,64,0.018323861145489
9,119,0.0054180780395559
10,45,0.0139981454528583
10,71,0.0241736053490305
10,73,0.0124242400475279
10,83,0.00967905066796492
10,84,0.00701083322746494
10,99,0.00575065812422758
10,103,0.00504434283156542
10,137,0.0112491421804513
10,153,0.0119942421166389
10,165,0.00810623338503575
10,181,0.0173813813546032
10,192,0.00833630514644635
10,234,0.00645593369526495
10,235,0.0192163310585214
10,248,0.00913508129822252
10,249,0.0120199857405072
10,254,0.014286323466043
11,48,0.00579041142713362
11,71,0.00516878980531734
11,88,0.00495304847346422
11,89,0.0278875879498621
11,137,0.00631588959734774
11,167,0.00595499829907125
11,192,0.00541300632085028
11,216,0.00490953338880242
11,238,0.00475869235782554
12,82,0.007452595442451
12,90,0.0299598204913732
12,190,0.0047127077315478
12,236,0.0206870697031701
13,14,0.00800355855453576
13,25,0.010027145249596
13,28,0.0111623340600481
13,31,0.0102693145863776
13,33,0.0130271486172904
13,34,0.0110193692434214
13,35,0.0101681703833693
13,55,0.0175744175764146
13,83,0.00348747050482033
13,91,0.0196523024223069
13,99,0.00538294709692156
13,112,0.0101533467809423
13,119,0.00731396458400191
13,135,0.0122735735514843
13,168,0.00719223617475386
13,169,0.0163141196770964
13,172,0.00947483999716951
13,210,0.0127065986561901
13,214,0.00814743206031829
13,216,0.0031823057606495
13,221,0.00718500754986571
13,226,0.00361129783233816
13,229,0.00809693136449444
13,230,0.00854840317003578
13,233,0.0218320507445716
13,238,0.00725880539552065
13,240,0.0267602753829976
13,251,0.020709075861727
