from,to
2,213
5,95
8,106
12,236
16,3
17,155
18,55
20,119
22,15
24,173
25,38
26,229
32,170
33,228
34,246
35,76
40,231
41,21
42,187
48,11
49,134
50,235
52,86
56,129
57,151
58,102
60,87
61,62
64,9
65,145
66,28
68,237
69,103
72,218
73,193
80,79
81,115
82,254
83,164
88,7
89,140
91,77
96,74
97,169
98,36
101,214
104,126
105,133
107,108
112,189
113,37
122,100
128,175
130,31
131,54
132,148
137,181
142,94
144,143
146,43
150,223
152,153
154,30
160,70
161,90
168,1
176,78
177,14
178,116
179,171
180,205
182,183
184,135
185,149
186,110
188,167
192,209
194,239
195,53
196,172
197,165
198,111
200,121
201,4
202,191
203,190
208,206
210,141
211,147
216,19
217,44
219,247
220,84
221,174
222,127
224,99
225,59
226,67
227,204
230,71
232,138
233,117
234,139
240,13
241,156
242,6
243,244
245,85
248,45
249,10
250,166
251,238
252,157
253,207
255,63
256,46
257,51
