from,to,weight
2,49,0.0251209495514698
2,177,0.0171533942034985
3,14,0.0676245882892795
3,87,0.0177092742532109
3,148,0.0119930543733021
3,221,0.0209281170848802
8,14,0.0410119487874956
8,139,0.0310190737110719
9,37,0.00550259364047081
9,183,0.0153417043684065
9,205,0.00876729250716086
11,68,0.0464618856156937
11,148,0.0120056672797305
12,62,0.0436362294186539
13,73,0.0324299319969754
13,209,0.0375370237977923
13,218,0.0110420761787716
14,184,0.0176562867953457
14,200,0.0115991348281626
14,221,0.0210621877871513
17,87,0.016801247328193
19,42,0.0256212160553065
19,44,0.0130913985952783
19,61,0.0667280212792887
19,92,0.0680707491962702
19,185,0.0919641902635974
19,211,0.0703400449779138
20,134,0.0871216266526518
20,160,0.0463793688589194
22,158,0.0521019884914171
23,200,0.012119610674096
25,33,0.0320290239436565
25,38,0.0354544432889893
25,177,0.0195023562215319
29,87,0.0149005171760775
29,211,0.0527567375927329
29,220,0.0393205912498822
31,38,0.0244641044871774
32,47,0.0535097694521314
32,74,0.0258162746440684
32,159,0.0422070489925504
33,64,0.0279537702430562
33,124,0.00670732097050774
33,165,0.0238022744636891
34,51,0.0528121084843884
34,76,0.0306482353358789
34,214,0.0419615604357653
35,140,0.0449031451526356
35,172,0.0291568959498357
35,205,0.0134655507476971
35,213,0.0490449901101001
37,49,0.00500833304358962
37,55,0.0214849732930747
37,65,0.0065898920661167
37,84,0.00859603178513728
37,87,0.0063490356865539
37,110,0.00706120337305596
37,124,0.0105467298953232
37,129,0.00750376737605259
38,42,0.0203481876090833
38,70,0.0987411709297032
39,43,0.033956286538278
39,81,0.0284265767397483
41,76,0.0352658576562548
41,92,0.064325140336709
41,126,0.0606781791732159
42,44,0.00831865862159882
42,68,0.0224503267271983
42,154,0.0142633434668088
42,218,0.00952409566601556
42,222,0.0177159851039603
44,48,0.0118644202536862
44,55,0.0151222478018927
44,58,0.0107612014186946
44,86,0.00890111163653403
44,101,0.0116292053255385
44,141,0.00979206551305921
44,145,0.0139800754498818
44,183,0.00903548657382323
