from,to,weight
1,2,0.00522208086337711
1,3,0.00645654055346977
1,4,0.0048054721325935
1,5,0.0284616646322189
1,6,0.00164875085022373
1,7,0.00926339922828875
1,8,0.00834934213071899
1,9,0.0052246321948511
1,10,0.00233978027453632
1,11,0.00558083502580257
1,12,0.0123954128936806
1,13,0.00535682038583598
1,14,0.0273185536343547
1,15,0.0241934834859967
1,16,0.0145085584127064
1,17,0.0145977734525823
1,18,0.0147140626287536
1,19,0.00677456937362355
1,20,0.00223517690055036
1,21,0.0142827669997956
1,22,0.010350540881374
1,23,0.00676158441555461
1,24,0.0190103432243311
1,25,0.0122362470849973
1,26,0.0140565292435395
1,27,0.00519937283461832
1,28,0.00920772358193723
1,29,0.0111072162693582
1,30,0.00721837356507969
1,31,0.0108974139196602
1,32,0.0113534577419323
1,33,0.00378549542030804
1,34,0.00603935737225458
1,35,0.00382188901833797
1,36,0.00427088302006301
1,37,0.00577386711785165
1,38,0.0116477899484344
1,39,0.0117588809782932
1,40,0.00698986242299532
1,41,0.0223281355091304
1,42,0.0179673191184511
1,43,0.0229278330356487
1,44,0.00868568269229746
1,45,0.00961434593081794
1,46,0.00484061913176026
2,3,0.0110084464189901
2,4,0.00702745720822207
2,5,0.00396453380720647
2,6,0.00648848692089129
2,7,0.00280291029304415
2,8,0.00209715767419277
2,9,0.0139699874762213
2,10,0.00700753401891042
2,11,0.00497293177486781
2,12,0.00929303125171182
2,13,0.00477480585041402
2,14,0.0098056529618151
2,15,0.00786210339628161
2,16,0.0032141253422697
2,17,0.00832392847765847
2,18,0.00821694277222398
2,19,0.00450359365108495
2,20,0.00291621899826133
2,21,0.00573342729042044
2,22,0.00921583558569917
2,23,0.00243416289692254
2,24,0.00705917158794924
2,25,0.00566312349545295
2,26,0.00187183748669781
2,27,0.0040093324368889
2,28,0.00358809130765667
2,29,0.00810433387970692
2,30,0.0144295025704219
2,31,0.00338543470933083
2,32,0.00389142135614672
2,33,0.00642227737948531
2,34,0.00849468423574394
2,35,0.0103775733060366
2,36,0.00735351522063135
2,37,0.00519643249849593
2,38,0.00587252863562516
2,39,0.00517211675640622
2,40,0.00761239827166903
2,41,0.00499457211231153
2,42,0.0121907108211428
2,43,0.00855694181477578
2,44,0.00521124623587296
2,45,0.0051155606181822
2,46,0.000860959642865045
3,4,0.00286285862759796
3,5,0.0199460670675913
3,6,0.00337349251963867
3,7,0.00788671159752414
3,8,0.00353738453398347
3,9,0.00130686391618335
3,10,0.00332418096534059
3,11,0.00430988928163817
3,12,0.0195214133862333
3,13,0.00186534677484178
3,14,0.0232551570572281
3,15,0.0154698324732515
3,16,0.0027088095100395
3,17,0.00822739774396425
3,18,0.00931336482469514
3,19,0.00922389250855478
3,20,0.00714349351465873
3,21,0.00414658968330938
3,22,0.0049673817177515
3,23,0.00491887640347186
3,24,0.00344760847593311
3,25,0.00876816512171262
3,26,0.0014946496563388
3,27,0.00868392290900138
3,28,0.00859208641356962
3,29,0.00857862269488032
3,30,0.0136022352767486
3,31,0.00752016295296765
3,32,0.0140307989095503
3,34,0.00598766473336201
3,35,0.00345356471259312
3,36,0.00172041403400915
3,37,0.000954161353432301
3,38,0.0173253708147874
3,39,0.00891332337318133
3,40,0.00664010970152563
3,41,0.0138434647024052
3,42,0.0124434417451936
3,43,0.00848504641845032
3,44,0.00829758995816557
3,45,0.00818097314456405
3,46,0.00476141145306253
4,5,0.028311783678204
4,6,0.016008009554735
4,7,0.0218889627678849
4,8,0.0117592142638011
4,9,0.0118471373775815
4,10,0.0165116590498564
4,11,0.00123472950728761
4,12,0.04409936370446
4,13,0.00233042313452218
4,14,0.0070891388356124
4,15,0.00581860985256794
4,16,0.010120885516142
4,17,0.00265555353302006
4,18,0.0188495014060876
4,19,0.0080605119123135
4,20,0.0179008468223061
4,21,0.015648476136767
4,22,0.0299906648077906
4,23,0.00790904070625054
4,24,0.0191355040645792
4,25,0.00856818500918758
4,26,0.00430842017492488
4,27,0.00830158444884273
4,28,0.00750984996260266
4,29,0.00355364021450964
4,30,0.0042086070479428
4,31,0.00896880238003758
4,32,0.00354129776517016
4,33,0.0158712082401415
4,34,0.0198671072455105
4,35,0.0353599892093484
4,36,0.0163579029086671
4,37,0.0295766490658055
4,38,0.014386479414765
4,39,0.0427091768631558
4,40,0.017170635343646
