from,to,weight
1,36,0.0588056015455845
1,82,0.0468793823252235
1,85,0.053866620705673
6,82,0.0433390533069702
6,85,0.0459921590887633
9,64,0.0889898645482322
10,15,0.0602825336598288
10,34,0.0343803690490058
10,44,0.0570822889820835
10,78,0.0236285666644151
10,86,0.0291395663398383
12,61,0.0416664360998597
13,64,0.0972833259835328
13,71,0.11257715784348
13,74,0.123562986723353
13,79,0.120839398741504
14,20,0.0758533216041167
14,66,0.109215938836634
15,38,0.0543763132825819
15,44,0.0328060919743828
15,54,0.0651467618839354
15,78,0.0467977897421953
15,86,0.0523509103704718
16,48,0.11130280951579
25,42,0.058789695737723
30,31,0.133899460435343
34,43,0.0519176753761915
34,86,0.0588701736450988
44,55,0.0363830131072556
44,78,0.0263590001878897
44,86,0.0624007474544126
45,82,0.0466650271656908
53,84,0.0540010889134604
55,78,0.0602751187210126
60,84,0.0589994216568447
61,82,0.0315513765546931
62,63,0.051857569835961
64,71,0.107942576766643
66,79,0.112245862622275
71,74,0.132975505451929
