from,to
1,46
3,94
8,210
9,158
11,214
13,175
16,142
18,43
19,63
20,39
22,199
24,78
25,68
27,7
29,126
32,42
33,211
34,10
36,21
41,180
44,85
48,49
50,206
52,76
56,133
58,6
64,179
65,93
69,222
72,207
73,197
75,61
80,2
81,157
82,66
83,135
84,15
88,87
89,131
90,28
91,35
96,30
97,59
99,143
101,62
104,165
105,154
107,5
108,77
109,198
110,95
112,53
115,173
116,79
117,55
120,130
121,119
122,51
123,60
124,125
128,204
134,103
136,153
137,100
138,190
139,140
141,54
145,219
146,181
148,215
155,159
156,167
160,12
161,147
162,111
163,220
164,102
166,14
168,169
170,37
171,132
172,127
174,151
176,236
177,186
178,45
182,38
184,149
185,4
192,74
193,23
194,203
195,31
201,57
205,86
209,223
216,92
217,188
218,114
224,118
227,189
228,150
229,230
231,191
232,47
233,67
234,221
