from,to,weight
1,11,0.00822661228740702
1,14,0.0153155162816312
1,15,0.00547727280882174
1,19,0.0128189698622692
1,22,0.00506497956297796
1,26,0.0069582644327384
1,29,0.0054735610209485
1,31,0.00655892090730646
1,37,0.00584930441713185
1,41,0.00487560753167108
1,48,0.00471350658860257
1,49,0.00675525007403703
1,58,0.00726253592507979
1,59,0.00828574424860054
1,60,0.00460016210357215
1,72,0.00645919540563504
1,77,0.00506404222937609
1,86,0.00575860906224895
1,90,0.00838044092136924
1,93,0.00452913749906703
1,97,0.00383823072681532
1,100,0.004102645342644
1,104,0.006182065309252
1,108,0.00671105925652425
1,110,0.0099621638952767
1,116,0.00390949191822195
1,117,0.0105947485094183
1,126,0.00617904326041062
1,132,0.00809634804782029
1,138,0.00319981812667733
1,141,0.00462286112459548
1,148,0.00823487369094332
2,3,0.00667923321412538
2,8,0.00412582151817197
2,9,0.00526208805202839
2,11,0.00640488917267079
2,14,0.0138733566256926
2,21,0.00820294699010214
2,23,0.00405463263280853
2,26,0.0110713738652134
2,28,0.014763634794947
2,29,0.00300780700525425
2,30,0.00629758256766982
2,31,0.00858434829237064
2,36,0.00623321818691825
2,38,0.0128283130206503
2,43,0.00681010378630115
2,48,0.00316475727664841
2,50,0.0161232135652189
2,52,0.0101923733547714
2,62,0.0040149758122174
2,64,0.0118087497451285
2,66,0.0046190052469966
2,71,0.00438482654644029
2,76,0.00546160873180562
2,82,0.00924836675956764
2,102,0.00730642547008325
2,106,0.00428692099768559
2,108,0.00708789654612922
2,112,0.00656863689316482
2,113,0.00377026015493129
2,122,0.00402519256522185
2,124,0.0101202605481462
2,125,0.00463562378266002
2,129,0.00915487002464585
2,130,0.0110077882024595
2,145,0.00297099497099648
2,147,0.00304166811805327
2,151,0.00297585757088056
3,9,0.0105185507028236
3,11,0.00779438687546447
3,12,0.00710584785905139
3,14,0.0111957557146711
3,15,0.0150193015752427
3,23,0.0143561168712919
3,28,0.0228822198280105
3,38,0.0123385829300657
3,41,0.0105361666460625
3,43,0.00652613907940083
3,46,0.00505545032311636
3,48,0.00627708348994565
3,56,0.00887021782325262
3,59,0.00991676419289382
3,62,0.00740151859854462
3,72,0.00899442553338546
3,78,0.0264869004437604
3,89,0.00384766531306067
3,97,0.00441032036874604
3,99,0.00528336521549703
3,113,0.00920019876266342
3,122,0.0194417698095648
3,124,0.0233914680055256
3,126,0.0241757623114468
3,129,0.00852689781490827
3,142,0.00820607646024785
3,146,0.0324274927224531
3,147,0.0106307612121177
3,150,0.0242381781034309
4,6,0.00481291395033017
4,24,0.00203281109862501
4,29,0.00274876793053222
4,33,0.00842318630412837
4,40,0.0154178030900635
4,42,0.0131852733758872
4,46,0.0104282680430231
4,47,0.0119336386263678
4,50,0.00372256654474249
4,54,0.00486955205933649
4,55,0.0034944168135738
4,60,0.00666789610416466
4,65,0.00514083563955354
4,71,0.00330470035526462
4,75,0.00221771822079435
4,91,0.00613681933936971
4,93,0.00288951832606173
4,94,0.00596229169101821
4,99,0.00259071825605963
4,100,0.00570766219116552
4,111,0.00191473336808919
4,116,0.0022982349825256
4,135,0.00440770066323213
4,138,0.00519506448663474
4,145,0.00940200952828691
4,151,0.00591648946590579
