from,to,weight
1,122,0.0128484822393158
2,3,0.0268582978971447
2,24,0.0113027455988308
2,28,0.0111751098344776
2,45,0.00831974663513863
2,48,0.0059350419697632
2,57,0.00470106647500563
2,83,0.0101322800571564
2,92,0.00459080586117985
2,94,0.00350910817279663
2,96,0.00581991734768575
2,97,0.00480756510227013
2,110,0.0147791882662424
2,113,0.00879553749837359
2,136,0.00891927968714149
2,138,0.0065209485839952
2,147,0.0109191048906615
2,154,0.0056557907627998
2,166,0.00803622824978116
2,199,0.00502727256921064
2,202,0.00872043173747743
2,252,0.00606217569638153
2,265,0.00724375001960568
2,270,0.0109888535150425
2,275,0.00707323098053515
2,298,0.0034933677131497
2,302,0.00539994523769342
2,309,0.00452175760770164
3,52,0.0309234925200787
3,57,0.0216184412622893
3,80,0.0161151494588618
3,87,0.0124738719202212
3,91,0.0151830231868728
3,96,0.00960837033762824
3,97,0.00925187910845162
3,110,0.0139044204703879
3,125,0.0101959202107117
3,132,0.0111002272455422
3,136,0.0191643549173363
3,147,0.0114578461203391
3,163,0.0238341635297756
3,171,0.0116041100143775
3,199,0.00731510420110493
3,217,0.0146832140461835
3,228,0.0144526639272366
3,229,0.0215917116605822
3,249,0.012650605204983
3,256,0.0118787859430663
3,265,0.00993522055286116
3,266,0.037216807732125
3,304,0.00767329911599802
3,308,0.0320979979627772
4,51,0.00565723195856121
4,66,0.00807565445264776
4,70,0.00746825391758031
4,88,0.00396939702922446
4,112,0.00771800757895516
4,160,0.00478459600558601
4,166,0.0112831993865472
4,185,0.00973400086904086
4,192,0.00768729423191115
4,284,0.0115708019549562
4,298,0.00492612928262056
5,45,0.0395372352679745
5,77,0.0108902483358429
5,252,0.0171953238902339
5,257,0.0234512817021477
5,307,0.0151076378700391
6,47,0.00546387155575998
6,49,0.00448323274280866
6,51,0.00619264766177259
6,53,0.00503012024490472
6,54,0.0128251198483404
6,70,0.00815383771198248
6,71,0.00873375459360965
6,82,0.0140879434260005
6,89,0.0184865810812194
6,94,0.0159771483915308
6,100,0.00762072307129621
6,101,0.00444191480756626
6,111,0.00941416557314513
