from,to
1,58
2,71
8,69
9,28
10,133
11,102
13,70
16,5
17,107
18,7
19,127
24,22
27,29
31,15
32,66
33,42
34,53
35,30
38,151
40,4
41,101
43,124
44,103
48,25
49,77
50,119
54,118
56,55
57,86
60,141
62,23
64,149
65,145
68,63
72,139
73,110
74,125
76,39
78,79
80,20
81,142
82,150
83,46
84,95
88,26
89,134
90,135
91,111
92,93
94,47
96,143
98,85
99,12
100,116
104,97
106,52
108,36
112,87
113,121
115,61
120,109
122,117
123,126
128,45
129,131
130,59
132,37
136,67
137,105
138,75
140,14
144,51
146,3
147,21
148,6
