from,to,weight
1,6,0.00787302328632518
1,7,0.00927626896497226
1,8,0.00272436399531355
1,9,0.0129261735706115
1,10,0.00812665038155591
1,12,0.00549490350192546
1,14,0.00955153251135515
1,15,0.00400942159319508
1,16,0.00628936726835781
2,5,0.00383323222540556
2,7,0.0017092123459448
2,8,0.00353725147571972
2,11,0.029532006172171
2,16,0.00237356491793897
3,9,0.00810970239417292
3,14,0.0217440658730869
4,5,0.00614937339042303
4,7,0.00168379127558379
4,8,0.00861188481017919
4,10,0.00802734470272169
4,15,0.0213115096900829
4,16,0.00222657188164438
5,7,0.00201778813590153
5,9,0.00374055549040926
5,11,0.00516980990799167
5,13,0.00655258827697558
5,15,0.0109847642967765
5,16,0.00248906397041279
6,10,0.00334785784824936
6,16,0.00228157596286074
7,9,0.0106548528470259
7,10,0.00988020426127233
7,11,0.00164906584288113
7,12,0.00191056114409469
7,16,0.0478700082028247
8,12,0.00344467372475808
8,13,0.0090380908839656
9,10,0.0145001593268673
10,13,0.0149215600941079
10,16,0.0111824446579751
12,13,0.00996892972447271
12,14,0.00441604965384124
12,16,0.00214927935600268
14,15,0.00789240447279128
15,16,0.00238455767965489
