from,to,weight
1,18,0.0108661578521517
1,30,0.0158706271397305
1,53,0.00799836587391542
1,55,0.00513959636648564
1,61,0.00230339797285168
1,70,0.0156650929730529
1,112,0.00906726171405487
1,140,0.0132351850714636
3,55,0.00761517881668245
6,84,0.102651244353561
8,146,0.0244789711163346
9,24,0.0518507081562488
10,86,0.0233825989190663
13,24,0.0477842777908875
13,27,0.0300986345582433
13,47,0.057122670122732
13,148,0.0399592741647819
13,151,0.0290509125378026
15,55,0.00900431237392226
15,157,0.0359359060973802
16,71,0.0189279074920496
16,142,0.0153793542422597
16,144,0.010059394176027
17,61,0.00210152590545653
17,75,0.0898445318931148
18,28,0.0189344548194722
18,53,0.00798191264588579
18,55,0.00424920419200881
18,144,0.00737871375223047
18,159,0.0192076786892031
19,86,0.0134764221733153
23,139,0.0206891044930264
24,41,0.0192931185933395
24,137,0.00999826322569264
25,34,0.0184481201712691
25,55,0.0115837632419022
25,62,0.00563390157931229
25,139,0.0288332451643364
25,149,0.0163651565645747
25,156,0.026320750132866
26,34,0.0266783951276863
26,55,0.0143260333961559
26,66,0.0270274023101935
26,76,0.0249571286492175
27,47,0.0325972196816559
27,64,0.011434460500891
27,97,0.0236772134183738
27,112,0.0111113507419231
27,138,0.0596094689743145
27,140,0.029008357997449
30,34,0.0439390571871061
30,97,0.0193631092747242
30,139,0.0355780483158094
34,61,0.00251271730131134
34,96,0.0262622860189413
34,137,0.00528665175977843
35,61,0.00263727765289144
35,62,0.00665924259482797
35,73,0.0152586136905052
35,112,0.0115872044415023
35,134,0.0139667057205798
39,44,0.0417268295117808
40,54,0.0189834347616355
40,86,0.00747947751298646
40,96,0.0178040969460867
40,118,0.00810720190116875
41,61,0.00204860462148937
41,139,0.0133347686407943
43,47,0.0402526190814071
44,159,0.0877270980268438
47,124,0.0660149373846783
48,55,0.00621065393141198
52,137,0.00435621385407547
53,55,0.008097170734417
53,61,0.00966443406395787
53,62,0.0155621523435007
53,100,0.0175059711929649
53,137,0.0184467268663936
54,62,0.00760808232465796
55,61,0.0053793242514158
55,62,0.00364305652145489
55,63,0.00725830494349645
55,76,0.00741681131240138
55,93,0.00740780520894852
55,137,0.0167139241095951
55,141,0.00379080661065269
55,144,0.0115176622809441
55,150,0.00656195411827099
55,158,0.00522450518863465
55,160,0.0060532670702463
57,88,0.0667238811091385
57,89,0.0627376096793635
61,62,0.0584280279860861
61,63,0.00238610757099273
61,71,0.00228607151270117
61,93,0.00227158453800238
61,118,0.00184950478510978
61,137,0.0116234758331192
61,141,0.00452145431895979
61,144,0.00802355583701982
61,157,0.00225082644204453
62,132,0.00584622557700804
62,141,0.00769882621060539
62,144,0.0121583266763616
63,156,0.0148612882149352
64,118,0.00637027492683858
64,146,0.011520715562963
65,156,0.0210143677260797
66,70,0.0252798452760993
66,112,0.0279130032285236
66,142,0.017490238546479
70,82,0.0387467331594777
71,86,0.0102026189487852
71,118,0.0195344457912707
76,77,0.0305312855910898
76,102,0.0356503639263647
76,120,0.0387728909736427
82,142,0.0258798041157175
84,123,0.0821660105371175
86,110,0.0142764942360935
86,114,0.0116955077027263
86,118,0.0324990187337731
93,157,0.0372497828304953
98,104,0.0626126989675617
98,118,0.0113540325215941
99,119,0.0927867084575147
109,118,0.0113328839044522
112,134,0.0198348603043789
112,142,0.0109245366699471
114,118,0.0107334442584769
117,118,0.00963798759173339
119,158,0.0268506054243464
123,137,0.00615467427376379
133,142,0.0236915736809483
133,149,0.0109013391332183
134,140,0.0108028885101573
139,141,0.0068981847161445
139,149,0.0432497843236648
141,144,0.013598110616633
141,160,0.0101956490477668
142,149,0.0213839376912948
143,145,0.0813970514977353
149,156,0.0232975674677442
