from,to,weight
2,22,0.0457515761960903
4,24,0.0299553592608209
5,10,0.0509203280952175
7,19,0.0231816989202878
7,27,0.0239846852194179
8,12,0.0288743116701245
8,19,0.0267257380986617
8,22,0.0357287959338349
8,26,0.0656907523501381
9,12,0.0644314609666267
9,15,0.0213434458456841
9,19,0.0194420620073139
10,22,0.0454294069589154
12,19,0.0335191365700832
14,19,0.0480372358730487
15,22,0.0465692186265306
19,25,0.0227027646556895
20,27,0.0315685237875938
22,26,0.0491131482353814
24,25,0.0188692381423345
