from,to,weight
4,87,0.0261954976796417
4,98,0.025662163873575
4,104,0.0319069095928751
6,14,0.0358974717762111
6,42,0.0866229350103736
6,51,0.0614844486560797
6,87,0.0670382731401665
7,83,0.0662147861720897
10,21,0.152139966532714
11,12,0.108832351242763
12,94,0.0623885129946685
12,99,0.101041741165567
13,92,0.0579008690591569
13,109,0.0552449166282891
14,43,0.0569736162448612
14,51,0.0508293075777128
14,57,0.0304203107067405
14,87,0.0237625202311614
15,76,0.177609375429008
18,70,0.0536005874194379
23,56,0.0484781631074412
26,27,0.0571875040433854
26,115,0.193160607157075
27,98,0.0544935116730814
28,116,0.11370157884449
29,48,0.106387312498626
29,94,0.0636011697424816
32,48,0.122208787428522
32,86,0.109872726644458
38,83,0.193834935498134
39,113,0.139116921534212
40,82,0.194235405078307
41,87,0.0376702607454677
41,97,0.0807461785907283
42,47,0.0440398624656124
42,87,0.0458155510262772
43,95,0.0853737833827363
46,47,0.10948458725023
46,79,0.114597345882557
46,106,0.113148139797945
47,79,0.0786033510544368
49,100,0.086476320360775
52,64,0.169823799292239
52,90,0.168130325555671
62,76,0.14919019420989
68,95,0.13988896294889
69,96,0.0895635259367687
74,83,0.14513155967206
78,81,0.0411245920172211
79,94,0.0853560751021248
87,90,0.0622373946588419
93,103,0.109158257079713
94,95,0.0672666491272109
97,109,0.0445429868360618
107,109,0.0660137111018391
