mRNA,microRNA,weight,edge_color
PHF20,hsa-mir-939,0.872473643,red
SMG5,hsa-mir-939,0.809888993,red
TNS4,hsa-mir-338,0.409833814,green
UHRF1BP1L,hsa-mir-939,0.911821714,red
USP37,hsa-mir-939,0.839728148,red
KCNN4,hsa-mir-424,0.381134087,green
RNMT,hsa-mir-939,0.89155837,red
CDV3,hsa-mir-939,0.855770629,red
RPS6KL1,hsa-mir-939,0.802135922,red
MAPRE1,hsa-mir-939,0.772946904,red
GZF1,hsa-mir-939,0.861735395,red
KIF27,hsa-mir-939,0.834917121,red
SMEK2,hsa-mir-939,0.920550914,red
RAF1,hsa-mir-939,0.863762731,red
ATG4D,hsa-mir-152,0.375879831,green
ZHX3,hsa-mir-381,0.809743773,red
TRAPPC6B,hsa-mir-323,0.797688136,red
PITPNM2,hsa-mir-665,0.76823039,red
SNAPC3,hsa-mir-377,0.785609534,red
PALM2,hsa-mir-766,0.806086143,red
C11orf58,hsa-mir-381,0.812141311,red
RRAGD,hsa-mir-381,0.781278069,red
RIC8B,hsa-mir-381,0.770960097,red
TUBE1,hsa-mir-381,0.772811234,red
SPTB,hsa-mir-323,0.774309768,red
TRPC4,hsa-mir-381,0.771903493,red
ULK2,hsa-mir-381,0.816569693,red
TRIM62,hsa-mir-152,0.415302206,green
RNF10,hsa-mir-141,0.814712931,red
PLEKHA5,hsa-mir-141,0.880968898,red
KIF1B,hsa-mir-381,0.80699638,red
IPO8,hsa-mir-381,0.768412918,red
FGD6,hsa-mir-27a,0.832420198,red
TNS4,hsa-mir-338,0.409833814,green
CNTLN,hsa-mir-377,0.77309654,red
RPP14,hsa-mir-377,0.856423347,red
TACC1,hsa-mir-29c,0.834689849,red
DDX6,hsa-mir-381,0.886420073,red
C10orf137,hsa-mir-381,0.772577151,red
NEURL,hsa-mir-665,0.79926682,red
CAPS2,hsa-mir-376b,0.827315918,red
DCAF5,hsa-mir-665,0.790851707,red
FAM38A,hsa-mir-152,0.776919949,red
EIF5,hsa-mir-323,0.774536395,red
DCAF10,hsa-mir-31,0.815233864,red
CASP9,hsa-mir-223,0.413510321,green
PPP1R3E,hsa-mir-665,0.813304213,red
CNOT4,hsa-mir-381,0.770210615,red
SEC31B,hsa-mir-29c,0.792909122,red
RPRD1A,hsa-mir-381,0.814161189,red
MYSM1,hsa-mir-141,0.824915774,red
TPCN2,hsa-mir-766,0.806023373,red
WWOX,hsa-mir-376b,0.76902751,red
ALDH5A1,hsa-mir-27a,0.434573552,green
NBEA,hsa-mir-381,0.84446667,red
ANKHD1,hsa-mir-381,0.802452377,red
ZNF614,hsa-mir-29c,0.780408476,red
GSTM3,hsa-mir-676,0.81747227,red
REEP3,hsa-mir-30d,0.795224409,red
EIF5A2,hsa-mir-27a,0.80851798,red
FAM124A,hsa-mir-381,0.872922761,red
TRAPPC6B,hsa-mir-380,0.797808503,red
AKR1D1,hsa-mir-141,0.782251491,red
SMAD9,hsa-mir-381,0.768880218,red
ARL10,hsa-mir-377,0.767211287,red
DCAF5,hsa-mir-376b,0.806448373,red
SETBP1,hsa-mir-381,0.850939409,red
PSMC6,hsa-mir-323,0.778583627,red
SLC25A46,hsa-mir-377,0.774320033,red
SLC25A36,hsa-mir-141,0.830940897,red
MTX3,hsa-mir-381,0.81299614,red
ZNF577,hsa-mir-29c,0.801997214,red
AHI1,hsa-mir-381,0.837598668,red
GOLGA7,hsa-mir-766,0.775615032,red
MTMR7,hsa-mir-665,0.853717094,red
ARHGEF37,hsa-mir-27a,0.768304941,red
C12orf51,hsa-mir-381,0.795781242,red
TRAPPC6B,hsa-mir-377,0.812103553,red
PTPN21,hsa-mir-30d,0.776105629,red
SRRM2,hsa-mir-381,0.862145247,red
PRPF39,hsa-mir-141,0.813327068,red
ZNF614,hsa-mir-27b,0.775863573,red
DYNC1I1,hsa-mir-381,0.816376408,red
C11orf58,hsa-mir-382,0.9146336,red
DHX57,hsa-mir-221,0.818907592,red
ARHGAP5,hsa-mir-382,0.858465884,red
TWSG1,hsa-mir-3653,0.770469913,red
AHI1,hsa-mir-106b,0.793768405,red
EIF2C3,hsa-mir-382,0.77633594,red
SOCS5,hsa-mir-221,0.822471386,red
RPRD1A,hsa-mir-382,0.898898476,red
ZNF519,hsa-mir-382,0.877951746,red
NEDD4,hsa-mir-3653,0.839886581,red
SOCS7,hsa-mir-382,0.848073894,red
CERK,hsa-mir-382,0.788408467,red
RNGTT,hsa-mir-3653,0.814831772,red
BRPF3,hsa-mir-382,0.823366757,red
NECAB1,hsa-mir-199b,0.804866772,red
HBS1L,hsa-mir-382,0.804239213,red
JMY,hsa-mir-382,0.907020062,red
HBS1L,hsa-mir-3653,0.854478163,red
TIPRL,hsa-mir-3653,0.814467735,red
CCDC50,hsa-mir-221,0.828803359,red
SNAPC3,hsa-mir-377,0.785609534,red
RSF1,hsa-mir-382,0.817904366,red
LPL,hsa-mir-487a,0.77186542,red
PPM1A,hsa-mir-382,0.897829846,red
RUNDC2A,hsa-mir-106b,0.799815769,red
SDC2,hsa-mir-590,0.789091315,red
TUBE1,hsa-mir-382,0.841556154,red
SBNO1,hsa-mir-382,0.782556793,red
NDUFA6,hsa-mir-590,0.802047893,red
CHUK,hsa-mir-382,0.770784477,red
RNF180,hsa-mir-487a,0.789377134,red
AKT3,hsa-mir-382,0.858571264,red
NOL4,hsa-mir-382,0.871027051,red
DDX24,hsa-mir-382,0.833630717,red
EML5,hsa-mir-487a,0.805293126,red
KCNA6,hsa-mir-382,0.842412022,red
ZFPM2,hsa-mir-106b,0.816239273,red
C14orf45,hsa-mir-382,0.896373056,red
AKD1,hsa-mir-382,0.842669339,red
ME2,hsa-mir-487a,0.781885904,red
TMEFF1,hsa-mir-199b,0.810168554,red
KATNAL1,hsa-mir-382,0.775290107,red
ESYT2,hsa-mir-382,0.947109151,red
PHIP,hsa-mir-382,0.864227639,red
SMAD9,hsa-mir-382,0.8402382,red
VPS13B,hsa-mir-3653,0.903445298,red
TMEM51,hsa-mir-132,0.372219337,green
HINT3,hsa-mir-590,0.826483628,red
PPP2R5C,hsa-mir-382,0.924228245,red
SPATA21,hsa-mir-382,0.783690824,red
BACE1,hsa-mir-199b,0.776066691,red
PDHA1,hsa-mir-221,0.779623892,red
MDM1,hsa-mir-487a,0.774219817,red
RUFY3,hsa-mir-382,0.822689994,red
SPOPL,hsa-mir-584,0.791767869,red
KLC1,hsa-mir-382,0.824753639,red
RRM2B,hsa-mir-3653,0.798617769,red
MLH3,hsa-mir-487a,0.775794993,red
UHRF2,hsa-mir-221,0.794383998,red
TBC1D19,hsa-mir-382,0.858467558,red
NAP1L1,hsa-mir-221,0.821400597,red
TMEM170B,hsa-mir-382,0.893653226,red
SMPD2,hsa-mir-221,0.412080967,green
PCDH7,hsa-mir-221,0.87123237,red
DDHD2,hsa-mir-487a,0.776867495,red
ZC3H13,hsa-mir-382,0.773228046,red
DOK6,hsa-mir-382,0.827747478,red
ASB1,hsa-mir-382,0.875097586,red
SGCE,hsa-mir-221,0.843348229,red
MAPK4,hsa-mir-132,0.770457398,red
CSF1,hsa-mir-221,0.796922187,red
CNTLN,hsa-mir-377,0.77309654,red
PCNX,hsa-mir-382,0.837506998,red
ZNF354C,hsa-mir-382,0.894198153,red
MAPRE2,hsa-mir-382,0.936366419,red
ACTR1A,hsa-mir-106b,0.892409267,red
RPP14,hsa-mir-377,0.856423347,red
SLC2A13,hsa-mir-382,0.824980789,red
GOLGA7,hsa-mir-590,0.857845043,red
NDUFA4,hsa-mir-590,0.872166504,red
RRAGD,hsa-mir-382,0.835046596,red
EIF5A2,hsa-mir-221,0.853627589,red
PCGF6,hsa-mir-382,0.803417757,red
NAP1L1,hsa-mir-590,0.875808482,red
MCPH1,hsa-mir-382,0.825858193,red
JRK,hsa-mir-382,0.772912328,red
MSN,hsa-mir-221,0.830298423,red
PHF10,hsa-mir-106b,0.781482546,red
ZCCHC14,hsa-mir-382,0.805143778,red
DNAJC6,hsa-mir-382,0.923444156,red
CCDC25,hsa-mir-382,0.895282007,red
FOXA1,hsa-mir-132,0.424835357,green
PLCB4,hsa-mir-382,0.924562427,red
OSBPL8,hsa-mir-221,0.851102798,red
ANO5,hsa-mir-382,0.93991769,red
ZHX3,hsa-mir-382,0.894668169,red
SIRT1,hsa-mir-590,0.782355665,red
KLHDC5,hsa-mir-382,0.830919878,red
SPAG8,hsa-mir-382,0.861575469,red
SLC25A4,hsa-mir-487a,0.799920836,red
CCDC50,hsa-mir-199b,0.822631945,red
WDR17,hsa-mir-382,0.88305815,red
SGTB,hsa-mir-382,0.875190453,red
PTP4A1,hsa-mir-216a,0.827742752,red
DCAF5,hsa-mir-382,0.859777259,red
SPIRE1,hsa-mir-221,0.817839462,red
FYTTD1,hsa-mir-382,0.811189112,red
SSBP2,hsa-mir-199b,0.784706318,red
SMAD5,hsa-mir-382,0.801690047,red
MKX,hsa-mir-487a,0.784846439,red
FAM161B,hsa-mir-382,0.785528183,red
LRCH2,hsa-mir-382,0.879571631,red
IGSF21,hsa-mir-382,0.797346655,red
EML1,hsa-mir-199b,0.787772014,red
CELF1,hsa-mir-382,0.86002061,red
MTX3,hsa-mir-487a,0.803311828,red
PDHA1,hsa-mir-590,0.816031517,red
RGAG4,hsa-mir-382,0.935974348,red
EPM2A,hsa-mir-382,0.904150128,red
NEGR1,hsa-mir-382,0.940112634,red
UBE2V2,hsa-mir-590,0.76793146,red
JAM3,hsa-mir-382,0.864312254,red
DNAJC15,hsa-mir-3653,0.800454995,red
RIC3,hsa-mir-382,0.878643461,red
ZNF470,hsa-mir-382,0.776656225,red
SYT11,hsa-mir-382,0.779542575,red
USP13,hsa-mir-382,0.863006909,red
ULK2,hsa-mir-382,0.868432063,red
CAMTA1,hsa-mir-106b,0.817095469,red
FBXW11,hsa-mir-199b,0.800794572,red
NBEA,hsa-mir-382,0.90322059,red
MTMR7,hsa-mir-382,0.925717347,red
CCDC149,hsa-mir-382,0.806074682,red
CAPN7,hsa-mir-382,0.874766728,red
TDRD3,hsa-mir-382,0.823160534,red
ANKHD1,hsa-mir-382,0.885232558,red
RUFY3,hsa-mir-487a,0.800765533,red
ZDHHC17,hsa-mir-382,0.954456512,red
MTX3,hsa-mir-382,0.885370995,red
ZNF84,hsa-mir-382,0.824504739,red
ASL,hsa-mir-106b,0.388301806,green
MPZL2,hsa-mir-106b,0.463776834,green
SLC25A46,hsa-mir-382,0.888508871,red
CUL5,hsa-mir-382,0.866690303,red
WDR35,hsa-mir-221,0.839929627,red
ITSN2,hsa-mir-3653,0.836896975,red
PCDH9,hsa-mir-382,0.877806863,red
C17orf39,hsa-mir-382,0.840344053,red
PRKAA2,hsa-mir-487a,0.769074711,red
TPO,hsa-mir-382,0.787706424,red
KIAA1737,hsa-mir-382,0.777155899,red
METAP2,hsa-mir-382,0.820215404,red
IFT74,hsa-mir-590,0.781571243,red
EPHA7,hsa-mir-382,0.918029767,red
SETBP1,hsa-mir-382,0.883290101,red
PCM1,hsa-mir-590,0.778782973,red
COX11,hsa-mir-382,0.796410147,red
MTR,hsa-mir-382,0.922653703,red
NECAB1,hsa-mir-132,0.788788497,red
SRRM2,hsa-mir-382,0.936953123,red
INPP4A,hsa-mir-584,0.852394944,red
KIF1B,hsa-mir-382,0.877133903,red
KCTD15,hsa-mir-132,0.794917411,red
NOVA1,hsa-mir-382,0.796588336,red
DDX51,hsa-mir-590,0.848239708,red
HIF1AN,hsa-mir-382,0.800559196,red
NEGR1,hsa-mir-487a,0.775509806,red
DDHD1,hsa-mir-590,0.767390451,red
DDHD2,hsa-mir-590,0.771785832,red
GAL3ST1,hsa-let-7c,0.82760395,red
PARP1,hsa-mir-382,0.787985984,red
SFT2D1,hsa-mir-382,0.371997357,green
KIAA0368,hsa-mir-221,0.801609466,red
SCAMP2,hsa-mir-106b,0.398939507,green
MTERFD3,hsa-mir-487a,0.79622419,red
ZNF532,hsa-mir-382,0.89896069,red
ARL10,hsa-mir-377,0.767211287,red
STXBP1,hsa-mir-382,0.922486155,red
EXOC5,hsa-mir-382,0.818984199,red
NBEA,hsa-mir-106b,0.80716414,red
EGLN1,hsa-mir-382,0.914180487,red
LONRF2,hsa-mir-487a,0.806549409,red
C10orf84,hsa-mir-382,0.967975203,red
LIN52,hsa-mir-382,0.800857394,red
SYNJ2BP,hsa-mir-382,0.831291251,red
RIC8B,hsa-mir-382,0.879764908,red
KCNK3,hsa-mir-132,0.77289738,red
SLC25A46,hsa-mir-377,0.774320033,red
RERG,hsa-mir-382,0.876776005,red
WDR17,hsa-mir-590,0.775624753,red
IQSEC1,hsa-mir-3653,0.813880177,red
ANKRD52,hsa-mir-3653,0.774215435,red
HBS1L,hsa-mir-590,0.798682068,red
MPDZ,hsa-mir-382,0.966704546,red
PRKAA2,hsa-mir-382,0.888795934,red
KIF1B,hsa-mir-106b,0.778731414,red
TBC1D12,hsa-mir-3653,0.785464639,red
MPZL2,hsa-mir-590,0.378244432,green
IPO5,hsa-mir-382,0.809039453,red
ANO5,hsa-mir-487a,0.814431888,red
PITPNM2,hsa-mir-382,0.931907761,red
TMEM35,hsa-mir-382,0.817038567,red
BNC2,hsa-mir-221,0.821833562,red
HSPA2,hsa-mir-382,0.905233981,red
NUBPL,hsa-mir-590,0.792890731,red
RGN,hsa-mir-382,0.905609342,red
NAV1,hsa-mir-221,0.842726225,red
TRAPPC6B,hsa-mir-377,0.812103553,red
SMAD3,hsa-mir-132,0.454491582,green
ANK2,hsa-mir-106b,0.772055752,red
SOBP,hsa-mir-199b,0.800651742,red
PARK2,hsa-mir-382,0.909498179,red
PRSS23,hsa-mir-221,0.776505562,red
CAMTA1,hsa-mir-382,0.9179887,red
TTLL7,hsa-mir-382,0.846827508,red
CAPRIN2,hsa-mir-221,0.814229162,red
ZNF407,hsa-mir-136,0.842187321,red
MECP2,hsa-mir-410,0.790924597,red
ZNF519,hsa-mir-410,0.800995284,red
TYW3,hsa-mir-186,0.799335585,red
PHF20,hsa-mir-939,0.872473643,red
ARHGAP5,hsa-mir-410,0.798569451,red
APC,hsa-mir-136,0.798617921,red
ULK2,hsa-mir-299,0.844234039,red
TWSG1,hsa-mir-3653,0.770469913,red
GBAS,hsa-mir-299,0.790948739,red
ZDHHC17,hsa-mir-495,0.797803894,red
SMG5,hsa-mir-939,0.809888993,red
NEDD4,hsa-mir-3653,0.839886581,red
DCLK1,hsa-mir-136,0.77018948,red
FAM103A1,hsa-let-7i,0.406100531,green
RNGTT,hsa-mir-3653,0.814831772,red
TRAPPC6B,hsa-mir-323,0.797688136,red
HBS1L,hsa-mir-3653,0.854478163,red
TIPRL,hsa-mir-3653,0.814467735,red
ZNF445,hsa-mir-136,0.778005031,red
TRAPPC6B,hsa-mir-495,0.824053084,red
ANO5,hsa-mir-136,0.867406185,red
RNF180,hsa-mir-495,0.820083161,red
DSEL,hsa-mir-1226,0.838218447,red
RUFY3,hsa-mir-495,0.785732255,red
ZNF519,hsa-mir-186,0.786511139,red
CAMTA1,hsa-mir-1266,0.808402005,red
ZNF333,hsa-mir-1180,0.801415691,red
ACCN2,hsa-mir-484,0.854468663,red
OSBPL8,hsa-mir-627,0.798871901,red
