mRNA,microRNA,weight,edge_color
PHF20,hsa-mir-939,0.372882957,red
SMG5,hsa-mir-939,0.429620902,red
TNS4,hsa-mir-338,0.783394291,green
UHRF1BP1L,hsa-mir-939,0.41537233,red
USP37,hsa-mir-939,0.455755117,red
KCNN4,hsa-mir-424,0.792416053,green
RNMT,hsa-mir-939,0.380113942,red
CDV3,hsa-mir-939,0.406778603,red
RPS6KL1,hsa-mir-939,0.416293518,red
MAPRE1,hsa-mir-939,0.386254004,red
GZF1,hsa-mir-939,0.42586127,red
KIF27,hsa-mir-939,0.481499517,red
SMEK2,hsa-mir-939,0.399795442,red
RAF1,hsa-mir-939,0.375663122,red
ATG4D,hsa-mir-152,0.795123586,green
ZHX3,hsa-mir-381,0.66063154,red
TRAPPC6B,hsa-mir-323,0.381111845,red
PITPNM2,hsa-mir-665,0.903494128,red
SNAPC3,hsa-mir-377,0.388290836,red
PALM2,hsa-mir-766,0.462075643,red
C11orf58,hsa-mir-381,0.47689391,red
RRAGD,hsa-mir-381,0.467171162,red
RIC8B,hsa-mir-381,0.591489719,red
TUBE1,hsa-mir-381,0.406359053,red
SPTB,hsa-mir-323,0.756390076,red
TRPC4,hsa-mir-381,0.384254928,red
ULK2,hsa-mir-381,0.397599381,red
TRIM62,hsa-mir-152,0.802327607,green
RNF10,hsa-mir-141,0.383757159,red
PLEKHA5,hsa-mir-141,0.38308366,red
KIF1B,hsa-mir-381,0.676255948,red
IPO8,hsa-mir-381,0.430383442,red
FGD6,hsa-mir-27a,0.440435268,red
TNS4,hsa-mir-338,0.783394291,green
CNTLN,hsa-mir-377,0.728289359,red
RPP14,hsa-mir-377,0.457999625,red
TACC1,hsa-mir-29c,0.491654285,red
DDX6,hsa-mir-381,0.417370328,red
C10orf137,hsa-mir-381,0.756790723,red
NEURL,hsa-mir-665,0.943562921,red
CAPS2,hsa-mir-376b,0.681027084,red
DCAF5,hsa-mir-665,0.56309572,red
FAM38A,hsa-mir-152,0.383283152,red
EIF5,hsa-mir-323,0.382571761,red
DCAF10,hsa-mir-31,0.576471507,red
CASP9,hsa-mir-223,0.933839401,green
PPP1R3E,hsa-mir-665,0.600268114,red
CNOT4,hsa-mir-381,0.457653715,red
SEC31B,hsa-mir-29c,0.440884688,red
RPRD1A,hsa-mir-381,0.492938116,red
MYSM1,hsa-mir-141,0.456574814,red
TPCN2,hsa-mir-766,0.559602913,red
WWOX,hsa-mir-376b,0.485193324,red
ALDH5A1,hsa-mir-27a,0.883419616,green
NBEA,hsa-mir-381,0.93098738,red
ANKHD1,hsa-mir-381,0.683339838,red
ZNF614,hsa-mir-29c,0.57423829,red
GSTM3,hsa-mir-676,0.406117498,red
REEP3,hsa-mir-30d,0.460131037,red
EIF5A2,hsa-mir-27a,0.381716816,red
FAM124A,hsa-mir-381,0.502911595,red
