mRNA,microRNA,weight,edge_color
PHF20,hsa-mir-939,0.6226783,red
SMG5,hsa-mir-939,0.6197549475,red
TNS4,hsa-mir-338,0.5966140525,green
UHRF1BP1L,hsa-mir-939,0.663597022,red
USP37,hsa-mir-939,0.6477416325,red
KCNN4,hsa-mir-424,0.58677507,green
RNMT,hsa-mir-939,0.635836156,red
CDV3,hsa-mir-939,0.631274616,red
RPS6KL1,hsa-mir-939,0.60921472,red
MAPRE1,hsa-mir-939,0.579600454,red
GZF1,hsa-mir-939,0.6437983325,red
KIF27,hsa-mir-939,0.658208319,red
SMEK2,hsa-mir-939,0.660173178,red
RAF1,hsa-mir-939,0.6197129265,red
ATG4D,hsa-mir-152,0.5855017085,green
ZHX3,hsa-mir-381,0.7351876565,red
TRAPPC6B,hsa-mir-323,0.5893999905,red
PITPNM2,hsa-mir-665,0.835862259,red
SNAPC3,hsa-mir-377,0.586950185,red
PALM2,hsa-mir-766,0.634080893,red
C11orf58,hsa-mir-381,0.6445176105,red
RRAGD,hsa-mir-381,0.6242246155,red
RIC8B,hsa-mir-381,0.681224908,red
TUBE1,hsa-mir-381,0.5895851435,red
SPTB,hsa-mir-323,0.765349922,red
TRPC4,hsa-mir-381,0.5780792105,red
ULK2,hsa-mir-381,0.607084537,red
TRIM62,hsa-mir-152,0.6088149065,green
RNF10,hsa-mir-141,0.599235045,red
PLEKHA5,hsa-mir-141,0.632026279,red
KIF1B,hsa-mir-381,0.741626164,red
IPO8,hsa-mir-381,0.59939818,red
FGD6,hsa-mir-27a,0.636427733,red
TNS4,hsa-mir-338,0.5966140525,green
CNTLN,hsa-mir-377,0.7506929495,red
RPP14,hsa-mir-377,0.657211486,red
TACC1,hsa-mir-29c,0.663172067,red
DDX6,hsa-mir-381,0.6518952005,red
C10orf137,hsa-mir-381,0.764683937,red
NEURL,hsa-mir-665,0.8714148705,red
CAPS2,hsa-mir-376b,0.754171501,red
DCAF5,hsa-mir-665,0.6769737135,red
FAM38A,hsa-mir-152,0.5801015505,red
EIF5,hsa-mir-323,0.578554078,red
DCAF10,hsa-mir-31,0.6958526855,red
CASP9,hsa-mir-223,0.673674861,green
PPP1R3E,hsa-mir-665,0.7067861635,red
CNOT4,hsa-mir-381,0.613932165,red
SEC31B,hsa-mir-29c,0.616896905,red
RPRD1A,hsa-mir-381,0.6535496525,red
MYSM1,hsa-mir-141,0.640745294,red
TPCN2,hsa-mir-766,0.682813143,red
WWOX,hsa-mir-376b,0.627110417,red
ALDH5A1,hsa-mir-27a,0.658996584,green
NBEA,hsa-mir-381,0.887727025,red
ANKHD1,hsa-mir-381,0.7428961075,red
ZNF614,hsa-mir-29c,0.677323383,red
GSTM3,hsa-mir-676,0.611794884,red
REEP3,hsa-mir-30d,0.627677723,red
EIF5A2,hsa-mir-27a,0.595117398,red
FAM124A,hsa-mir-381,0.687917178,red
TRAPPC6B,hsa-mir-380,0.587521516,red
AKR1D1,hsa-mir-141,0.5786844255,red
SMAD9,hsa-mir-381,0.8770122555,red
ARL10,hsa-mir-377,0.6590391405,red
DCAF5,hsa-mir-376b,0.688308611,red
SETBP1,hsa-mir-381,0.731853371,red
PSMC6,hsa-mir-323,0.6542326205,red
SLC25A46,hsa-mir-377,0.5906773075,red
SLC25A36,hsa-mir-141,0.657253393,red
MTX3,hsa-mir-381,0.6379815525,red
ZNF577,hsa-mir-29c,0.625185947,red
AHI1,hsa-mir-381,0.729208001,red
GOLGA7,hsa-mir-766,0.6406681345,red
MTMR7,hsa-mir-665,0.893250902,red
ARHGEF37,hsa-mir-27a,0.583777258,red
C12orf51,hsa-mir-381,0.6844911055,red
TRAPPC6B,hsa-mir-377,0.592629615,red
PTPN21,hsa-mir-30d,0.5878817625,red
SRRM2,hsa-mir-381,0.691607223,red
PRPF39,hsa-mir-141,0.681291121,red
ZNF614,hsa-mir-27b,0.60495965,red
DYNC1I1,hsa-mir-381,0.6332245665,red
C11orf58,hsa-mir-382,0.7061863295,red
DHX57,hsa-mir-221,0.617121708,red
ARHGAP5,hsa-mir-382,0.6922237465,red
TWSG1,hsa-mir-3653,0.582196426,red
AHI1,hsa-mir-106b,0.5928455695,red
EIF2C3,hsa-mir-382,0.6054074875,red
SOCS5,hsa-mir-221,0.6022728275,red
RPRD1A,hsa-mir-382,0.704055634,red
ZNF519,hsa-mir-382,0.7259236135,red
NEDD4,hsa-mir-3653,0.7089600805,red
SOCS7,hsa-mir-382,0.726017661,red
CERK,hsa-mir-382,0.7601458005,red
RNGTT,hsa-mir-3653,0.6100344985,red
BRPF3,hsa-mir-382,0.6899563385,red
NECAB1,hsa-mir-199b,0.655049449,red
HBS1L,hsa-mir-382,0.670322438,red
JMY,hsa-mir-382,0.681678708,red
HBS1L,hsa-mir-3653,0.614533076,red
TIPRL,hsa-mir-3653,0.6751540445,red
CCDC50,hsa-mir-221,0.603484019,red
