mRNA,microRNA,weight,edge_color
PHF20,hsa-mir-939,0.570377552070909,red
SMG5,hsa-mir-939,0.589868832616652,red
TNS4,hsa-mir-338,0.566622864122474,green
UHRF1BP1L,hsa-mir-939,0.61542303327774,red
USP37,hsa-mir-939,0.618635919050885,red
KCNN4,hsa-mir-424,0.5495605234042,green
RNMT,hsa-mir-939,0.582145829276303,red
CDV3,hsa-mir-939,0.590007780417387,red
RPS6KL1,hsa-mir-939,0.577861562040212,red
MAPRE1,hsa-mir-939,0.546400802112701,red
GZF1,hsa-mir-939,0.605788518972299,red
KIF27,hsa-mir-939,0.634044312723118,red
SMEK2,hsa-mir-939,0.606656459247022,red
RAF1,hsa-mir-939,0.569634798967467,red
ATG4D,hsa-mir-152,0.54669088078163,green
ZHX3,hsa-mir-381,0.731397481375483,red
TRAPPC6B,hsa-mir-323,0.551369565033808,red
PITPNM2,hsa-mir-665,0.833121627564757,red
SNAPC3,hsa-mir-377,0.552308774804846,red
PALM2,hsa-mir-766,0.610305475020596,red
C11orf58,hsa-mir-381,0.62233852947999,red
RRAGD,hsa-mir-381,0.604144505346069,red
RIC8B,hsa-mir-381,0.675288805722961,red
TUBE1,hsa-mir-381,0.56039168551648,red
SPTB,hsa-mir-323,0.765297474362135,red
TRPC4,hsa-mir-381,0.544617040796249,red
ULK2,hsa-mir-381,0.569796107814155,red
TRIM62,hsa-mir-152,0.577242085369562,green
RNF10,hsa-mir-141,0.5591528590655,red
PLEKHA5,hsa-mir-141,0.580934410920894,red
KIF1B,hsa-mir-381,0.738739535959372,red
IPO8,hsa-mir-381,0.575075818067586,red
FGD6,hsa-mir-27a,0.605497492145709,red
TNS4,hsa-mir-338,0.566622864122474,green
CNTLN,hsa-mir-377,0.750358569992852,red
RPP14,hsa-mir-377,0.626291922163495,red
TACC1,hsa-mir-29c,0.640608180486991,red
DDX6,hsa-mir-381,0.608247841437842,red
C10orf137,hsa-mir-381,0.764643198281767,red
NEURL,hsa-mir-665,0.868423016356419,red
CAPS2,hsa-mir-376b,0.750616111725776,red
DCAF5,hsa-mir-665,0.667326914912319,red
FAM38A,hsa-mir-152,0.54569252047687,red
EIF5,hsa-mir-323,0.544348925408824,red
DCAF10,hsa-mir-31,0.685535625724523,red
CASP9,hsa-mir-223,0.621411482409166,green
PPP1R3E,hsa-mir-665,0.698713522157518,red
CNOT4,hsa-mir-381,0.593708471631646,red
SEC31B,hsa-mir-29c,0.591254167736113,red
RPRD1A,hsa-mir-381,0.633506971252866,red
MYSM1,hsa-mir-141,0.613706579791773,red
TPCN2,hsa-mir-766,0.671604814959575,red
WWOX,hsa-mir-376b,0.610841234548179,red
ALDH5A1,hsa-mir-27a,0.619605358620789,green
NBEA,hsa-mir-381,0.886672325383298,red
ANKHD1,hsa-mir-381,0.740505015041691,red
ZNF614,hsa-mir-29c,0.669432915802432,red
GSTM3,hsa-mir-676,0.576185554293737,red
REEP3,hsa-mir-30d,0.604902828527758,red
EIF5A2,hsa-mir-27a,0.555540195669361,red
FAM124A,hsa-mir-381,0.662572998277408,red
TRAPPC6B,hsa-mir-380,0.548599047448499,red
AKR1D1,hsa-mir-141,0.541697437837751,red
SMAD9,hsa-mir-381,0.87032060688191,red
ARL10,hsa-mir-377,0.650101050170326,red
DCAF5,hsa-mir-376b,0.678094197447031,red
SETBP1,hsa-mir-381,0.722099627612095,red
PSMC6,hsa-mir-323,0.642306117757518,red
SLC25A46,hsa-mir-377,0.561404516339494,red
SLC25A36,hsa-mir-141,0.633888534021765,red
MTX3,hsa-mir-381,0.613506605907805,red
ZNF577,hsa-mir-29c,0.599662608629337,red
AHI1,hsa-mir-381,0.721107323516903,red
GOLGA7,hsa-mir-766,0.626294653832231,red
MTMR7,hsa-mir-665,0.892375622677375,red
ARHGEF37,hsa-mir-27a,0.553846026585594,red
C12orf51,hsa-mir-381,0.675383283052241,red
TRAPPC6B,hsa-mir-377,0.550491644908277,red
PTPN21,hsa-mir-30d,0.556935133350282,red
SRRM2,hsa-mir-381,0.670251693974694,red
PRPF39,hsa-mir-141,0.668374221715088,red
ZNF614,hsa-mir-27b,0.580317178128765,red
DYNC1I1,hsa-mir-381,0.606159017564098,red
C11orf58,hsa-mir-382,0.67472132572921,red
DHX57,hsa-mir-221,0.583199502317325,red
ARHGAP5,hsa-mir-382,0.671965227476785,red
TWSG1,hsa-mir-3653,0.550913579919786,red
AHI1,hsa-mir-106b,0.557759700453896,red
EIF2C3,hsa-mir-382,0.580776798819493,red
SOCS5,hsa-mir-221,0.560575734026516,red
RPRD1A,hsa-mir-382,0.676557907860447,red
ZNF519,hsa-mir-382,0.709825710696267,red
NEDD4,hsa-mir-3653,0.696765848193918,red
SOCS7,hsa-mir-382,0.715684232095245,red
CERK,hsa-mir-382,0.759620207538014,red
RNGTT,hsa-mir-3653,0.574630460493623,red
BRPF3,hsa-mir-382,0.676935306563324,red
NECAB1,hsa-mir-199b,0.637686874856553,red
HBS1L,hsa-mir-382,0.65680930890165,red
JMY,hsa-mir-382,0.643356149514401,red
HBS1L,hsa-mir-3653,0.565753706768753,red
TIPRL,hsa-mir-3653,0.660624461735999,red
CCDC50,hsa-mir-221,0.559842974601233,red
SNAPC3,hsa-mir-377,0.552308774804846,red
RSF1,hsa-mir-382,0.592145577065875,red
LPL,hsa-mir-487a,0.670443054967978,red
PPM1A,hsa-mir-382,0.736528242042729,red
RUNDC2A,hsa-mir-106b,0.5708634588443,red
SDC2,hsa-mir-590,0.573010041743225,red
TUBE1,hsa-mir-382,0.590274383315782,red
SBNO1,hsa-mir-382,0.543022116623928,red
NDUFA6,hsa-mir-590,0.585369011918552,red
CHUK,hsa-mir-382,0.555070489854896,red
RNF180,hsa-mir-487a,0.588334914956782,red
AKT3,hsa-mir-382,0.659396545569824,red
NOL4,hsa-mir-382,0.907840731756768,red
DDX24,hsa-mir-382,0.778695320796805,red
EML5,hsa-mir-487a,0.831731901063208,red
KCNA6,hsa-mir-382,0.572613888373728,red
ZFPM2,hsa-mir-106b,0.676570424524384,red
C14orf45,hsa-mir-382,0.728088382038428,red
AKD1,hsa-mir-382,0.560283211591789,red
ME2,hsa-mir-487a,0.653253481404922,red
TMEFF1,hsa-mir-199b,0.756676091826151,red
