mRNA,microRNA,weight,edge_color
PHF20,hsa-mir-939,0.682167890366294,red
SMG5,hsa-mir-939,0.665036001764816,red
TNS4,hsa-mir-338,0.659900357274028,green
UHRF1BP1L,hsa-mir-939,0.722712556615389,red
USP37,hsa-mir-939,0.693463858646334,red
KCNN4,hsa-mir-424,0.656451916055471,green
RNMT,hsa-mir-939,0.696737250374773,red
CDV3,hsa-mir-939,0.684739086921847,red
RPS6KL1,hsa-mir-939,0.655159544839881,red
MAPRE1,hsa-mir-939,0.625646553063092,red
GZF1,hsa-mir-939,0.69570076758166,red
KIF27,hsa-mir-939,0.700292106947554,red
SMEK2,hsa-mir-939,0.722183000397462,red
RAF1,hsa-mir-939,0.677834197794794,red
ATG4D,hsa-mir-152,0.656527391587823,green
ZHX3,hsa-mir-381,0.752943443203705,red
TRAPPC6B,hsa-mir-323,0.639004503959444,red
PITPNM2,hsa-mir-665,0.81975550482998,red
SNAPC3,hsa-mir-377,0.634261568601113,red
PALM2,hsa-mir-766,0.675044514420885,red
C11orf58,hsa-mir-381,0.68443775135878,red
RRAGD,hsa-mir-381,0.661627416937843,red
RIC8B,hsa-mir-381,0.702595641220803,red
TUBE1,hsa-mir-381,0.633221045344105,red
SPTB,hsa-mir-323,0.767483739075545,red
TRPC4,hsa-mir-381,0.624239106959582,red
ULK2,hsa-mir-381,0.656974122484623,red
TRIM62,hsa-mir-152,0.674382355389879,green
RNF10,hsa-mir-141,0.650551819032633,red
PLEKHA5,hsa-mir-141,0.691312790314274,red
KIF1B,hsa-mir-381,0.757194297998383,red
IPO8,hsa-mir-381,0.639649601058264,red
FGD6,hsa-mir-27a,0.68310398932128,red
TNS4,hsa-mir-338,0.659900357274028,green
CNTLN,hsa-mir-377,0.756028438967389,red
RPP14,hsa-mir-377,0.704654452168497,red
TACC1,hsa-mir-29c,0.704019596298076,red
DDX6,hsa-mir-381,0.707748077612014,red
C10orf137,hsa-mir-381,0.766563732123056,red
NEURL,hsa-mir-665,0.854232572710038,red
CAPS2,hsa-mir-376b,0.771591086780314,red
DCAF5,hsa-mir-665,0.70409413577725,red
FAM38A,hsa-mir-152,0.626974505626769,red
EIF5,hsa-mir-323,0.625227917541385,red
DCAF10,hsa-mir-31,0.724283709558004,red
CASP9,hsa-mir-223,0.761825794428832,green
PPP1R3E,hsa-mir-665,0.732153790675386,red
CNOT4,hsa-mir-381,0.651150396780964,red
SEC31B,hsa-mir-29c,0.658814798916834,red
RPRD1A,hsa-mir-381,0.691799823218699,red
MYSM1,hsa-mir-141,0.68460610533932,red
TPCN2,hsa-mir-766,0.712156068386871,red
WWOX,hsa-mir-376b,0.660908443925367,red
ALDH5A1,hsa-mir-27a,0.735037307127481,green
NBEA,hsa-mir-381,0.877424427813268,red
ANKHD1,hsa-mir-381,0.757079630834539,red
ZNF614,hsa-mir-29c,0.701873440185979,red
GSTM3,hsa-mir-676,0.660777636415645,red
REEP3,hsa-mir-30d,0.667579522599883,red
EIF5A2,hsa-mir-27a,0.645939455187466,red
FAM124A,hsa-mir-381,0.731976871891681,red
TRAPPC6B,hsa-mir-380,0.637602060199706,red
AKR1D1,hsa-mir-141,0.627164598081374,red
SMAD9,hsa-mir-381,0.851260251723261,red
ARL10,hsa-mir-377,0.684800696368268,red
DCAF5,hsa-mir-376b,0.716443987596478,red
SETBP1,hsa-mir-381,0.760214106367932,red
PSMC6,hsa-mir-323,0.683847225598228,red
SLC25A46,hsa-mir-377,0.634412432352767,red
SLC25A36,hsa-mir-141,0.698617648796811,red
MTX3,hsa-mir-381,0.679661857638839,red
ZNF577,hsa-mir-29c,0.667294137327533,red
AHI1,hsa-mir-381,0.755021598250928,red
GOLGA7,hsa-mir-766,0.672806186222915,red
MTMR7,hsa-mir-665,0.8838357943551,red
ARHGEF37,hsa-mir-27a,0.627723138419842,red
C12orf51,hsa-mir-381,0.710995221039872,red
TRAPPC6B,hsa-mir-377,0.64489806208509,red
PTPN21,hsa-mir-30d,0.632707901293328,red
SRRM2,hsa-mir-381,0.732221419677146,red
PRPF39,hsa-mir-141,0.712735920195699,red
ZNF614,hsa-mir-27b,0.645660986738942,red
DYNC1I1,hsa-mir-381,0.676842785698215,red
C11orf58,hsa-mir-382,0.75582873910656,red
DHX57,hsa-mir-221,0.66517768629284,red
ARHGAP5,hsa-mir-382,0.731814863542931,red
TWSG1,hsa-mir-3653,0.627034382080165,red
AHI1,hsa-mir-106b,0.640696009926863,red
EIF2C3,hsa-mir-382,0.646114666020816,red
SOCS5,hsa-mir-221,0.654713845363225,red
RPRD1A,hsa-mir-382,0.750458103786575,red
ZNF519,hsa-mir-382,0.762129618055408,red
NEDD4,hsa-mir-3653,0.740140661327871,red
SOCS7,hsa-mir-382,0.755085758169541,red
CERK,hsa-mir-382,0.766876648371508,red
RNGTT,hsa-mir-3653,0.658807649201408,red
BRPF3,hsa-mir-382,0.721728472647276,red
NECAB1,hsa-mir-199b,0.690728941932119,red
HBS1L,hsa-mir-382,0.702215162629078,red
JMY,hsa-mir-382,0.735344499687902,red
HBS1L,hsa-mir-3653,0.671676795192694,red
TIPRL,hsa-mir-3653,0.708332062475546,red
CCDC50,hsa-mir-221,0.657144567980706,red
SNAPC3,hsa-mir-377,0.634261568601113,red
RSF1,hsa-mir-382,0.669647703590267,red
LPL,hsa-mir-487a,0.699673617156358,red
PPM1A,hsa-mir-382,0.785981530524922,red
RUNDC2A,hsa-mir-106b,0.650354562994764,red
SDC2,hsa-mir-590,0.647010030167278,red
TUBE1,hsa-mir-382,0.67869890757975,red
SBNO1,hsa-mir-382,0.627997295682842,red
NDUFA6,hsa-mir-590,0.659270039939534,red
CHUK,hsa-mir-382,0.629439965329842,red
RNF180,hsa-mir-487a,0.655717961741418,red
AKT3,hsa-mir-382,0.724431354677993,red
NOL4,hsa-mir-382,0.899666117113155,red
DDX24,hsa-mir-382,0.793157380927992,red
EML5,hsa-mir-487a,0.825766067260891,red
KCNA6,hsa-mir-382,0.669781986170191,red
ZFPM2,hsa-mir-106b,0.718936751045938,red
C14orf45,hsa-mir-382,0.780200709422355,red
AKD1,hsa-mir-382,0.663581237811649,red
ME2,hsa-mir-487a,0.691948834607237,red
TMEFF1,hsa-mir-199b,0.770760886777818,red
KATNAL1,hsa-mir-382,0.623169000925454,red
ESYT2,hsa-mir-382,0.890038462006066,red
PHIP,hsa-mir-382,0.764680570072473,red
SMAD9,hsa-mir-382,0.897863042174481,red
VPS13B,hsa-mir-3653,0.709048998177458,red
TMEM51,hsa-mir-132,0.642322328693491,green
HINT3,hsa-mir-590,0.677892100453347,red
PPP2R5C,hsa-mir-382,0.730787367194285,red
SPATA21,hsa-mir-382,0.721275429718568,red
BACE1,hsa-mir-199b,0.724776040580428,red
PDHA1,hsa-mir-221,0.631278695768558,red
MDM1,hsa-mir-487a,0.674989831326969,red
RUFY3,hsa-mir-382,0.844134092078114,red
SPOPL,hsa-mir-584,0.6353124727955,red
KLC1,hsa-mir-382,0.755951216610892,red
RRM2B,hsa-mir-3653,0.647480334979006,red
MLH3,hsa-mir-487a,0.646490851766299,red
UHRF2,hsa-mir-221,0.692998714168321,red
TBC1D19,hsa-mir-382,0.697982024477273,red
NAP1L1,hsa-mir-221,0.677815778794995,red
TMEM170B,hsa-mir-382,0.707849609747454,red
SMPD2,hsa-mir-221,0.661944155076518,green
PCDH7,hsa-mir-221,0.711526320288387,red
DDHD2,hsa-mir-487a,0.678707732115322,red
ZC3H13,hsa-mir-382,0.645029189262539,red
DOK6,hsa-mir-382,0.871912629374007,red
ASB1,hsa-mir-382,0.713418651270382,red
SGCE,hsa-mir-221,0.665721275082068,red
MAPK4,hsa-mir-132,0.652259438233811,red
CSF1,hsa-mir-221,0.681797461124342,red
CNTLN,hsa-mir-377,0.756028438967389,red
PCNX,hsa-mir-382,0.678394730066741,red
ZNF354C,hsa-mir-382,0.792623824914178,red
MAPRE2,hsa-mir-382,0.74581181752873,red
ACTR1A,hsa-mir-106b,0.721070375401452,red
RPP14,hsa-mir-377,0.704654452168497,red
SLC2A13,hsa-mir-382,0.682481457943421,red
GOLGA7,hsa-mir-590,0.732963988174142,red
NDUFA4,hsa-mir-590,0.739290333760498,red
RRAGD,hsa-mir-382,0.70122659638367,red
EIF5A2,hsa-mir-221,0.672170944958159,red
PCGF6,hsa-mir-382,0.687386708602319,red
NAP1L1,hsa-mir-590,0.687691762857759,red
MCPH1,hsa-mir-382,0.688995979985313,red
JRK,hsa-mir-382,0.646514850498811,red
MSN,hsa-mir-221,0.678947218609955,red
PHF10,hsa-mir-106b,0.712160837105481,red
ZCCHC14,hsa-mir-382,0.759426230693224,red
DNAJC6,hsa-mir-382,0.846889715092381,red
CCDC25,hsa-mir-382,0.793630103495109,red
FOXA1,hsa-mir-132,0.709714543370834,green
PLCB4,hsa-mir-382,0.863978207016631,red
OSBPL8,hsa-mir-221,0.694349897619746,red
ANO5,hsa-mir-382,0.837033746329247,red
ZHX3,hsa-mir-382,0.806368775514546,red
SIRT1,hsa-mir-590,0.632927624847188,red
KLHDC5,hsa-mir-382,0.678402496613235,red
SPAG8,hsa-mir-382,0.679977731334029,red
SLC25A4,hsa-mir-487a,0.684837752282924,red
CCDC50,hsa-mir-199b,0.683631010467643,red
WDR17,hsa-mir-382,0.79552169872963,red
SGTB,hsa-mir-382,0.697493670120036,red
PTP4A1,hsa-mir-216a,0.666067042929223,red
DCAF5,hsa-mir-382,0.743965812145855,red
SPIRE1,hsa-mir-221,0.683175061236068,red
FYTTD1,hsa-mir-382,0.715706735089621,red
SSBP2,hsa-mir-199b,0.713266541632217,red
SMAD5,hsa-mir-382,0.654209421807002,red
MKX,hsa-mir-487a,0.678386224742057,red
FAM161B,hsa-mir-382,0.697962440248494,red
LRCH2,hsa-mir-382,0.755552516556001,red
IGSF21,hsa-mir-382,0.819871471447249,red
EML1,hsa-mir-199b,0.637870228250742,red
CELF1,hsa-mir-382,0.679182253677732,red
MTX3,hsa-mir-487a,0.680811980204986,red
PDHA1,hsa-mir-590,0.650844090515809,red
RGAG4,hsa-mir-382,0.88743276037588,red
EPM2A,hsa-mir-382,0.758836973370972,red
NEGR1,hsa-mir-382,0.786332887140293,red
UBE2V2,hsa-mir-590,0.656080394639332,red
JAM3,hsa-mir-382,0.909234679068871,red
DNAJC15,hsa-mir-3653,0.657741280287793,red
RIC3,hsa-mir-382,0.845469817550375,red
ZNF470,hsa-mir-382,0.696168210078942,red
SYT11,hsa-mir-382,0.725658917316046,red
USP13,hsa-mir-382,0.778449839346783,red
ULK2,hsa-mir-382,0.69501718871969,red
CAMTA1,hsa-mir-106b,0.688167408046736,red
FBXW11,hsa-mir-199b,0.685431163749794,red
NBEA,hsa-mir-382,0.916588948715912,red
MTMR7,hsa-mir-382,0.927527679458451,red
CCDC149,hsa-mir-382,0.678386999624506,red
CAPN7,hsa-mir-382,0.726328447436633,red
TDRD3,hsa-mir-382,0.711757904546313,red
ANKHD1,hsa-mir-382,0.804073922587257,red
RUFY3,hsa-mir-487a,0.833759368824626,red
ZDHHC17,hsa-mir-382,0.739719466552405,red
MTX3,hsa-mir-382,0.730703497916624,red
ZNF84,hsa-mir-382,0.707674721419606,red
ASL,hsa-mir-106b,0.772408639660267,green
MPZL2,hsa-mir-106b,0.709009760367899,green
SLC25A46,hsa-mir-382,0.705191357781144,red
CUL5,hsa-mir-382,0.742972128279357,red
WDR35,hsa-mir-221,0.710038167876097,red
ITSN2,hsa-mir-3653,0.662074534888091,red
PCDH9,hsa-mir-382,0.752030293590038,red
C17orf39,hsa-mir-382,0.685453575202141,red
PRKAA2,hsa-mir-487a,0.64642102769514,red
TPO,hsa-mir-382,0.86534789136726,red
KIAA1737,hsa-mir-382,0.643258935727484,red
METAP2,hsa-mir-382,0.656311291105975,red
IFT74,hsa-mir-590,0.644957207635953,red
EPHA7,hsa-mir-382,0.715095018710733,red
SETBP1,hsa-mir-382,0.772710116638287,red
PCM1,hsa-mir-590,0.626848157103849,red
COX11,hsa-mir-382,0.726556444759302,red
MTR,hsa-mir-382,0.71485163207573,red
NECAB1,hsa-mir-132,0.666994308168234,red
SRRM2,hsa-mir-382,0.778164384686916,red
INPP4A,hsa-mir-584,0.703435822763997,red
KIF1B,hsa-mir-382,0.806736364887413,red
KCTD15,hsa-mir-132,0.639573218459517,red
NOVA1,hsa-mir-382,0.702514561413627,red
DDX51,hsa-mir-590,0.677847562508293,red
HIF1AN,hsa-mir-382,0.684458220742989,red
NEGR1,hsa-mir-487a,0.68357036545627,red
DDHD1,hsa-mir-590,0.649172652746276,red
DDHD2,hsa-mir-590,0.620201260639689,red
GAL3ST1,hsa-let-7c,0.759480514321888,red
PARP1,hsa-mir-382,0.701940265934926,red
SFT2D1,hsa-mir-382,0.640346260249948,green
KIAA0368,hsa-mir-221,0.641421127343275,red
SCAMP2,hsa-mir-106b,0.725587598972063,green
MTERFD3,hsa-mir-487a,0.662525045550758,red
ZNF532,hsa-mir-382,0.701802468933748,red
ARL10,hsa-mir-377,0.684800696368268,red
STXBP1,hsa-mir-382,0.774503386756498,red
EXOC5,hsa-mir-382,0.812324374547158,red
NBEA,hsa-mir-106b,0.664842943172188,red
EGLN1,hsa-mir-382,0.773668565949294,red
LONRF2,hsa-mir-487a,0.822927083050952,red
C10orf84,hsa-mir-382,0.795655282194032,red
LIN52,hsa-mir-382,0.801295362133605,red
SYNJ2BP,hsa-mir-382,0.726026082395006,red
RIC8B,hsa-mir-382,0.778221350901566,red
KCNK3,hsa-mir-132,0.631737712142316,red
SLC25A46,hsa-mir-377,0.634412432352767,red
RERG,hsa-mir-382,0.70976100203869,red
WDR17,hsa-mir-590,0.629187290182221,red
IQSEC1,hsa-mir-3653,0.667809127390141,red
ANKRD52,hsa-mir-3653,0.673054017910492,red
HBS1L,hsa-mir-590,0.651743924877342,red
MPDZ,hsa-mir-382,0.789697214176099,red
PRKAA2,hsa-mir-382,0.714883532317294,red
KIF1B,hsa-mir-106b,0.689376179105963,red
TBC1D12,hsa-mir-3653,0.641632421370739,red
MPZL2,hsa-mir-590,0.671996025700534,green
IPO5,hsa-mir-382,0.670850624934498,red
ANO5,hsa-mir-487a,0.765319900053044,red
PITPNM2,hsa-mir-382,0.919555187317953,red
TMEM35,hsa-mir-382,0.679166789048663,red
BNC2,hsa-mir-221,0.67213164063235,red
HSPA2,hsa-mir-382,0.932017097561073,red
NUBPL,hsa-mir-590,0.641738637525198,red
RGN,hsa-mir-382,0.74515476306971,red
NAV1,hsa-mir-221,0.739071949582295,red
TRAPPC6B,hsa-mir-377,0.64489806208509,red
SMAD3,hsa-mir-132,0.713858636125383,green
ANK2,hsa-mir-106b,0.626891274797875,red
SOBP,hsa-mir-199b,0.686075985319159,red
PARK2,hsa-mir-382,0.778202356086093,red
PRSS23,hsa-mir-221,0.643778991783729,red
CAMTA1,hsa-mir-382,0.74540040993992,red
TTLL7,hsa-mir-382,0.755263927943941,red
CAPRIN2,hsa-mir-221,0.692826500651946,red
ZNF407,hsa-mir-136,0.765591002904099,red
MECP2,hsa-mir-410,0.660471230620046,red
ZNF519,hsa-mir-410,0.718389265219875,red
TYW3,hsa-mir-186,0.668287123798939,red
PHF20,hsa-mir-939,0.682167890366294,red
ARHGAP5,hsa-mir-410,0.693840793491995,red
APC,hsa-mir-136,0.668533708190472,red
ULK2,hsa-mir-299,0.678451457889738,red
TWSG1,hsa-mir-3653,0.627034382080165,red
GBAS,hsa-mir-299,0.637583030669693,red
ZDHHC17,hsa-mir-495,0.649661138334714,red
SMG5,hsa-mir-939,0.665036001764816,red
NEDD4,hsa-mir-3653,0.740140661327871,red
DCLK1,hsa-mir-136,0.79118597448863,red
FAM103A1,hsa-let-7i,0.714471744825857,green
RNGTT,hsa-mir-3653,0.658807649201408,red
TRAPPC6B,hsa-mir-323,0.639004503959444,red
HBS1L,hsa-mir-3653,0.671676795192694,red
TIPRL,hsa-mir-3653,0.708332062475546,red
ZNF445,hsa-mir-136,0.630841138612025,red
TRAPPC6B,hsa-mir-495,0.652868545586118,red
ANO5,hsa-mir-136,0.800216836584301,red
RNF180,hsa-mir-495,0.679377481387899,red
DSEL,hsa-mir-1226,0.660830254307748,red
RUFY3,hsa-mir-495,0.82404000836411,red
ZNF519,hsa-mir-186,0.644089608869107,red
CAMTA1,hsa-mir-1266,0.648503032091875,red
ZNF333,hsa-mir-1180,0.651360845681738,red
ACCN2,hsa-mir-484,0.700033867794739,red
OSBPL8,hsa-mir-627,0.667712198756023,red
WWOX,hsa-mir-495,0.686986869564174,red
PALM2,hsa-mir-766,0.675044514420885,red
PPP1R16A,hsa-mir-100,0.675773151252941,green
ZSCAN23,hsa-mir-410,0.706983343545986,red
FAM110B,hsa-mir-484,0.722679825845531,red
LAMB3,hsa-mir-484,0.648612885965171,green
TNPO2,hsa-mir-1180,0.705539783021256,red
MDM1,hsa-mir-136,0.712231874522278,red
FGFR3,hsa-mir-100,0.641386724490914,green
STRN3,hsa-mir-136,0.720592715364671,red
C10orf4,hsa-mir-136,0.770030895313119,red
PIK3C2A,hsa-mir-495,0.673598458189253,red
JUP,hsa-mir-627,0.641853863299277,green
DCLK1,hsa-mir-299,0.788896795110607,red
ATG2B,hsa-mir-136,0.781324743262742,red
C17orf108,hsa-mir-495,0.689046396422552,red
RUNX1T1,hsa-mir-299,0.704451024182332,red
TAOK1,hsa-mir-186,0.672258198083793,red
DNAJC25,hsa-mir-186,0.625479651784288,red
WDR60,hsa-mir-410,0.798967729542222,red
SPTB,hsa-mir-323,0.767483739075545,red
DCHS1,hsa-mir-484,0.680867549529901,red
ASXL3,hsa-mir-1180,0.665285369135515,red
