mRNA,microRNA,weight,edge_color
OBFC1,hsa-mir-383,0.091578885,green
SHROOM2,hsa-mir-130a,0.098288654,green
GABBR2,hsa-mir-452,0.376059584,red
ZNF90,hsa-mir-452,0.365434783,red
GIGYF1,hsa-mir-3653,0.191742245,green
MICALL1,hsa-mir-375,0.268641764,green
ZNF552,hsa-mir-30e,0.142236558,green
MT2A,hsa-mir-744,0.08936441,green
ISG20,hsa-mir-215,0.372555182,red
PJA1,hsa-mir-204,0.282807099,red
RAB11FIP3,hsa-mir-378,0.234798542,green
FRMD4A,hsa-mir-200c,0.616193039,red
HMG20B,hsa-mir-127,0.130887918,green
MAPK9,hsa-mir-224,0.094551318,green
COX7C,hsa-mir-522,0.1019515,green
ZHX3,hsa-mir-505,0.125832171,green
PPAT,hsa-mir-193a,0.446465812,red
H2AFJ,hsa-mir-551b,0.132923943,green
ABCA1,hsa-mir-382,0.302891923,red
DHX9,hsa-mir-30a,0.085577593,green
ABAT,hsa-mir-203,0.121534506,green
CCNDBP1,hsa-mir-584,0.203693753,green
ID1,hsa-mir-326,0.140578947,green
CEBPZ,hsa-mir-335,0.393529144,red
PGF,hsa-mir-149,0.115043571,green
SCARF1,hsa-mir-326,0.181240008,green
PMP22,hsa-mir-505,0.147762177,green
PTPN21,hsa-mir-130a,0.363980609,red
PERP,hsa-mir-3928,0.280318985,red
AHCYL2,hsa-mir-378,0.108879258,green
AKR1C2,hsa-mir-31,0.512038006,red
DIP2B,hsa-mir-642a,0.290670161,red
BCL11A,hsa-mir-4286,0.331134067,red
RERGL,hsa-mir-488,0.270554008,red
FAM122C,hsa-mir-144,0.280989616,red
PTPN20B,hsa-mir-505,0.305904487,red
CHIC2,hsa-mir-652,0.290646976,red
TFAP2E,hsa-mir-375,0.099450267,green
PSD3,hsa-mir-31,0.079748124,green
XRN2,hsa-mir-200b,0.133066274,green
JARID2,hsa-mir-505,0.382862208,red
KPNA4,hsa-mir-130a,0.347481422,red
GCNT4,hsa-mir-203,0.082477814,green
CIB1,hsa-mir-744,0.121155076,green
FRZB,hsa-mir-505,0.302876698,red
LMBR1,hsa-mir-197,0.347273455,red
YOD1,hsa-mir-197,0.344103092,red
C21orf58,hsa-mir-134,0.22536726,green
CDS1,hsa-mir-3928,0.303475538,red
MDC1,hsa-let-7d,0.267865267,red
ADAM15,hsa-mir-326,0.110836699,green
WWC3,hsa-mir-193b,0.394790457,red
SLC11A2,hsa-mir-1262,0.117058561,green
C20orf29,hsa-mir-744,0.145429563,green
CENPO,hsa-mir-193a,0.362643207,red
RABEP2,hsa-mir-328,0.236671419,green
MYO1C,hsa-mir-193b,0.126373966,green
ROR2,hsa-mir-22,0.603466549,red
DBF4B,hsa-mir-589,0.328699894,red
COL4A3BP,hsa-mir-382,0.366222228,red
ADCK5,hsa-mir-766,0.114553358,green
PLEKHO2,hsa-mir-193b,0.167092533,green
GPR97,hsa-mir-10a,0.09807694,green
ETF1,hsa-mir-205,0.339220782,red
ACTN4,hsa-mir-548s,0.277837341,red
ERCC3,hsa-mir-186,0.264890965,red
SETD6,hsa-mir-452,0.61991024,red
ZFYVE19,hsa-mir-100,0.134055763,green
ZCCHC24,hsa-mir-642a,0.180920364,green
PDPK1,hsa-mir-1295,0.088870952,green
ZNF434,hsa-mir-135b,0.194005089,green
ANK3,hsa-mir-517b,0.288120844,red
TBC1D22A,hsa-mir-197,0.088759492,green
BDH2,hsa-mir-141,0.125622736,green
SELENBP1,hsa-mir-1287,0.117039329,green
SYTL2,hsa-mir-561,0.117406671,green
ALDH18A1,hsa-mir-193a,0.339413617,red
OSBPL11,hsa-mir-130a,0.345157644,red
ZNF714,hsa-mir-335,0.445633547,red
GPR173,hsa-mir-185,0.313015496,red
AHR,hsa-mir-145,0.259857902,red
THUMPD1,hsa-mir-642a,0.358386754,red
XG,hsa-mir-100,0.351809459,red
SNX30,hsa-mir-203,0.097091454,green
TSR1,hsa-mir-484,0.271677269,red
SPG21,hsa-mir-203,0.306572354,red
TTYH1,hsa-mir-641,0.271566124,red
TRIM44,hsa-mir-149,0.286335139,red
DCAF8,hsa-mir-200b,0.266083843,red
EXT1,hsa-mir-944,0.29895802,red
NISCH,hsa-mir-31,0.168934848,green
LY75,hsa-mir-675,0.306452833,red
GNG7,hsa-mir-375,0.156982333,green
EHF,hsa-mir-224,0.506471929,red
ENPP1,hsa-mir-505,0.168383821,green
CHERP,hsa-mir-424,0.09547166,green
VPS37C,hsa-mir-135b,0.161609328,green
LIN54,hsa-mir-197,0.4396299,red
MED22,hsa-mir-744,0.130586191,green
SEL1L,hsa-mir-452,0.164732243,green
