mRNA,microRNA,weight,edge_color
OBFC1,hsa-mir-383,0.181526411,green
SHROOM2,hsa-mir-130a,0.2702738635,green
GABBR2,hsa-mir-452,0.259248291,red
ZNF90,hsa-mir-452,0.2522127835,red
GIGYF1,hsa-mir-3653,0.236447826,green
MICALL1,hsa-mir-375,0.287001713,green
ZNF552,hsa-mir-30e,0.2106997785,green
MT2A,hsa-mir-744,0.215134623,green
ISG20,hsa-mir-215,0.2412391965,red
PJA1,hsa-mir-204,0.243772782,red
RAB11FIP3,hsa-mir-378,0.294658674,green
FRMD4A,hsa-mir-200c,0.348225006,red
HMG20B,hsa-mir-127,0.2926624895,green
MAPK9,hsa-mir-224,0.191498532,green
COX7C,hsa-mir-522,0.2308953665,green
ZHX3,hsa-mir-505,0.2277610045,green
PPAT,hsa-mir-193a,0.264254926,red
H2AFJ,hsa-mir-551b,0.221684948,green
ABCA1,hsa-mir-382,0.2132484265,red
DHX9,hsa-mir-30a,0.29979526,green
ABAT,hsa-mir-203,0.3528939065,green
CCNDBP1,hsa-mir-584,0.2744504285,green
ID1,hsa-mir-326,0.255169262,green
CEBPZ,hsa-mir-335,0.265227805,red
PGF,hsa-mir-149,0.2245855165,green
SCARF1,hsa-mir-326,0.291098167,green
PMP22,hsa-mir-505,0.291244921,green
PTPN21,hsa-mir-130a,0.283915081,red
PERP,hsa-mir-3928,0.198396266,red
AHCYL2,hsa-mir-378,0.478236196,green
AKR1C2,hsa-mir-31,0.306615955,red
DIP2B,hsa-mir-642a,0.2248292685,red
BCL11A,hsa-mir-4286,0.2451580465,red
RERGL,hsa-mir-488,0.417643131,red
FAM122C,hsa-mir-144,0.2128874875,red
PTPN20B,hsa-mir-505,0.2288873835,red
CHIC2,hsa-mir-652,0.209344954,red
TFAP2E,hsa-mir-375,0.214938446,green
PSD3,hsa-mir-31,0.224361613,green
XRN2,hsa-mir-200b,0.2996575295,green
JARID2,hsa-mir-505,0.265275246,red
KPNA4,hsa-mir-130a,0.3026648735,red
GCNT4,hsa-mir-203,0.1880278475,green
CIB1,hsa-mir-744,0.205326704,green
FRZB,hsa-mir-505,0.2225241045,red
LMBR1,hsa-mir-197,0.219018894,red
YOD1,hsa-mir-197,0.343411212,red
C21orf58,hsa-mir-134,0.4176751645,green
CDS1,hsa-mir-3928,0.1989943595,red
MDC1,hsa-let-7d,0.2079743145,red
ADAM15,hsa-mir-326,0.2078536165,green
WWC3,hsa-mir-193b,0.2592403615,red
SLC11A2,hsa-mir-1262,0.1967265355,green
C20orf29,hsa-mir-744,0.2186357265,green
CENPO,hsa-mir-193a,0.2456660965,red
RABEP2,hsa-mir-328,0.30193771,green
MYO1C,hsa-mir-193b,0.431125493,green
ROR2,hsa-mir-22,0.40602276,red
DBF4B,hsa-mir-589,0.2444601215,red
COL4A3BP,hsa-mir-382,0.229523683,red
ADCK5,hsa-mir-766,0.232258817,green
PLEKHO2,hsa-mir-193b,0.3362617225,green
GPR97,hsa-mir-10a,0.253073212,green
ETF1,hsa-mir-205,0.219793624,red
ACTN4,hsa-mir-548s,0.2211368,red
ERCC3,hsa-mir-186,0.229935143,red
SETD6,hsa-mir-452,0.3963512935,red
ZFYVE19,hsa-mir-100,0.201293125,green
ZCCHC24,hsa-mir-642a,0.270565922,green
PDPK1,hsa-mir-1295,0.239089361,green
