mRNA,microRNA,weight,edge_color
OBFC1,hsa-mir-383,0.157674603081854,green
SHROOM2,hsa-mir-130a,0.208492323610386,green
GABBR2,hsa-mir-452,0.231440701291041,red
ZNF90,hsa-mir-452,0.225370954184517,red
GIGYF1,hsa-mir-3653,0.232183086049735,green
MICALL1,hsa-mir-375,0.286413853606371,green
ZNF552,hsa-mir-30e,0.199266615615154,green
MT2A,hsa-mir-744,0.174541569648284,green
ISG20,hsa-mir-215,0.202367146246938,red
PJA1,hsa-mir-204,0.240627287189884,red
RAB11FIP3,hsa-mir-378,0.288514295591017,green
FRMD4A,hsa-mir-200c,0.222382076826823,red
HMG20B,hsa-mir-127,0.243885876541322,green
MAPK9,hsa-mir-224,0.165145164796894,green
COX7C,hsa-mir-522,0.191536287849586,green
ZHX3,hsa-mir-505,0.203680112117453,green
PPAT,hsa-mir-193a,0.191389286372985,red
H2AFJ,hsa-mir-551b,0.203139607563746,green
ABCA1,hsa-mir-382,0.193491433763824,red
DHX9,hsa-mir-30a,0.209733137733513,green
ABAT,hsa-mir-203,0.266471268704735,green
CCNDBP1,hsa-mir-584,0.265172642963073,green
ID1,hsa-mir-326,0.22799213139454,green
CEBPZ,hsa-mir-335,0.232130469684454,red
PGF,hsa-mir-149,0.196059216558791,green
SCARF1,hsa-mir-326,0.269572490680875,green
PMP22,hsa-mir-505,0.253448823596652,green
PTPN21,hsa-mir-130a,0.272391784834488,red
PERP,hsa-mir-3928,0.180692408458103,red
AHCYL2,hsa-mir-378,0.303784975790138,green
AKR1C2,hsa-mir-31,0.227629358439362,red
DIP2B,hsa-mir-642a,0.214972502541717,red
BCL11A,hsa-mir-4286,0.229587873509643,red
RERGL,hsa-mir-488,0.390884349605576,red
FAM122C,hsa-mir-144,0.201700724906561,red
PTPN20B,hsa-mir-505,0.215540715629197,red
CHIC2,hsa-mir-652,0.192912651176572,red
TFAP2E,hsa-mir-375,0.181276076965933,green
PSD3,hsa-mir-31,0.171537378396688,green
XRN2,hsa-mir-200b,0.249082292780874,green
JARID2,hsa-mir-505,0.23779037513737,red
KPNA4,hsa-mir-130a,0.299328419351251,red
GCNT4,hsa-mir-203,0.155607396558236,green
CIB1,hsa-mir-744,0.187281051938879,green
FRZB,hsa-mir-505,0.20751009084223,red
LMBR1,hsa-mir-197,0.177538850710712,red
