mRNA,microRNA,weight,edge_color
OBFC1,hsa-mir-383,0.225074535055816,green
SHROOM2,hsa-mir-130a,0.353540558784887,green
GABBR2,hsa-mir-452,0.304892221566765,red
ZNF90,hsa-mir-452,0.296454200156593,red
GIGYF1,hsa-mir-3653,0.258092047625121,green
MICALL1,hsa-mir-375,0.29589068829778,green
ZNF552,hsa-mir-30e,0.243846269039325,green
MT2A,hsa-mir-744,0.276026312653036,green
ISG20,hsa-mir-215,0.292550825457556,red
PJA1,hsa-mir-204,0.259025413908364,red
RAB11FIP3,hsa-mir-378,0.323639976435528,green
FRMD4A,hsa-mir-200c,0.452933326387864,red
HMG20B,hsa-mir-127,0.370985701066246,green
MAPK9,hsa-mir-224,0.238435557284472,green
COX7C,hsa-mir-522,0.293323581530378,green
ZHX3,hsa-mir-505,0.277109882490514,green
PPAT,hsa-mir-193a,0.335453701525007,red
H2AFJ,hsa-mir-551b,0.264658617526596,green
ABCA1,hsa-mir-382,0.248276559696061,red
DHX9,hsa-mir-30a,0.403508813360694,green
ABAT,hsa-mir-203,0.46490663572674,green
CCNDBP1,hsa-mir-584,0.308707296025752,green
ID1,hsa-mir-326,0.3106482003892,green
CEBPZ,hsa-mir-335,0.315361462958388,red
PGF,hsa-mir-149,0.277620285148883,green
SCARF1,hsa-mir-326,0.344286030518064,green
PMP22,hsa-mir-505,0.360712138314914,green
PTPN21,hsa-mir-130a,0.315200629742478,red
PERP,hsa-mir-3928,0.230407510819254,red
AHCYL2,hsa-mir-378,0.65706047802528,green
AKR1C2,hsa-mir-31,0.386884476920449,red
DIP2B,hsa-mir-642a,0.250556550927426,red
BCL11A,hsa-mir-4286,0.278753116029012,red
RERGL,hsa-mir-488,0.360168159660214,red
FAM122C,hsa-mir-144,0.23949834630372,red
PTPN20B,hsa-mir-505,0.258981762513572,red
CHIC2,hsa-mir-652,0.241113661903144,red
TFAP2E,hsa-mir-375,0.270852085537704,green
PSD3,hsa-mir-31,0.294376280875538,green
XRN2,hsa-mir-200b,0.380312740196157,green
JARID2,hsa-mir-505,0.311222268682857,red
KPNA4,hsa-mir-130a,0.320176908299376,red
GCNT4,hsa-mir-203,0.239129930651831,green
CIB1,hsa-mir-744,0.246078425154887,green
FRZB,hsa-mir-505,0.253921823884662,red
LMBR1,hsa-mir-197,0.269134273487794,red
YOD1,hsa-mir-197,0.343681563623285,red
C21orf58,hsa-mir-134,0.51078109919886,green
CDS1,hsa-mir-3928,0.239820306499729,red
MDC1,hsa-let-7d,0.231376662058018,red
ADAM15,hsa-mir-326,0.254824388756736,green
WWC3,hsa-mir-193b,0.312206465961496,red
SLC11A2,hsa-mir-1262,0.235297811343669,green
C20orf29,hsa-mir-744,0.25407851444003,green
CENPO,hsa-mir-193a,0.291374820138243,red
RABEP2,hsa-mir-328,0.333536406078989,green
MYO1C,hsa-mir-193b,0.578671044213885,green
ROR2,hsa-mir-22,0.4831737816564,red
DBF4B,hsa-mir-589,0.277376753344406,red
COL4A3BP,hsa-mir-382,0.282938543295723,red
ADCK5,hsa-mir-766,0.289245953373031,green
PLEKHO2,hsa-mir-193b,0.418165040783238,green
GPR97,hsa-mir-10a,0.328114707652087,green
ETF1,hsa-mir-205,0.266459701975338,red
ACTN4,hsa-mir-548s,0.243292496508744,red
ERCC3,hsa-mir-186,0.243594105856204,red
SETD6,hsa-mir-452,0.483706794578352,red
ZFYVE19,hsa-mir-100,0.233846115746647,green
ZCCHC24,hsa-mir-642a,0.313967848150107,green
PDPK1,hsa-mir-1295,0.31181765272199,green
ZNF434,hsa-mir-135b,0.29274361253725,green
ANK3,hsa-mir-517b,0.225406178000497,red
TBC1D22A,hsa-mir-197,0.348096691977177,green
BDH2,hsa-mir-141,0.303263213085288,green
SELENBP1,hsa-mir-1287,0.392618913569498,green
SYTL2,hsa-mir-561,0.255902847971853,green
ALDH18A1,hsa-mir-193a,0.261717947153018,red
OSBPL11,hsa-mir-130a,0.28895575256756,red
ZNF714,hsa-mir-335,0.341341101664454,red
GPR173,hsa-mir-185,0.255556698128655,red
AHR,hsa-mir-145,0.225381766061453,red
THUMPD1,hsa-mir-642a,0.287454156881961,red
XG,hsa-mir-100,0.285025793068875,red
SNX30,hsa-mir-203,0.44996505994373,green
TSR1,hsa-mir-484,0.250647690881444,red
SPG21,hsa-mir-203,0.255553183142383,red
TTYH1,hsa-mir-641,0.241524507647996,red
TRIM44,hsa-mir-149,0.22641689077724,red
DCAF8,hsa-mir-200b,0.210930675213338,red
EXT1,hsa-mir-944,0.310392379933118,red
NISCH,hsa-mir-31,0.474502224204943,green
LY75,hsa-mir-675,0.266181455934637,red
GNG7,hsa-mir-375,0.32450845770146,green
EHF,hsa-mir-224,0.399694540740479,red
ENPP1,hsa-mir-505,0.293728190209054,green
CHERP,hsa-mir-424,0.31166012340745,green
VPS37C,hsa-mir-135b,0.349770217287994,green
LIN54,hsa-mir-197,0.351069240895445,red
MED22,hsa-mir-744,0.257541254386617,green
SEL1L,hsa-mir-452,0.315412576563458,green
GPAM,hsa-mir-641,0.24755517710006,green
B3GAT3,hsa-mir-874,0.23617674063155,green
FAM84B,hsa-mir-331,0.246695651276791,red
GOLGA7,hsa-mir-203,0.326691976262499,red
BMS1,hsa-mir-1228,0.25057908567313,red
WASF2,hsa-mir-193b,0.268970393519042,green
ZNF576,hsa-mir-3170,0.232919736246394,green
GATAD2B,hsa-mir-1226,0.312653207956267,red
C1orf226,hsa-mir-299,0.290296625564101,green
FAAH2,hsa-mir-338,0.289932839110356,red
SIPA1L1,hsa-mir-326,0.218543268169852,red
CDC42EP1,hsa-mir-328,0.307842610064203,green
ZNF317,hsa-mir-335,0.417991886943724,red
AXIN2,hsa-mir-19a,0.281955369093955,green
PTGER3,hsa-mir-505,0.37179024120507,green
SPRY3,hsa-mir-203,0.318809718503196,red
