mRNA,microRNA,weight,edge_color
OBFC1,hsa-mir-383,0.271473937,green
SHROOM2,hsa-mir-130a,0.442259073,green
GABBR2,hsa-mir-452,0.376059584,red
ZNF90,hsa-mir-452,0.365434783,red
GIGYF1,hsa-mir-3653,0.281153407,green
MICALL1,hsa-mir-375,0.305361662,green
ZNF552,hsa-mir-30e,0.279162999,green
MT2A,hsa-mir-744,0.340904836,green
ISG20,hsa-mir-215,0.372555182,red
PJA1,hsa-mir-204,0.282807099,red
RAB11FIP3,hsa-mir-378,0.354518806,green
FRMD4A,hsa-mir-200c,0.616193039,red
HMG20B,hsa-mir-127,0.454437061,green
MAPK9,hsa-mir-224,0.288445746,green
COX7C,hsa-mir-522,0.359839233,green
ZHX3,hsa-mir-505,0.329689838,green
PPAT,hsa-mir-193a,0.446465812,red
H2AFJ,hsa-mir-551b,0.310445953,green
ABCA1,hsa-mir-382,0.302891923,red
DHX9,hsa-mir-30a,0.514012927,green
ABAT,hsa-mir-203,0.584253307,green
CCNDBP1,hsa-mir-584,0.345207104,green
ID1,hsa-mir-326,0.369759577,green
CEBPZ,hsa-mir-335,0.393529144,red
PGF,hsa-mir-149,0.334127462,green
SCARF1,hsa-mir-326,0.400956326,green
PMP22,hsa-mir-505,0.434727665,green
PTPN21,hsa-mir-130a,0.363980609,red
PERP,hsa-mir-3928,0.280318985,red
AHCYL2,hsa-mir-378,0.847593134,green
AKR1C2,hsa-mir-31,0.512038006,red
DIP2B,hsa-mir-642a,0.290670161,red
BCL11A,hsa-mir-4286,0.331134067,red
RERGL,hsa-mir-488,0.564732254,red
FAM122C,hsa-mir-144,0.280989616,red
PTPN20B,hsa-mir-505,0.305904487,red
CHIC2,hsa-mir-652,0.290646976,red
TFAP2E,hsa-mir-375,0.330426625,green
PSD3,hsa-mir-31,0.368975102,green
XRN2,hsa-mir-200b,0.466248785,green
JARID2,hsa-mir-505,0.382862208,red
KPNA4,hsa-mir-130a,0.347481422,red
GCNT4,hsa-mir-203,0.293577881,green
CIB1,hsa-mir-744,0.289498332,green
FRZB,hsa-mir-505,0.302876698,red
LMBR1,hsa-mir-197,0.347273455,red
YOD1,hsa-mir-197,0.344103092,red
C21orf58,hsa-mir-134,0.609983069,green
CDS1,hsa-mir-3928,0.303475538,red
MDC1,hsa-let-7d,0.267865267,red
ADAM15,hsa-mir-326,0.304870534,green
WWC3,hsa-mir-193b,0.394790457,red
SLC11A2,hsa-mir-1262,0.27639451,green
C20orf29,hsa-mir-744,0.29184189,green
CENPO,hsa-mir-193a,0.362643207,red
RABEP2,hsa-mir-328,0.367204001,green
MYO1C,hsa-mir-193b,0.73587702,green
ROR2,hsa-mir-22,0.603466549,red
DBF4B,hsa-mir-589,0.328699894,red
COL4A3BP,hsa-mir-382,0.366222228,red
ADCK5,hsa-mir-766,0.349964276,green
PLEKHO2,hsa-mir-193b,0.505430912,green
GPR97,hsa-mir-10a,0.408069484,green
ETF1,hsa-mir-205,0.339220782,red
ACTN4,hsa-mir-548s,0.277837341,red
ERCC3,hsa-mir-186,0.264890965,red
SETD6,hsa-mir-452,0.61991024,red
ZFYVE19,hsa-mir-100,0.268530487,green
ZCCHC24,hsa-mir-642a,0.36021148,green
PDPK1,hsa-mir-1295,0.38930777,green
ZNF434,hsa-mir-135b,0.327062397,green
ANK3,hsa-mir-517b,0.288120844,red
TBC1D22A,hsa-mir-197,0.438235142,green
BDH2,hsa-mir-141,0.365006138,green
SELENBP1,hsa-mir-1287,0.488402768,green
SYTL2,hsa-mir-561,0.304040295,green
ALDH18A1,hsa-mir-193a,0.339413617,red
OSBPL11,hsa-mir-130a,0.345157644,red
ZNF714,hsa-mir-335,0.445633547,red
GPR173,hsa-mir-185,0.313015496,red
AHR,hsa-mir-145,0.259857902,red
THUMPD1,hsa-mir-642a,0.358386754,red
XG,hsa-mir-100,0.351809459,red
SNX30,hsa-mir-203,0.572614182,green
TSR1,hsa-mir-484,0.271677269,red
SPG21,hsa-mir-203,0.306572354,red
TTYH1,hsa-mir-641,0.271566124,red
TRIM44,hsa-mir-149,0.286335139,red
DCAF8,hsa-mir-200b,0.266083843,red
EXT1,hsa-mir-944,0.336493832,red
NISCH,hsa-mir-31,0.580709007,green
LY75,hsa-mir-675,0.306452833,red
GNG7,hsa-mir-375,0.382735913,green
EHF,hsa-mir-224,0.506471929,red
ENPP1,hsa-mir-505,0.337294432,green
CHERP,hsa-mir-424,0.386801264,green
VPS37C,hsa-mir-135b,0.415169747,green
LIN54,hsa-mir-197,0.4396299,red
MED22,hsa-mir-744,0.301667329,green
SEL1L,hsa-mir-452,0.3677849,green
GPAM,hsa-mir-641,0.305352169,green
B3GAT3,hsa-mir-874,0.284776984,green
FAM84B,hsa-mir-331,0.276216722,red
GOLGA7,hsa-mir-203,0.433136777,red
BMS1,hsa-mir-1228,0.319298625,red
WASF2,hsa-mir-193b,0.33495523,green
ZNF576,hsa-mir-3170,0.274723663,green
GATAD2B,hsa-mir-1226,0.388762134,red
C1orf226,hsa-mir-299,0.362914952,green
FAAH2,hsa-mir-338,0.320848439,red
SIPA1L1,hsa-mir-326,0.276484079,red
CDC42EP1,hsa-mir-328,0.375896769,green
ZNF317,hsa-mir-335,0.558815264,red
AXIN2,hsa-mir-19a,0.289287303,green
PTGER3,hsa-mir-505,0.414459171,green
SPRY3,hsa-mir-203,0.394351324,red
SFMBT2,hsa-mir-504,0.456088509,red
NPR3,hsa-mir-31,0.390600967,red
RIMKLA,hsa-mir-21,0.382279507,green
SMC1A,hsa-mir-224,0.383813913,red
GK5,hsa-mir-942,0.267362832,red
MBNL1,hsa-mir-433,0.358184906,red
LIAS,hsa-mir-548s,0.398026253,green
SHE,hsa-mir-186,0.281238579,green
DNAJC4,hsa-mir-328,0.33324159,green
GPR89A,hsa-mir-193b,0.465762452,red
ATP6V0E2,hsa-mir-197,0.37303004,green
RNLS,hsa-mir-222,0.304141023,red
SYNM,hsa-mir-197,0.270985997,red
DDX18,hsa-mir-22,0.532473494,red
CD300E,hsa-mir-130a,0.26971963,red
SLC22A11,hsa-mir-375,0.265282376,green
