mRNA,microRNA,weight,edge_color
ERBB2IP,hsa-mir-573,0.205003933,green
STAU2,hsa-mir-31,0.201537164,green
SGIP1,hsa-mir-454,0.36783161,green
SEMA6D,hsa-mir-31,0.188151547,green
SLC6A6,hsa-mir-31,0.255947694,green
CDC14A,hsa-mir-338,0.221101,green
TFDP2,hsa-mir-31,0.241889261,green
MORC3,hsa-mir-543,0.16813441,green
CCR7,hsa-mir-335,0.203683783,green
ORAI2,hsa-mir-651,0.189388971,green
C6orf222,hsa-mir-31,0.166340509,green
HOXC8,hsa-mir-454,0.17037978,green
TMEM201,hsa-mir-331,0.99310631,red
CREB3L2,hsa-mir-135b,0.183510685,green
DDC,hsa-mir-31,0.275735206,green
C19orf12,hsa-mir-31,0.199745781,green
PRKAG2,hsa-mir-454,0.218013198,green
TFEC,hsa-mir-454,0.288304108,green
GABARAPL1,hsa-mir-454,0.343583807,green
LIPA,hsa-mir-454,0.318223298,green
SNX18,hsa-mir-197,0.188222036,green
FAM122B,hsa-mir-505,0.993681098,red
ENTPD7,hsa-mir-135b,0.232168165,green
TSHZ3,hsa-mir-18b,0.27791,green
RASGRP2,hsa-mir-421,0.228528873,green
AQP1,hsa-mir-31,0.164159723,green
KIAA0247,hsa-mir-135b,0.366747638,green
DIRAS2,hsa-mir-454,0.183956565,green
ZNF331,hsa-mir-31,0.18771526,green
TRMT61B,hsa-mir-31,0.16876093,green
HDAC9,hsa-mir-200a,0.198052586,green
ALDH1A3,hsa-mir-1304,0.180457333,green
HRH1,hsa-mir-135b,0.236504252,green
KAT2B,hsa-mir-1304,0.16937789,green
TREM1,hsa-mir-96,0.265569354,green
TMEM163,hsa-mir-651,0.264881049,green
C11orf51,hsa-mir-26b,0.962065009,red
ATRN,hsa-mir-338,0.164558687,green
TULP4,hsa-mir-31,0.178254622,green
FREM1,hsa-mir-31,0.164586997,green
GIT2,hsa-mir-29a,0.173681766,green
ACSL5,hsa-mir-31,0.222193995,green
C3orf59,hsa-mir-454,0.186753516,green
RAC2,hsa-mir-148a,0.209035947,green
KIAA1045,hsa-mir-454,0.241551897,green
ZNF804A,hsa-mir-454,0.2161682,green
TYRP1,hsa-mir-197,0.195443946,green
ADORA2A,hsa-mir-20a,0.254387069,green
C6orf105,hsa-mir-17,0.164016542,green
NEDD4,hsa-mir-31,0.266880446,green
MAF,hsa-mir-573,0.180187195,green
KIAA0247,hsa-mir-454,0.419778967,green
HCLS1,hsa-mir-651,0.210929326,green
CTSO,hsa-mir-135b,0.198706282,green
COL23A1,hsa-mir-1275,0.160754271,green
RGS7BP,hsa-mir-573,0.212073997,green
TNFSF15,hsa-mir-454,0.293694741,green
HUNK,hsa-mir-1304,0.961965482,red
AGT,hsa-mir-31,0.163650841,green
TOMM40,hsa-mir-331,0.9846304,red
PC,hsa-mir-31,0.242804534,green
PIK3CD,hsa-mir-651,0.187436645,green
CD68,hsa-mir-135b,0.22300562,green
KIAA1467,hsa-mir-215,0.177070195,green
CXCR2,hsa-mir-376c,0.192850988,green
CREB3L2,hsa-mir-454,0.25628446,green
SEMA6C,hsa-mir-573,0.189154132,green
TNF,hsa-mir-130b,0.207006135,green
C18orf1,hsa-mir-215,0.200225041,green
SESTD1,hsa-mir-454,0.276166276,green
BDH2,hsa-mir-573,0.172993244,green
ARHGEF9,hsa-mir-505,0.952376618,red
TTLL2,hsa-mir-345,0.983000401,red
IYD,hsa-mir-31,0.208504691,green
RHOBTB2,hsa-mir-135b,0.171026922,green
CTSO,hsa-mir-573,0.236975361,green
ANO6,hsa-mir-215,0.200466869,green
PTGDS,hsa-mir-425,0.229639528,green
SESTD1,hsa-mir-573,0.216600559,green
HAAO,hsa-mir-31,0.18785751,green
WBSCR16,hsa-mir-345,0.976677001,red
SIDT2,hsa-mir-454,0.221263476,green
