mRNA,microRNA,weight,edge_color
ERBB2IP,hsa-mir-573,0.585644815,green
STAU2,hsa-mir-31,0.591679867,green
SGIP1,hsa-mir-454,0.6758829455,green
SEMA6D,hsa-mir-31,0.578424908,green
SLC6A6,hsa-mir-31,0.6254523515,green
CDC14A,hsa-mir-338,0.5887694515,green
TFDP2,hsa-mir-31,0.614932865,green
MORC3,hsa-mir-543,0.566791662,green
CCR7,hsa-mir-335,0.59002117,green
ORAI2,hsa-mir-651,0.569738181,green
C6orf222,hsa-mir-31,0.5733844195,green
HOXC8,hsa-mir-454,0.584676804,green
TMEM201,hsa-mir-331,0.6217356405,red
CREB3L2,hsa-mir-135b,0.571088917,green
DDC,hsa-mir-31,0.633272178,green
C19orf12,hsa-mir-31,0.5838977405,green
PRKAG2,hsa-mir-454,0.5958132175,green
TFEC,hsa-mir-454,0.6310290675,green
GABARAPL1,hsa-mir-454,0.6690292575,green
LIPA,hsa-mir-454,0.6385691575,green
SNX18,hsa-mir-197,0.577617719,green
FAM122B,hsa-mir-505,0.6692587385,red
ENTPD7,hsa-mir-135b,0.6125937615,green
TSHZ3,hsa-mir-18b,0.6163802575,green
RASGRP2,hsa-mir-421,0.6032049785,green
AQP1,hsa-mir-31,0.576911077,green
KIAA0247,hsa-mir-135b,0.6714535755,green
DIRAS2,hsa-mir-454,0.574442668,green
ZNF331,hsa-mir-31,0.5726746585,green
TRMT61B,hsa-mir-31,0.579921308,green
HDAC9,hsa-mir-200a,0.5936912105,green
ALDH1A3,hsa-mir-1304,0.5759623095,green
HRH1,hsa-mir-135b,0.59925351,green
KAT2B,hsa-mir-1304,0.5641313515,green
TREM1,hsa-mir-96,0.6079133675,green
TMEM163,hsa-mir-651,0.6085064285,green
C11orf51,hsa-mir-26b,0.5738250525,red
ATRN,hsa-mir-338,0.558520126,green
TULP4,hsa-mir-31,0.580082143,green
FREM1,hsa-mir-31,0.564602903,green
GIT2,hsa-mir-29a,0.5618477185,green
ACSL5,hsa-mir-31,0.5940696215,green
C3orf59,hsa-mir-454,0.588960825,green
RAC2,hsa-mir-148a,0.580170601,green
KIAA1045,hsa-mir-454,0.596177562,green
ZNF804A,hsa-mir-454,0.599165618,green
TYRP1,hsa-mir-197,0.571992343,green
ADORA2A,hsa-mir-20a,0.6117154605,green
C6orf105,hsa-mir-17,0.5585341735,green
NEDD4,hsa-mir-31,0.6130000655,green
MAF,hsa-mir-573,0.589382582,green
KIAA0247,hsa-mir-454,0.69796924,green
HCLS1,hsa-mir-651,0.5849412355,green
CTSO,hsa-mir-135b,0.5771332725,green
COL23A1,hsa-mir-1275,0.5655333205,green
RGS7BP,hsa-mir-573,0.602104482,green
TNFSF15,hsa-mir-454,0.646707413,green
HUNK,hsa-mir-1304,0.563816871,red
AGT,hsa-mir-31,0.557886265,green
TOMM40,hsa-mir-331,0.626664028,red
PC,hsa-mir-31,0.5969435955,green
PIK3CD,hsa-mir-651,0.5713949095,green
CD68,hsa-mir-135b,0.5927231935,green
KIAA1467,hsa-mir-215,0.5634717915,green
CXCR2,hsa-mir-376c,0.5759213715,green
CREB3L2,hsa-mir-454,0.6074758045,green
SEMA6C,hsa-mir-573,0.5742534905,green
TNF,hsa-mir-130b,0.58042666,green
C18orf1,hsa-mir-215,0.5874588325,green
SESTD1,hsa-mir-454,0.6195039885,green
BDH2,hsa-mir-573,0.569227828,green
ARHGEF9,hsa-mir-505,0.6148476365,red
TTLL2,hsa-mir-345,0.595728273,red
IYD,hsa-mir-31,0.600311614,green
RHOBTB2,hsa-mir-135b,0.585406145,green
CTSO,hsa-mir-573,0.596267812,green
ANO6,hsa-mir-215,0.590584323,green
PTGDS,hsa-mir-425,0.594154765,green
SESTD1,hsa-mir-573,0.58972113,green
HAAO,hsa-mir-31,0.585285307,green
WBSCR16,hsa-mir-345,0.6208002285,red
SIDT2,hsa-mir-454,0.594950457,green
