mRNA,microRNA,weight,edge_color
ERBB2IP,hsa-mir-573,0.44507568826734,green
STAU2,hsa-mir-31,0.444830008327891,green
SGIP1,hsa-mir-454,0.601599643213344,green
SEMA6D,hsa-mir-31,0.426921629679936,green
SLC6A6,hsa-mir-31,0.504635464551083,green
CDC14A,hsa-mir-338,0.459857996332784,green
TFDP2,hsa-mir-31,0.488856725403057,green
MORC3,hsa-mir-543,0.402895995935093,green
CCR7,hsa-mir-335,0.445946638572578,green
ORAI2,hsa-mir-651,0.424188723732214,green
C6orf222,hsa-mir-31,0.403837773679258,green
HOXC8,hsa-mir-454,0.412559015221335,green
TMEM201,hsa-mir-331,0.498637175211663,red
CREB3L2,hsa-mir-135b,0.419434935597867,green
DDC,hsa-mir-31,0.522686297009913,green
C19orf12,hsa-mir-31,0.439731558309516,green
PRKAG2,hsa-mir-454,0.460717413837921,green
TFEC,hsa-mir-454,0.529846474146656,green
GABARAPL1,hsa-mir-454,0.584538626730393,green
LIPA,hsa-mir-454,0.552403022449612,green
SNX18,hsa-mir-197,0.42663008726967,green
FAM122B,hsa-mir-505,0.585369448908178,red
ENTPD7,hsa-mir-135b,0.480153602669331,green
TSHZ3,hsa-mir-18b,0.515133484277279,green
RASGRP2,hsa-mir-421,0.472730432756913,green
AQP1,hsa-mir-31,0.403066632874103,green
KIAA0247,hsa-mir-135b,0.598334518228708,green
DIRAS2,hsa-mir-454,0.42131340138053,green
ZNF331,hsa-mir-31,0.423984110544971,green
TRMT61B,hsa-mir-31,0.408969273950169,green
HDAC9,hsa-mir-200a,0.442650349857202,green
ALDH1A3,hsa-mir-1304,0.41869845417473,green
HRH1,hsa-mir-135b,0.476988202231218,green
KAT2B,hsa-mir-1304,0.403006062459344,green
TREM1,hsa-mir-96,0.502353698907355,green
TMEM163,hsa-mir-651,0.502196845957147,green
C11orf51,hsa-mir-26b,0.422545769181879,red
ATRN,hsa-mir-338,0.395902911997506,green
TULP4,hsa-mir-31,0.418365792094032,green
FREM1,hsa-mir-31,0.398451644522929,green
GIT2,hsa-mir-29a,0.406201984366673,green
ACSL5,hsa-mir-31,0.463278786050458,green
C3orf59,hsa-mir-454,0.430237299605298,green
RAC2,hsa-mir-148a,0.44593384583927,green
KIAA1045,hsa-mir-454,0.479237230560786,green
ZNF804A,hsa-mir-454,0.460773714092563,green
TYRP1,hsa-mir-197,0.430565378505239,green
ADORA2A,hsa-mir-20a,0.496499975068227,green
C6orf105,hsa-mir-17,0.395368513418758,green
NEDD4,hsa-mir-31,0.505935064311794,green
MAF,hsa-mir-573,0.42418270028716,green
KIAA0247,hsa-mir-454,0.640133761017464,green
HCLS1,hsa-mir-651,0.449745862171549,green
CTSO,hsa-mir-135b,0.435747434975436,green
COL23A1,hsa-mir-1275,0.394945385694823,green
RGS7BP,hsa-mir-573,0.458700368448896,green
TNFSF15,hsa-mir-454,0.54186025083648,green
HUNK,hsa-mir-1304,0.399208150697104,red
AGT,hsa-mir-31,0.394734740223343,green
TOMM40,hsa-mir-331,0.514361624255098,red
PC,hsa-mir-31,0.480548833448139,green
PIK3CD,hsa-mir-651,0.423164499603477,green
CD68,hsa-mir-135b,0.463281447888981,green
KIAA1467,hsa-mir-215,0.410114942471584,green
CXCR2,hsa-mir-376c,0.430049424410269,green
CREB3L2,hsa-mir-454,0.495672767661493,green
SEMA6C,hsa-mir-573,0.425987740943706,green
TNF,hsa-mir-130b,0.444355959954944,green
C18orf1,hsa-mir-215,0.441766760409605,green
SESTD1,hsa-mir-454,0.515659196507418,green
BDH2,hsa-mir-573,0.40867893830236,green
ARHGEF9,hsa-mir-505,0.513918089540745,red
TTLL2,hsa-mir-345,0.452672590429235,red
IYD,hsa-mir-31,0.454820150161091,green
RHOBTB2,hsa-mir-135b,0.413509630056759,green
CTSO,hsa-mir-573,0.475861574706006,green
ANO6,hsa-mir-215,0.44339397228416,green
PTGDS,hsa-mir-425,0.469199879333999,green
SESTD1,hsa-mir-573,0.456674994569564,green
HAAO,hsa-mir-31,0.429662701152673,green
WBSCR16,hsa-mir-345,0.508669486504386,red
SIDT2,hsa-mir-454,0.462951494776304,green
