mRNA,microRNA,weight,edge_color
ERBB2IP,hsa-mir-573,0.826123616653736,green
STAU2,hsa-mir-31,0.838161666848787,green
SGIP1,hsa-mir-454,0.870501599228511,green
SEMA6D,hsa-mir-31,0.824989254103675,green
SLC6A6,hsa-mir-31,0.858895582227577,green
CDC14A,hsa-mir-338,0.82105261603566,green
TFDP2,hsa-mir-31,0.850611908152572,green
MORC3,hsa-mir-543,0.818652727810402,green
CCR7,hsa-mir-335,0.834098872246906,green
ORAI2,hsa-mir-651,0.810032712029238,green
C6orf222,hsa-mir-31,0.830543953450141,green
HOXC8,hsa-mir-454,0.846418662459201,green
TMEM201,hsa-mir-331,0.843708398177991,red
CREB3L2,hsa-mir-135b,0.815950552168326,green
DDC,hsa-mir-31,0.859154542820355,green
C19orf12,hsa-mir-31,0.826594747684569,green
PRKAG2,hsa-mir-454,0.834497237662916,green
TFEC,hsa-mir-454,0.847553596143209,green
GABARAPL1,hsa-mir-454,0.874637051199628,green
LIPA,hsa-mir-454,0.840955165021116,green
SNX18,hsa-mir-197,0.823627571449265,green
FAM122B,hsa-mir-505,0.863169921328658,red
ENTPD7,hsa-mir-135b,0.852936551491559,green
TSHZ3,hsa-mir-18b,0.830216778399591,green
RASGRP2,hsa-mir-421,0.839915392750587,green
AQP1,hsa-mir-31,0.837676422197149,green
KIAA0247,hsa-mir-135b,0.863958695606301,green
DIRAS2,hsa-mir-454,0.821141418850093,green
ZNF331,hsa-mir-31,0.815881784203915,green
TRMT61B,hsa-mir-31,0.839681516807359,green
HDAC9,hsa-mir-200a,0.84364518761298,green
ALDH1A3,hsa-mir-1304,0.825831851355489,green
HRH1,hsa-mir-135b,0.828428858707347,green
KAT2B,hsa-mir-1304,0.813526106134329,green
TREM1,hsa-mir-96,0.824197224576105,green
TMEM163,hsa-mir-651,0.825599818589324,green
C11orf51,hsa-mir-26b,0.805880787814575,red
ATRN,hsa-mir-338,0.80741450185031,green
TULP4,hsa-mir-31,0.833946100580814,green
FREM1,hsa-mir-31,0.817322330329705,green
GIT2,hsa-mir-29a,0.80708065987381,green
ACSL5,hsa-mir-31,0.829010767482718,green
C3orf59,hsa-mir-454,0.843064722554268,green
RAC2,hsa-mir-148a,0.81464362023311,green
KIAA1045,hsa-mir-454,0.820220640365028,green
ZNF804A,hsa-mir-454,0.841133216522734,green
TYRP1,hsa-mir-197,0.809885621303184,green
ADORA2A,hsa-mir-20a,0.837466049699132,green
C6orf105,hsa-mir-17,0.807779937002593,green
NEDD4,hsa-mir-31,0.831669250188909,green
MAF,hsa-mir-573,0.847901361672219,green
KIAA0247,hsa-mir-454,0.873722467376049,green
HCLS1,hsa-mir-651,0.821232028354945,green
CTSO,hsa-mir-135b,0.816213396292036,green
COL23A1,hsa-mir-1275,0.821261975411793,green
RGS7BP,hsa-mir-573,0.84851538549624,green
TNFSF15,hsa-mir-454,0.869731445219281,green
HUNK,hsa-mir-1304,0.801795129402369,red
AGT,hsa-mir-31,0.806953737297872,green
TOMM40,hsa-mir-331,0.840624874331257,red
PC,hsa-mir-31,0.820679250695069,green
PIK3CD,hsa-mir-651,0.813969545326975,green
CD68,hsa-mir-135b,0.826300938902574,green
KIAA1467,hsa-mir-215,0.807590059603978,green
CXCR2,hsa-mir-376c,0.817935067688097,green
CREB3L2,hsa-mir-454,0.829349170368579,green
SEMA6C,hsa-mir-573,0.817549039215397,green
TNF,hsa-mir-130b,0.816343831831556,green
C18orf1,hsa-mir-215,0.83210285930675,green
SESTD1,hsa-mir-454,0.836415638217476,green
BDH2,hsa-mir-573,0.819558316499884,green
ARHGEF9,hsa-mir-505,0.816592806415199,red
TTLL2,hsa-mir-345,0.827205525470483,red
IYD,hsa-mir-31,0.847844823852844,green
RHOBTB2,hsa-mir-135b,0.847199934604676,green
CTSO,hsa-mir-573,0.823259241837307,green
ANO6,hsa-mir-215,0.837050171201052,green
PTGDS,hsa-mir-425,0.824445812345481,green
SESTD1,hsa-mir-573,0.825448798859379,green
HAAO,hsa-mir-31,0.836369635788531,green
WBSCR16,hsa-mir-345,0.833512095841931,red
SIDT2,hsa-mir-454,0.831035968656845,green
