mRNA,microRNA,weight,edge_color
ERBB2IP,hsa-mir-573,0.966285697,green
STAU2,hsa-mir-31,0.98182257,green
SGIP1,hsa-mir-454,0.983934281,green
SEMA6D,hsa-mir-31,0.968698269,green
SLC6A6,hsa-mir-31,0.994957009,green
CDC14A,hsa-mir-338,0.956437903,green
TFDP2,hsa-mir-31,0.987976469,green
MORC3,hsa-mir-543,0.965448914,green
CCR7,hsa-mir-335,0.976358557,green
ORAI2,hsa-mir-651,0.950087391,green
C6orf222,hsa-mir-31,0.98042833,green
HOXC8,hsa-mir-454,0.998973828,green
TMEM201,hsa-mir-331,0.99310631,red
CREB3L2,hsa-mir-135b,0.958667149,green
DDC,hsa-mir-31,0.99080915,green
C19orf12,hsa-mir-31,0.9680497,green
PRKAG2,hsa-mir-454,0.973613237,green
TFEC,hsa-mir-454,0.973754027,green
GABARAPL1,hsa-mir-454,0.994474708,green
LIPA,hsa-mir-454,0.958915017,green
SNX18,hsa-mir-197,0.967013402,green
FAM122B,hsa-mir-505,0.993681098,red
ENTPD7,hsa-mir-135b,0.993019358,green
TSHZ3,hsa-mir-18b,0.954850515,green
RASGRP2,hsa-mir-421,0.977881084,green
AQP1,hsa-mir-31,0.989662431,green
KIAA0247,hsa-mir-135b,0.976159513,green
DIRAS2,hsa-mir-454,0.964928771,green
ZNF331,hsa-mir-31,0.957634057,green
TRMT61B,hsa-mir-31,0.991081686,green
HDAC9,hsa-mir-200a,0.989329835,green
ALDH1A3,hsa-mir-1304,0.971467286,green
HRH1,hsa-mir-135b,0.962002768,green
KAT2B,hsa-mir-1304,0.958884813,green
TREM1,hsa-mir-96,0.950257381,green
TMEM163,hsa-mir-651,0.952131808,green
C11orf51,hsa-mir-26b,0.962065009,red
ATRN,hsa-mir-338,0.952481565,green
TULP4,hsa-mir-31,0.981909664,green
FREM1,hsa-mir-31,0.964618809,green
GIT2,hsa-mir-29a,0.950013671,green
ACSL5,hsa-mir-31,0.965945248,green
C3orf59,hsa-mir-454,0.991168134,green
RAC2,hsa-mir-148a,0.951305255,green
KIAA1045,hsa-mir-454,0.950803227,green
ZNF804A,hsa-mir-454,0.982163036,green
TYRP1,hsa-mir-197,0.94854074,green
ADORA2A,hsa-mir-20a,0.969043852,green
C6orf105,hsa-mir-17,0.953051805,green
NEDD4,hsa-mir-31,0.959119685,green
MAF,hsa-mir-573,0.998577969,green
KIAA0247,hsa-mir-454,0.976159513,green
HCLS1,hsa-mir-651,0.958953145,green
CTSO,hsa-mir-135b,0.955560263,green
COL23A1,hsa-mir-1275,0.97031237,green
RGS7BP,hsa-mir-573,0.992134967,green
TNFSF15,hsa-mir-454,0.999720085,green
HUNK,hsa-mir-1304,0.961965482,red
AGT,hsa-mir-31,0.952121689,green
TOMM40,hsa-mir-331,0.9846304,red
PC,hsa-mir-31,0.951082657,green
PIK3CD,hsa-mir-651,0.955353174,green
CD68,hsa-mir-135b,0.962440767,green
KIAA1467,hsa-mir-215,0.949873388,green
CXCR2,hsa-mir-376c,0.958991755,green
CREB3L2,hsa-mir-454,0.958667149,green
SEMA6C,hsa-mir-573,0.959352849,green
TNF,hsa-mir-130b,0.953847185,green
C18orf1,hsa-mir-215,0.974692624,green
SESTD1,hsa-mir-454,0.962841701,green
BDH2,hsa-mir-573,0.965462412,green
ARHGEF9,hsa-mir-505,0.952376618,red
TTLL2,hsa-mir-345,0.983000401,red
IYD,hsa-mir-31,0.992118537,green
RHOBTB2,hsa-mir-135b,0.999785368,green
CTSO,hsa-mir-573,0.955560263,green
ANO6,hsa-mir-215,0.980701777,green
PTGDS,hsa-mir-425,0.958670002,green
SESTD1,hsa-mir-573,0.962841701,green
HAAO,hsa-mir-31,0.982713104,green
WBSCR16,hsa-mir-345,0.976677001,red
SIDT2,hsa-mir-454,0.968637438,green
